"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-01-19,142,26963092,163.233316041058,135,194,-21.2333160410582,0.526645831271873,0.605395390265546,0.500684417054246,0.71950205117425,-0.0787495589936727,"model 1"
"2","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-01-26,139,26963092,162.85706095944,134,193,-23.8570609594396,0.51551951089289,0.603999945404776,0.496975643594585,0.715793277714588,-0.088480434511886,"model 1"
"3","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-02-02,134,26963092,162.203998989405,134,192,-28.2039989894051,0.496975643594585,0.601577886502798,0.496975643594585,0.712084504254928,-0.104602242908213,"model 1"
"4","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-02-09,128,26963092,161.288851321591,133,192,-33.288851321591,0.474723002836618,0.598183811120739,0.493266870134924,0.712084504254928,-0.123460808284121,"model 1"
"5","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-02-16,125,26963092,160.131192888685,132,191,-35.1311928886852,0.463596682457635,0.593890318249425,0.489558096675263,0.708375730795266,-0.13029363579179,"model 1"
"6","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-02-23,119,26963092,158.754857212314,130.975,188,-39.7548572123139,0.441344041699669,0.588785801021314,0.48575660387911,0.697249410416283,-0.147441759321646,"model 1"
"7","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-02,118,26963092,157.18723751232,129,186,-39.1872375123199,0.437635268240007,0.582971854683135,0.478431776296279,0.689831863496961,-0.145336586443127,"model 1"
"8","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-09,125,26963092,155.458519516968,128,185,-30.4585195169681,0.463596682457635,0.576560431262735,0.474723002836618,0.6861230900373,-0.1129637488051,"model 1"
"9","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-16,122,26963092,153.600882611731,126,183,-31.6008826117307,0.452470362078652,0.569670876810904,0.467305455917296,0.678705543117978,-0.117200514732252,"model 1"
"10","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-23,120,26963092,151.647704625405,125,181,-31.6477046254054,0.44505281515933,0.562426982133227,0.463596682457635,0.671287996198656,-0.117374166973897,"model 1"
"11","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-30,120,26963092,149.632802000267,123,178,-29.632802000267,0.44505281515933,0.554954164753312,0.456179135538313,0.660161675819672,-0.109901349593982,"model 1"
"12","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-04-06,121,26963092,147.589731821091,121,176,-26.5897318210906,0.448761588618991,0.547376880296557,0.448761588618991,0.65274412890035,-0.0986152916775665,"model 1"
"13","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-04-13,113,26963092,145.55117577704,119,174,-32.5511757770401,0.419091400941702,0.539816337744351,0.441344041699669,0.645326581981028,-0.120724936802649,"model 1"
"14","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-04-20,116,26963092,143.548419215308,117,172,-27.548419215308,0.430217721320685,0.532388567362037,0.433926494780346,0.637909035061706,-0.102170846041352,"model 1"
"15","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-04-27,119,26963092,141.610931589225,116,170,-22.6109315892245,0.441344041699669,0.525202864675997,0.430217721320685,0.630491488142384,-0.0838588229763282,"model 1"
"16","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-05-04,119,26963092,139.766048287458,114,167,-20.7660482874579,0.441344041699669,0.518360610450233,0.422800174401363,0.6193651677634,-0.0770165687505643,"model 1"
"17","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-05-11,121,26963092,138.038748412732,112,165,-17.0387484127323,0.448761588618991,0.511954446517975,0.415382627482041,0.611947620844078,-0.063192857898984,"model 1"
"18","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-05-18,127,26963092,136.451518781508,111,164,-9.45151878150833,0.471014229376957,0.506067771387304,0.41167385402238,0.608238847384417,-0.0350535420103463,"model 1"
"19","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-05-25,121,26963092,135.024291334618,110,162,-14.0242913346182,0.448761588618991,0.500774508111378,0.407965080562719,0.600821300465095,-0.0520129194923869,"model 1"
"20","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-01,121,26963092,133.774439267429,108,160,-12.7744392674288,0.448761588618991,0.496139089936083,0.400547533643397,0.593403753545773,-0.0473775013170922,"model 1"
"21","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-08,123,26963092,132.716816408051,107,159,-9.71681640805136,0.456179135538313,0.492216606344893,0.396838760183736,0.589694980086112,-0.0360374708065802,"model 1"
"22","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-15,117,26963092,131.863824541194,107,159,-14.8638245411944,0.433926494780346,0.489053052747787,0.396838760183736,0.589694980086112,-0.0551265579674407,"model 1"
"23","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-22,115,26963092,131.225494316108,106,157,-16.225494316108,0.426508947861024,0.486685630550487,0.393129986724075,0.58227743316679,-0.060176682689463,"model 1"
"24","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-29,122,26963092,130.809566910841,106,157,-8.80956691084086,0.452470362078652,0.485143050028687,0.393129986724075,0.58227743316679,-0.032672687950035,"model 1"
"25","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-07-06,119,26963092,130.621565589252,106,157,-11.6215655892518,0.441344041699669,0.484445795716796,0.393129986724075,0.58227743316679,-0.0431017540171274,"model 1"
"26","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-07-13,115,26963092,130.664848546435,106,157,-15.6648485464345,0.426508947861024,0.484606322399651,0.393129986724075,0.58227743316679,-0.0580973745386268,"model 1"
"27","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-07-20,117,26963092,130.940636888387,106,157,-13.9406368883867,0.433926494780346,0.485629158882767,0.393129986724075,0.58227743316679,-0.0517026641024209,"model 1"
"28","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-07-27,115,26963092,131.448014158559,107,158,-16.4480141585588,0.426508947861024,0.487510906236417,0.396838760183736,0.585986206626451,-0.0610019583753926,"model 1"
"29","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-08-03,110,26963092,132.183896456842,107,158.025,-22.1838964568417,0.407965080562719,0.490240126973723,0.396838760183736,0.586078925962941,-0.0822750464110038,"model 1"
"30","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-08-10,106,26963092,133.142974859389,108,159,-27.1429748593894,0.393129986724075,0.493797131498826,0.400547533643397,0.589694980086112,-0.100667144774751,"model 1"
"31","Texas","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-08-17,106,26963092,134.317634507353,109,161,-28.3176345073526,0.393129986724075,0.498153678025327,0.404256307103058,0.597112527005434,-0.105023691301252,"model 1"
