"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-01-19,1146,318386329,1163.268818478,1095,1232,-17.2688184779986,0.359940077703525,0.365363934479108,0.343921801994206,0.386951287723161,-0.00542385677558366,"model 1"
"2","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-01-26,1156,318386329,1161.88852050238,1097,1230,-5.88852050238438,0.363080916077901,0.36493040519412,0.344549969669081,0.386323120048286,-0.00184948911621905,"model 1"
"3","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-02,1168,318386329,1160.21000688648,1094,1229,7.78999311352118,0.366849922127153,0.364403211196445,0.343607718156768,0.386009036210848,0.00244671093070745,"model 1"
"4","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-09,1157,318386329,1158.25730066875,1092,1226,-1.25730066874712,0.363394999915339,0.363789897734192,0.342979550481893,0.385066784698535,-0.000394897818852995,"model 1"
"5","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-16,1163,318386329,1156.05847666174,1090,1224,6.94152333826355,0.365279502939965,0.36309928265222,0.342351382807017,0.38443861702366,0.00218022028774469,"model 1"
"6","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-23,1172,318386329,1153.64518088291,1085,1222,18.3548191170905,0.368106257476903,0.362341305453134,0.340780963619829,0.383810449348785,0.00576495202376938,"model 1"
"7","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-02,1173,318386329,1151.05209801753,1087,1218,21.9479019824689,0.368420341314341,0.361526860035982,0.341409131294705,0.382554113999034,0.00689348127835882,"model 1"
"8","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-09,1182,318386329,1148.31637897637,1083,1216,33.6836210236293,0.371247095851279,0.360667614901383,0.340152795944954,0.381925946324159,0.0105794809498963,"model 1"
"9","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-16,1177,318386329,1145.47704090278,1080,1213,31.5229590972231,0.369676676664091,0.359775824703446,0.339210544432641,0.380983694811846,0.00990085196064529,"model 1"
"10","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-23,1169,318386329,1142.57435185686,1077,1210,26.4256481431405,0.36716400596459,0.358864136989016,0.338268292920328,0.380041443299533,0.00829986897557417,"model 1"
