"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-01-19,71,19653431,72.5648464175645,56,90,-1.56484641756451,0.361260077184488,0.369222281939294,0.284937525666638,0.457935309107097,-0.00796220475480597,"model 1"
"2","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-01-26,74,19653431,72.5637994241693,56,90,1.43620057583074,0.376524587488057,0.369216954658804,0.284937525666638,0.457935309107097,0.00730763282925378,"model 1"
"3","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-02,75,19653431,72.5418871076773,56,90,2.45811289232273,0.381612757589247,0.369105461065181,0.284937525666638,0.457935309107097,0.0125072965240661,"model 1"
"4","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-09,73,19653431,72.4990641182266,56,90,0.500935881773387,0.371436417386867,0.368887570410615,0.284937525666638,0.457935309107097,0.00254884697625258,"model 1"
"5","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-16,69,19653431,72.4356060312795,56,90,-3.43560603127952,0.351083736982108,0.368564684869932,0.284937525666638,0.457935309107097,-0.0174809478878244,"model 1"
"6","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-23,68,19653431,72.3521042701649,56,90,-4.35210427016489,0.345995566880918,0.368139813705632,0.284937525666638,0.457935309107097,-0.0221442468247142,"model 1"
"7","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-02,69,19653431,72.2494554511129,56,90,-3.24945545111287,0.351083736982108,0.367617519053609,0.284937525666638,0.457935309107097,-0.0165337820715012,"model 1"
"8","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-09,74,19653431,72.1288454228033,56,89,1.87115457719668,0.376524587488057,0.367003834713661,0.284937525666638,0.452847139005907,0.00952075277439688,"model 1"
"9","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-16,77,19653431,71.9917284027603,56,89,5.00827159723971,0.391789097791627,0.366306159991913,0.284937525666638,0.452847139005907,0.025482937799714,"model 1"
"10","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-23,77,19653431,71.8398017266153,55,89,5.16019827338465,0.391789097791627,0.365533131220779,0.279849355565448,0.452847139005907,0.0262559665708479,"model 1"
"11","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-30,77,19653431,71.6749768190247,55,89,5.32502318097525,0.391789097791627,0.364694474054046,0.279849355565448,0.452847139005907,0.0270946237375817,"model 1"
"12","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-04-06,76,19653431,71.4993470638845,55,89,4.50065293611549,0.386700927690437,0.363800839985062,0.279849355565448,0.452847139005907,0.0229000877053756,"model 1"
"13","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-04-13,75,19653431,71.3151532947644,55,89,3.68484670523563,0.381612757589247,0.362863630756199,0.279849355565448,0.452847139005907,0.0187491268330483,"model 1"
"14","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-04-20,76,19653431,71.1247476439515,55,88,4.87525235604855,0.386700927690437,0.361894814416635,0.279849355565448,0.447758968904717,0.0248061132738022,"model 1"
"15","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-04-27,76,19653431,70.9305564812605,55,88,5.06944351873948,0.386700927690437,0.360906736748716,0.279849355565448,0.447758968904717,0.0257941909417215,"model 1"
"16","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-05-04,73,19653431,70.7350431441552,55,88,2.26495685584484,0.371436417386867,0.359911931632472,0.279849355565448,0.447758968904717,0.011524485754395,"model 1"
"17","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-05-11,75,19653431,70.5406711120243,55,88,4.45932888797572,0.381612757589247,0.358922933670077,0.279849355565448,0.447758968904717,0.0226898239191707,"model 1"
"18","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-05-18,76,19653431,70.3498682136889,54,87,5.65013178631111,0.386700927690437,0.357952096067546,0.274761185464258,0.442670798803527,0.0287488316228912,"model 1"
"19","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-05-25,72,19653431,70.1649923828326,54,87,1.83500761716743,0.366348247285677,0.35701141639255,0.274761185464258,0.442670798803527,0.00933683089312718,"model 1"
"20","New York","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-06-01,73,19653431,69.9882993956157,54,87,3.01170060438429,0.371436417386867,0.356112372417904,0.274761185464258,0.442670798803527,0.0153240449689639,"model 1"
