"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-01-19,845,26963092,834.661690207023,779,891,10.3383097929769,3.13391357341361,3.09557112443567,2.88913452507598,3.30451715255802,0.0383424489779471,"model 1"
"2","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-01-26,851,26963092,833.568557257721,777,890,17.4314427422794,3.15616621417158,3.09151694196541,2.88171697815666,3.30080837909836,0.0646492722061676,"model 1"
"3","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-02-02,843,26963092,832.242247933125,776,889,10.7577520668749,3.12649602649429,3.08659796114305,2.878008204697,3.2970996056387,0.0398980653512398,"model 1"
"4","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-02-09,844,26963092,830.703545743904,774,889,13.2964542560965,3.13020479995395,3.08089126330134,2.87059065777768,3.2970996056387,0.0493135366526082,"model 1"
"5","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-02-16,852,26963092,828.976362396485,773,886,23.0236376035153,3.15987498763124,3.07448553154247,2.86688188431802,3.28597328525972,0.0853894560887725,"model 1"
"6","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-02-23,853,26963092,827.087324674219,771,884,25.9126753257814,3.1635837610909,3.06747951857383,2.85946433739869,3.27855573834039,0.0961042425170725,"model 1"
"7","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-03-02,836,26963092,825.06532330737,770,882,10.9346766926304,3.10053461227666,3.05998037356906,2.85575556393903,3.27113819142107,0.0405542387076024,"model 1"
"8","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-03-09,828,26963092,822.94103423126,766,880,5.05896576874045,3.07086442459937,3.05210186662294,2.84092047010039,3.26372064450175,0.0187625579764385,"model 1"
"9","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-03-16,825,26963092,820.746422675739,764,879,4.25357732426141,3.05973810422039,3.04396254953155,2.83350292318107,3.26001187104209,0.0157755546888369,"model 1"
"10","Texas","cancer_mc_ma","Cancer","Multiple Cause",2014-03-23,808,26963092,818.514240216373,762,875,-10.5142402163734,2.99668895540615,3.03568389046914,2.82608537626174,3.24517677720344,-0.0389949350629869,"model 1"
