"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-19,52,26963092,52.2629897791916,38,67,-0.262989779191564,0.192856219902376,0.193831589415604,0.140933391467121,0.248487821797292,-0.0009753695132278,"model 1"
"2","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-26,51,26963092,52.2374343746822,38,67,-1.23743437468216,0.189147446442715,0.193736810209609,0.140933391467121,0.248487821797292,-0.0045893637668935,"model 1"
"3","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-02,48,26963092,52.1976375940357,38,67,-4.19763759403567,0.178021126063732,0.193589212965767,0.140933391467121,0.248487821797292,-0.0155680869020351,"model 1"
"4","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-09,47,26963092,52.1445650158976,38,67,-5.14456501589764,0.174312352604071,0.193392378796533,0.140933391467121,0.248487821797292,-0.0190800261924621,"model 1"
"5","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-16,50,26963092,52.0793815484376,39,67,-2.07938154843764,0.185438672983054,0.193150628082409,0.144642164926782,0.248487821797292,-0.00771195509935447,"model 1"
"6","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-23,50,26963092,52.0034314176886,38,66,-2.00343141768864,0.185438672983054,0.192868946253229,0.140933391467121,0.244779048337631,-0.00743027327017479,"model 1"
"7","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-02,52,26963092,51.9182154002932,38,66,0.0817845997067934,0.192856219902376,0.192552899349575,0.140933391467121,0.244779048337631,0.000303320552801561,"model 1"
"8","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-09,51,26963092,51.8253658332106,38,66,-0.825365833210576,0.189147446442715,0.192208541339438,0.140933391467121,0.244779048337631,-0.00306109489672244,"model 1"
"9","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-16,54,26963092,51.72661995982,38,67,2.27338004018002,0.200273766821698,0.191842315264955,0.140933391467121,0.248487821797292,0.00843145155674291,"model 1"
"10","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-23,54,26963092,51.6237921786517,38,66,2.37620782134827,0.200273766821698,0.191460950319243,0.140933391467121,0.244779048337631,0.00881281650245556,"model 1"
"11","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-30,56,26963092,51.5187457489541,38,66,4.48125425104594,0.207691313741021,0.191071356908748,0.140933391467121,0.244779048337631,0.0166199568322726,"model 1"
"12","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-06,56,26963092,51.4133644786051,37,66,4.58663552139488,0.207691313741021,0.190680521650132,0.13722461800746,0.244779048337631,0.0170107920908881,"model 1"
"13","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-13,59,26963092,51.3095248773506,38,66,7.69047512264938,0.218817634120004,0.190295404092938,0.140933391467121,0.244779048337631,0.0285222300270658,"model 1"
"14","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-20,58,26963092,51.2090692053536,38,66,6.7909307946464,0.215108860660343,0.189922836762763,0.140933391467121,0.244779048337631,0.0251860238975797,"model 1"
"15","Texas","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-27,59,26963092,51.1137797871639,38,66,7.88622021283614,0.218817634120004,0.189569429897594,0.140933391467121,0.244779048337631,0.0292482042224094,"model 1"
