"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-01-19,770,318386329,774.755377243437,720,831,-4.75537724343701,0.241844554826976,0.243338141960058,0.226140362955094,0.261003668910671,-0.00149358713308228,"model 1"
"2","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-01-26,761,318386329,773.858870280536,719,830,-12.8588702805361,0.239017800290037,0.24305656361286,0.225826279117656,0.260689585073233,-0.00403876332282347,"model 1"
"3","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-02-02,762,318386329,772.920365686032,719,829,-10.920365686032,0.239331884127475,0.242761794488366,0.225826279117656,0.260375501235796,-0.00342991036089116,"model 1"
"4","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-02-09,746,318386329,771.957690949808,718,828,-25.9576909498077,0.234306542728472,0.242459433913008,0.225512195280219,0.260061417398358,-0.00815289118453565,"model 1"
"5","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-02-16,761,318386329,770.988955375844,716,826,-9.98895537584394,0.239017800290037,0.242155169726475,0.224884027605344,0.259433249723483,-0.00313736943643832,"model 1"
"6","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-02-23,747,318386329,770.032283610128,717,825,-23.0322836101277,0.23462062656591,0.241854694587131,0.225198111442781,0.259119165886045,-0.00723406802122076,"model 1"
"7","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-02,764,318386329,769.105553800524,714,823,-5.10555380052392,0.23996005180235,0.241563623732263,0.224255859930468,0.25849099821117,-0.00160357192991283,"model 1"
"8","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-09,761,318386329,768.226144112821,714,826,-7.22614411282109,0.239017800290037,0.241287415362869,0.224255859930468,0.259433249723483,-0.00226961507283219,"model 1"
"9","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-16,771,318386329,767.410690923916,714,823,3.58930907608351,0.242158638664413,0.241031294696047,0.224255859930468,0.25849099821117,0.00112734396836603,"model 1"
"10","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-23,762,318386329,766.674861585356,712,821,-4.67486158535598,0.239331884127475,0.240800182593693,0.223627692255593,0.257862830536295,-0.00146829846621837,"model 1"
"11","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-30,777,318386329,766.033144218752,713,822,10.9668557812477,0.244043141689039,0.24059862954064,0.223941776093031,0.258176914373732,0.00344451214839933,"model 1"
"12","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-04-06,769,318386329,765.498656587172,711,821,3.50134341282808,0.241530470989538,0.24043075561425,0.223313608418155,0.257862830536295,0.00109971537528801,"model 1"
"13","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-04-13,767,318386329,765.082975697781,712,821,1.91702430221858,0.240902303314663,0.240300196965361,0.223627692255593,0.257862830536295,0.000602106349302007,"model 1"
"14","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-04-20,767,318386329,764.79598944207,710,819,2.20401055792979,0.240902303314663,0.240210059220875,0.222999524580718,0.257234662861419,0.000692244093787642,"model 1"
"15","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-04-27,773,318386329,764.645771277572,711,819,8.35422872242771,0.242786806339289,0.240162878123317,0.223313608418155,0.257234662861419,0.00262392821597177,"model 1"
"16","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-05-04,763,318386329,764.638478701732,711,819.025,-1.63847870173163,0.239645967964912,0.240160587643112,0.223313608418155,0.257242514957355,-0.000514619678199697,"model 1"
"17","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-05-11,765,318386329,764.77827606312,711,820,0.221723936879584,0.240274135639787,0.240204495734841,0.223313608418155,0.257548746698857,6.96399049469189e-05,"model 1"
"18","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-05-18,769,318386329,765.067282092584,711,819,3.93271790741596,0.241530470989538,0.240295267857617,0.223313608418155,0.257234662861419,0.00123520313192089,"model 1"
"19","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-05-25,767,318386329,765.505542409112,711,819,1.49445759088837,0.240902303314663,0.240432918339629,0.223313608418155,0.257234662861419,0.000469384975034017,"model 1"
"20","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-06-01,764,318386329,766.09102715145,710.975,821,-2.09102715145025,0.23996005180235,0.240616809634264,0.223305756322219,0.257862830536295,-0.000656757831913772,"model 1"
"21","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-06-08,765,318386329,766.819653794954,713,821,-1.81965379495364,0.240274135639787,0.240845659486514,0.223941776093031,0.257862830536295,-0.000571523846726986,"model 1"
"22","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-06-15,775,318386329,767.685335120376,713,823,7.31466487962405,0.243414974014164,0.241117555999201,0.223941776093031,0.25849099821117,0.00229741801496259,"model 1"
"23","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-06-22,772,318386329,768.680052194529,713,824,3.31994780547063,0.242472722501851,0.241429980555016,0.223941776093031,0.258805082048608,0.00104274194683486,"model 1"
"24","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-06-29,780,318386329,769.793952089557,716,825,10.2060479104425,0.244985393201352,0.241779838508568,0.224884027605344,0.259119165886045,0.0032055546927841,"model 1"
"25","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-07-06,781,318386329,771.015469897532,716,826,9.9845301024684,0.24529947703879,0.242163497509195,0.224884027605344,0.259433249723483,0.00313597952959481,"model 1"
"26","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-07-13,793,318386329,772.331474382045,718.975,829,20.6685256179551,0.249068483088041,0.242576833247776,0.225818427021721,0.260375501235796,0.00649164984026531,"model 1"
"27","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-07-20,787,318386329,773.727436343627,719,830,13.272563656373,0.247183980063415,0.243015282337587,0.225826279117656,0.260689585073233,0.00416869772582886,"model 1"
"28","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-07-27,795,318386329,775.187618459652,720,831,19.8123815403479,0.249696650762916,0.243473901939945,0.226140362955094,0.261003668910671,0.00622274882297095,"model 1"
"29","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-08-03,785,318386329,776.695284994838,720,832,8.30471500516239,0.24655581238854,0.243947435630893,0.226140362955094,0.261317752748109,0.00260837675764728,"model 1"
"30","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-08-10,777,318386329,778.232929372476,723,834,-1.23292937247629,0.244043141689039,0.244430384877636,0.227082614467407,0.261945920422984,-0.000387243188596924,"model 1"
"31","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-08-17,766,318386329,779.782517160279,724,835,-13.782517160279,0.240588219477225,0.244917085356476,0.227396698304845,0.262260004260422,-0.00432886587925042,"model 1"
"32","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-08-24,764,318386329,781.325741573285,727,838,-17.3257415732845,0.23996005180235,0.24540178720214,0.228338949817158,0.263202255772734,-0.00544173539978989,"model 1"
"33","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-08-31,755,318386329,782.844288148161,729,838,-27.8442881481612,0.237133297265411,0.245878738137705,0.228967117492033,0.263202255772734,-0.00874544087229362,"model 1"
"34","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-09-07,770,318386329,784.320104819386,729.975,839,-14.3201048193858,0.241844554826976,0.246342268301157,0.229273349233534,0.263516339610172,-0.00449771347418182,"model 1"
"35","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-09-14,782,318386329,785.73567325064,730,843,-3.73567325063982,0.245613560876227,0.246786875466201,0.22928120132947,0.264772674959923,-0.00117331458997406,"model 1"
"36","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-09-21,787,318386329,787.074276967208,732,843,-0.0742769672084478,0.247183980063415,0.247207309258309,0.229909369004346,0.264772674959923,-2.33291948940583e-05,"model 1"
"37","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-09-28,791,318386329,788.320261618979,734,845,2.67973838102137,0.248440315413166,0.247598652899126,0.230537536679221,0.265400842634798,0.000841662514040094,"model 1"
"38","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-10-05,793,318386329,789.459282597812,734,846,3.54071740218819,0.249068483088041,0.24795640097908,0.230537536679221,0.265714926472236,0.00111208210896147,"model 1"
"39","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-10-12,789,318386329,790.478535253502,736,846,-1.4785352535016,0.247812147738291,0.248276531764497,0.231165704354096,0.265714926472236,-0.000464384026206604,"model 1"
"40","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-10-19,788,318386329,791.366963109417,735,848,-3.36696310941693,0.247498063900853,0.24855557259477,0.230851620516659,0.266343094147111,-0.00105750869391661,"model 1"
"41","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-10-26,787,318386329,792.115439776812,736,848,-5.11543977681208,0.247183980063415,0.248790657018698,0.231165704354096,0.266343094147111,-0.00160667695528224,"model 1"
"42","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-11-02,792,318386329,792.716920703729,738,849,-0.716920703729329,0.248754399250603,0.248979572456369,0.231793872028971,0.266657177984548,-0.000225173205765794,"model 1"
"43","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-11-09,792,318386329,793.166561461341,738,849,-1.16656146134108,0.248754399250603,0.249120797350988,0.231793872028971,0.266657177984548,-0.000366398100384855,"model 1"
"44","National","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-11-16,788,318386329,793.461799951939,738.975,850,-5.46179995193881,0.247498063900853,0.249213526989075,0.232100103770473,0.266971261821986,-0.00171546308822161,"model 1"
