"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","cancer_uc_ma","Cancer","Underlying Cause",2014-01-19,11514,318386329,11576.8975114279,11366,11789,-62.8975114279292,3.61636130425688,3.63611639601144,3.56987689631611,3.70273435955223,-0.0197550917545612,"model 1"
"2","National","cancer_uc_ma","Cancer","Underlying Cause",2014-01-26,11508,318386329,11562.3710562019,11343.975,11772,-54.3710562018532,3.61447680123225,3.63155387120967,3.56295919979655,3.69739493431579,-0.0170770699774151,"model 1"
"3","National","cancer_uc_ma","Cancer","Underlying Cause",2014-02-02,11505,318386329,11545.3496658509,11334,11759.025,-40.3496658508848,3.61353454971994,3.62620772760971,3.55982621351811,3.69331969652504,-0.012673177889772,"model 1"
"4","National","cancer_uc_ma","Cancer","Underlying Cause",2014-02-09,11429,318386329,11526.0780085958,11319,11739,-97.0780085958449,3.58966417807468,3.62015481154527,3.55511495595654,3.68703016768035,-0.0304906334705863,"model 1"
"5","National","cancer_uc_ma","Cancer","Underlying Cause",2014-02-16,11419,318386329,11504.8335019926,11289.975,11717,-85.8335019926089,3.5865233397003,3.61348225538685,3.54599867257491,3.68012032325672,-0.0269589156865491,"model 1"
"6","National","cancer_uc_ma","Cancer","Underlying Cause",2014-02-23,11416,318386329,11481.921696296,11268,11697,-65.9216962959854,3.58558108818799,3.60628602753103,3.53909668024722,3.67383864650797,-0.0207049393430411,"model 1"
"7","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-02,11402,318386329,11457.6712772597,11250,11672,-55.6712772597311,3.58118391446386,3.59866936286066,3.53344317117334,3.66598655057203,-0.0174854483967907,"model 1"
"8","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-09,11413,318386329,11432.4287939382,11223,11642.025,-19.428793938152,3.58463883667568,3.59074110683256,3.52496290756253,3.65657188754483,-0.00610227015687976,"model 1"
"9","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-16,11433,318386329,11406.553217178,11192,11624,26.4467828219804,3.59092051342443,3.58261400638782,3.51522630860196,3.65091052637502,0.00830650703660721,"model 1"
"10","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-23,11400,318386329,11380.4104313963,11174,11590,19.5895686036529,3.58055574678899,3.57440297990821,3.50957279952809,3.64023167590214,0.00615276688078302,"model 1"
"11","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-30,11371,318386329,11354.3677563466,11145,11567,16.6322436533646,3.5714473155033,3.56622339659145,3.50046436824239,3.63300774764107,0.00522391891184644,"model 1"
"12","National","cancer_uc_ma","Cancer","Underlying Cause",2014-04-06,11327,318386329,11328.7885874097,11120,11539,-1.78858740973374,3.55762762665604,3.55818939305328,3.49261227230645,3.62421340019282,-0.000561766397241804,"model 1"
"13","National","cancer_uc_ma","Cancer","Underlying Cause",2014-04-13,11268,318386329,11304.0272330998,11098,11512.025,-36.027233099845,3.53909668024722,3.55041225187148,3.48570242788283,3.61574098867794,-0.0113155716242594,"model 1"
"14","National","cancer_uc_ma","Cancer","Underlying Cause",2014-04-20,11258,318386329,11280.4240175798,11075,11490.025,-22.424017579784,3.53595584187285,3.54299886336507,3.47847849962176,3.60883114425431,-0.00704302149222747,"model 1"
"15","National","cancer_uc_ma","Cancer","Underlying Cause",2014-04-27,11159,318386329,11258.3007046447,11048,11466,-99.300704644651,3.50486154196652,3.53605028834157,3.46999823601094,3.60128528005987,-0.0311887463750527,"model 1"
"16","National","cancer_uc_ma","Cancer","Underlying Cause",2014-05-04,11181,318386329,11237.9562884377,11034,11448,-56.9562884376937,3.51177138639015,3.52966043602886,3.46560106228682,3.595631770986,-0.0178890496387154,"model 1"
"17","National","cancer_uc_ma","Cancer","Underlying Cause",2014-05-11,11175,318386329,11219.6631856021,11014.975,11433,-44.6631856020558,3.50988688336552,3.52391486809161,3.45962561727957,3.59092051342443,-0.0140279847260828,"model 1"
"18","National","cancer_uc_ma","Cancer","Underlying Cause",2014-05-18,11147,318386329,11203.6638540606,10998,11412.025,-56.6638540605745,3.50109253591727,3.51888973664462,3.45429404413906,3.58433260493418,-0.0177972007273511,"model 1"
"19","National","cancer_uc_ma","Cancer","Underlying Cause",2014-05-25,11168,318386329,11190.1678554471,10985,11393.025,-22.1678554470927,3.50768829650346,3.51465086161004,3.45021095425237,3.57836501202286,-0.00696256510658557,"model 1"
"20","National","cancer_uc_ma","Cancer","Underlying Cause",2014-06-01,11215,318386329,11179.3493715749,10972,11387.025,35.6506284251063,3.52245023686303,3.51125295068021,3.44612786436568,3.57648050899824,0.0111972861828205,"model 1"
"21","National","cancer_uc_ma","Cancer","Underlying Cause",2014-06-08,11228,318386329,11171.3451802865,10961,11381.025,56.6548197135107,3.52653332674972,3.50873896356476,3.44267294215387,3.57459600597361,0.0177943631849566,"model 1"
"22","National","cancer_uc_ma","Cancer","Underlying Cause",2014-06-15,11184,318386329,11166.2530925438,10965.975,11374,17.7469074561741,3.51271363790246,3.50713962110598,3.44423550924512,3.57238956701561,0.00557401679648566,"model 1"
"23","National","cancer_uc_ma","Cancer","Underlying Cause",2014-06-22,11168,318386329,11164.1308505464,10958,11369,3.86914945357967,3.50768829650346,3.50647305919546,3.44173069064156,3.57081914782842,0.00121523730800001,"model 1"
"24","National","cancer_uc_ma","Cancer","Underlying Cause",2014-06-29,11118,318386329,11164.9954857788,10954,11372,-46.995485778787,3.49198410463158,3.50674462714723,3.44047435529181,3.57176139934074,-0.014760522515647,"model 1"
"25","National","cancer_uc_ma","Cancer","Underlying Cause",2014-07-06,11142,318386329,11168.8231358922,10966,11385,-26.8231358921639,3.49952211673008,3.5079468301832,3.44424336134106,3.57584448922743,-0.00842471345312189,"model 1"
"26","National","cancer_uc_ma","Cancer","Underlying Cause",2014-07-13,11148,318386329,11175.5493198722,10970,11384,-27.5493198721833,3.50140661975471,3.51005941585896,3.44549969669081,3.57553040538999,-0.00865279610425212,"model 1"
"27","National","cancer_uc_ma","Cancer","Underlying Cause",2014-07-20,11197,318386329,11185.069671655,10975,11395,11.9303283449517,3.51679672778915,3.51304960448068,3.447070115878,3.5789853276018,0.00374712330847337,"model 1"
"28","National","cancer_uc_ma","Cancer","Underlying Cause",2014-07-27,11234,318386329,11197.2411328505,10986,11408,36.7588671495087,3.52841782977434,3.51687246372017,3.45052503808981,3.58306841748849,0.0115453660541777,"model 1"
"29","National","cancer_uc_ma","Cancer","Underlying Cause",2014-08-03,11244,318386329,11211.8836051298,11003,11422.025,32.1163948701815,3.53155866814872,3.52147142760323,3.45586446332625,3.58747344330855,0.0100872405454888,"model 1"
"30","National","cancer_uc_ma","Cancer","Underlying Cause",2014-08-10,11196,318386329,11228.7820618092,11025.975,11440,-32.7820618091919,3.51648264395171,3.52677895972386,3.46308053949138,3.5931191002865,-0.0102963157721486,"model 1"
"31","National","cancer_uc_ma","Cancer","Underlying Cause",2014-08-17,11135,318386329,11247.6891159099,11039,11462,-112.689115909903,3.49732352986802,3.53271735983045,3.46717148147401,3.60002894471012,-0.0353938299624364,"model 1"
"32","National","cancer_uc_ma","Cancer","Underlying Cause",2014-08-24,11110,318386329,11268.3280382969,11056,11476,-158.328038296877,3.48947143393208,3.53919971177433,3.47251090671044,3.60442611843425,-0.0497282778422553,"model 1"
