"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-19,5286,318386329,5119.08864005266,4885,5354,166.911359947344,1.66024716469532,1.60782300425112,1.53429954588283,1.68160486564107,0.0524241604441954,"model 1"
"2","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-26,5226,318386329,5127.8006936593,4905,5359,98.1993063406981,1.64140213444906,1.61055931947986,1.54058122263158,1.68317528482826,0.0308428149691999,"model 1"
"3","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-02,5173,318386329,5129.1479860784,4909,5356,43.8520139215971,1.62475569106486,1.610982482253,1.54183755798133,1.68223303331595,0.0137732088118636,"model 1"
"4","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-09,5147,318386329,5123.13779014613,4893.975,5353,23.8622098538717,1.61658951129149,1.60909477685084,1.53711844832383,1.68129078180364,0.00749473444064607,"model 1"
"5","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-16,5086,318386329,5109.9152457481,4880,5340,-23.9152457481032,1.59743039720779,1.60494178936562,1.53272912669564,1.67720769191695,-0.00751139215782823,"model 1"
"6","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-23,5030,318386329,5089.75914935062,4857,5323.025,-59.7591493506234,1.57984170231128,1.59861108526133,1.52550519843457,1.67187611877644,-0.0187693829500523,"model 1"
"7","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-02,4953,318386329,5063.07394463952,4835,5295,-110.073944639521,1.55565724682858,1.59022969376286,1.51859535401094,1.66307391923225,-0.0345724469342781,"model 1"
"8","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-09,4917,318386329,5030.37831972475,4799.975,5255,-113.378319724746,1.54435022868083,1.57996052642221,1.50759456760469,1.65051056573475,-0.0356102977413788,"model 1"
"9","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-16,4864,318386329,4992.29097318963,4769.975,5220.025,-128.290973189625,1.52770378529664,1.56799790646464,1.49817205248156,1.63952548352037,-0.0402941211680057,"model 1"
"10","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-23,4816,318386329,4949.51422637727,4727,5182,-133.514226377274,1.51262776109963,1.55456242167272,1.48467429956768,1.6275824456018,-0.0419346605730908,"model 1"
"11","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-30,4767,318386329,4902.81622606651,4677.975,5127,-135.816226066511,1.49723765306519,1.53989533453445,1.4692763394373,1.61030783454273,-0.0426576814692666,"model 1"
"12","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-06,4750,318386329,4853.01249805349,4633.975,5073.025,-103.012498053489,1.49189822782875,1.52425278852142,1.45545665059004,1.59335515941704,-0.0323545606926764,"model 1"
"13","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-13,4720,318386329,4800.94758056589,4591,5023,-80.9475805658867,1.48247571270562,1.50790003944104,1.44195889767616,1.57764311544922,-0.0254243267354255,"model 1"
"14","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-20,4721,318386329,4747.4773932039,4531,4969,-26.4773932038997,1.48278979654305,1.49110591780588,1.4231138674299,1.56068258822759,-0.00831612126282587,"model 1"
"15","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-27,4675,318386329,4693.45289140826,4482.975,4905.025,-18.452891408263,1.46834194002092,1.47413769496625,1.40802999113696,1.54058907472751,-0.00579575494532712,"model 1"
"16","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-05-04,4620,318386329,4639.70542915576,4426,4855,-19.7054291557552,1.45106732896185,1.45725648576945,1.39013506449895,1.5248770307597,-0.00618915680759495,"model 1"
"17","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-05-11,4558,318386329,4587.03411496742,4381,4804,-29.0341149674177,1.43159413104072,1.44071327728629,1.37600129181426,1.50885875505038,-0.00911914624557191,"model 1"
"18","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-05-18,4478,318386329,4536.1953090087,4324,4750,-58.1953090086963,1.40646742404571,1.42474563002003,1.35809851308032,1.49189822782875,-0.0182782059743201,"model 1"
"19","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-05-25,4404,318386329,4487.89428115278,4280.975,4699,-83.8942811527813,1.38322522007533,1.40957505783886,1.34458505597456,1.47587995211943,-0.0263498377635371,"model 1"
"20","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-01,4389,318386329,4442.77893836467,4241,4645.025,-53.778938364665,1.37851396251376,1.39540505784866,1.33202955457299,1.45892727699373,-0.0168910953348958,"model 1"
"21","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-08,4408,318386329,4401.43543931059,4204.975,4607,6.56456068941134,1.38448155542508,1.38241973301265,1.3207146843293,1.44698423907516,0.00206182241242253,"model 1"
"22","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-15,4401,318386329,4364.38544708602,4160.975,4570,36.6145529139767,1.38228296856301,1.37078292927773,1.30689499548205,1.43536313708997,0.011500039285285,"model 1"
"23","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-22,4415,318386329,4332.08472775338,4134,4539,82.9152722466224,1.38668014228714,1.36063779539773,1.29842258396717,1.42562653812941,0.026042346889405,"model 1"
"24","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-29,4401,318386329,4304.92278175822,4109,4507,96.0772182417813,1.38228296856301,1.3521066671673,1.29057048803122,1.4155758553314,0.0301763013957114,"model 1"
"25","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-07-06,4382,318386329,4283.22319490187,4086,4485.025,98.776805098134,1.3763153756517,1.34529117765665,1.28334655977016,1.40867386300371,0.0310241979950508,"model 1"
