"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-19,119,26963092,108.986953065095,89,130,10.0130469349054,0.441344041699669,0.404207918977151,0.330080837909836,0.48214054975594,0.0371361227225178,"model 1"
"2","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-26,119,26963092,108.979209505764,89,130,10.0207904942363,0.441344041699669,0.404179199869821,0.330080837909836,0.48214054975594,0.0371648418298478,"model 1"
"3","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-02,119,26963092,108.791169878041,89,130,10.2088301219585,0.441344041699669,0.40348180348916,0.330080837909836,0.48214054975594,0.0378622382105084,"model 1"
"4","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-09,119,26963092,108.427462161086,88,130,10.5725378389141,0.441344041699669,0.402132893961441,0.326372064450175,0.48214054975594,0.0392111477382273,"model 1"
"5","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-16,118,26963092,107.896062552076,88,130,10.103937447924,0.437635268240007,0.400162053195071,0.326372064450175,0.48214054975594,0.0374732150449362,"model 1"
"6","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-23,118,26963092,107.208051873746,87,128,10.791948126254,0.437635268240007,0.397610377451317,0.322663290990514,0.474723002836618,0.0400248907886901,"model 1"
"7","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-02,114,26963092,106.377284833769,86,128,7.62271516623066,0.422800174401363,0.394529250702291,0.318954517530853,0.474723002836618,0.0282709236990723,"model 1"
"8","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-09,113,26963092,105.419989402403,86,126,7.58001059759714,0.419091400941702,0.390978858813384,0.318954517530853,0.467305455917296,0.028112542128318,"model 1"
"9","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-16,108,26963092,104.354316391139,85,125,3.64568360886074,0.400547533643397,0.387026519032533,0.315245744071192,0.463596682457635,0.0135210146108641,"model 1"
"10","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-23,103,26963092,103.199860641658,83,124,-0.19986064165758,0.382003666345091,0.382744904188502,0.30782819715187,0.459887908997974,-0.000741237843410465,"model 1"
"11","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-30,93,26963092,101.977175067802,82,123,-8.97717506780248,0.344915931748481,0.378210240382677,0.304119423692209,0.456179135538313,-0.033294308634197,"model 1"
"12","Texas","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-06,96,26963092,100.707297265908,82,121,-4.70729726590801,0.356042252127464,0.373500551293999,0.304119423692209,0.448761588618991,-0.0174582991665348,"model 1"
