"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-01-19,824,26963092,777.465477754957,719,836,46.5345222450431,3.05602933076073,2.88344332970031,2.66660811749632,3.10053461227666,0.172586001060424,"model 1"
"2","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-01-26,804,26963092,777.673169588432,719,837,26.3268304115682,2.98185386156751,2.88421361166009,2.66660811749632,3.10424338573632,0.0976402499074222,"model 1"
"3","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-02,795,26963092,776.765707737043,720,835,18.2342922629573,2.94847490043056,2.88084804123,2.67031689095598,3.096825838817,0.0676268592005594,"model 1"
"4","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-09,790,26963092,774.761123799653,718,832,15.2388762003469,2.92993103313225,2.87341349352535,2.66289934403666,3.08569951843802,0.0565175396069075,"model 1"
"5","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-16,786,26963092,771.697825828152,715,830,14.3021741718483,2.91509593929361,2.86205241530961,2.65177302365767,3.0782819715187,0.053043523984001,"model 1"
"6","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-23,770,26963092,767.633490216243,712,826,2.36650978375667,2.85575556393903,2.84697871526101,2.64064670327869,3.06344687768005,0.00877684867802502,"model 1"
"7","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-02,765,26963092,762.643426657894,705,821.025,2.35657334210623,2.83721169664073,2.82847169997378,2.61468528906106,3.04499572971824,0.0087399966669484,"model 1"
"8","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-09,756,26963092,756.818496899749,701,815,-0.818496899748538,2.80383273550378,2.80686835508238,2.59985019522242,3.02265036962378,-0.00303561957860226,"model 1"
"9","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-16,753,26963092,750.262686784977,694,809,2.73731321502339,2.79270641512479,2.78255434052214,2.57388878100479,3.00039772886581,0.0101520746026583,"model 1"
"10","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-23,729,26963092,743.090442708734,687,800,-14.0904427087337,2.70369585209293,2.75595411204595,2.54792736678716,2.96701876772886,-0.0522582599530265,"model 1"
"11","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-30,725,26963092,735.423887623239,680,791,-10.4238876232392,2.68886075825428,2.72752059601784,2.52196595256953,2.93363980659191,-0.0386598377635593,"model 1"
"12","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-06,713,26963092,727.390028376109,671,784,-14.3900283761093,2.64435547673835,2.69772483206343,2.48858699143259,2.90767839237429,-0.0533693553250839,"model 1"
"13","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-13,712,26963092,719.118056281363,663.975,776,-7.11805628136347,2.64064670327869,2.66704596149938,2.46253285787847,2.878008204697,-0.0263992582206947,"model 1"
"14","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-20,712,26963092,710.736827718947,656,767.025,1.26317228105279,2.64064670327869,2.63596188344774,2.43295538953767,2.84472196289654,0.00468481983094813,"model 1"
"15","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-27,711,26963092,702.372592838824,648,758,8.62740716117639,2.63693792981903,2.60494083111397,2.40328520186038,2.8112502824231,0.031997098705061,"model 1"
"16","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-04,706,26963092,694.147019817243,639,749,11.8529801827571,2.61839406252072,2.57443404420102,2.36990624072343,2.77787132128615,0.0439600183196981,"model 1"
"17","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-11,695,26963092,686.175541214709,633,742,8.82445878529109,2.57759755446445,2.54486963592569,2.34765359996546,2.75190990706852,0.0327279185387606,"model 1"
"18","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-18,689,26963092,678.566029249167,626,733,10.4339707508329,2.55534491370648,2.51664767990692,2.32169218574784,2.71853094593157,0.0386972337995692,"model 1"
"19","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-25,669,26963092,671.417789352258,619,727,-2.4177893522583,2.48116944451326,2.49013647749397,2.29573077153021,2.69627830517361,-0.00896703298070672,"model 1"
"20","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-01,666,26963092,664.820847001333,611.975,719,1.17915299866672,2.47004312413428,2.46566991278794,2.26967663797609,2.66660811749632,0.00437321134633492,"model 1"
"21","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-08,663,26963092,658.855491944577,606,712,4.14450805542344,2.4589168037553,2.44354576227599,2.24751671655461,2.64064670327869,0.015371041479306,"model 1"
"22","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-15,667,26963092,653.59203667479,602,707.025,13.4079633252102,2.47375189759394,2.42402479906529,2.23268162271597,2.62219555531687,0.0497270985286486,"model 1"
"23","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-22,672,26963092,649.090742216432,597,702,22.9092577835683,2.49229576489225,2.40733051764401,2.21413775541766,2.60355896868208,0.084965247248232,"model 1"
"24","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-29,674,26963092,645.401863642447,594,700,28.5981363575527,2.49971331181157,2.39364930269291,2.20301143503868,2.59614142176276,0.10606400911866,"model 1"
"25","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-07-06,673,26963092,642.565769791819,592,695,30.4342302081808,2.49600453835191,2.38313087309059,2.19559388811936,2.57759755446445,0.112873665261316,"model 1"
"26","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-07-13,670,26963092,640.613095928231,590,693,29.3869040717686,2.48487821797292,2.37588884808994,2.18817634120004,2.57018000754513,0.108989369882982,"model 1"
"27","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-07-20,669,26963092,639.564894081397,587,691,29.4351059186025,2.48116944451326,2.37200130490004,2.17705002082105,2.56276246062581,0.109168139613226,"model 1"
"28","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-07-27,645,26963092,639.432753102124,589,691,5.56724689787609,2.3921588814814,2.37151122394317,2.18446756774038,2.56276246062581,0.0206476575382233,"model 1"
"29","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-03,639,26963092,640.218868654355,589,693,-1.21886865435465,2.36990624072343,2.37442674843951,2.18446756774038,2.57018000754513,-0.00452050771608334,"model 1"
"30","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-10,636,26963092,641.916052136976,590,695,-5.91605213697608,2.35877992034445,2.38072121749604,2.18817634120004,2.57759755446445,-0.0219412971515881,"model 1"
"31","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-17,644,26963092,644.507676599733,592,699,-0.507676599732918,2.38845010802174,2.39033296552092,2.19559388811936,2.5924326483031,-0.00188285749918043,"model 1"
"32","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-24,646,26963092,647.967566845939,597,701,-1.96756684593879,2.39586765494106,2.40316491463938,2.21413775541766,2.59985019522242,-0.00729725969832685,"model 1"
"33","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-31,650,26963092,652.259849859794,601,706,-2.25984985979369,2.4107027487797,2.41908401996252,2.22897284925631,2.61839406252072,-0.00838127118282165,"model 1"
"34","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-09-07,653,26963092,657.338790197419,604,711,-4.33879019741937,2.42182906915869,2.43792065908991,2.24009916963529,2.63693792981903,-0.0160915899312266,"model 1"
"35","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-09-14,657,26963092,663.148642734001,610.975,717,-6.14864273400053,2.43666416299733,2.45946808598213,2.26596786451643,2.65919057057699,-0.0228039229847991,"model 1"
"36","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-09-21,652,26963092,669.623561803037,616,723,-17.6235618030368,2.41812029569902,2.48348209397882,2.28460445115123,2.68144321133496,-0.0653617982797995,"model 1"
"37","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-09-28,653,26963092,676.687610873717,622,732,-23.6876108737174,2.42182906915869,2.50968105168991,2.30685709190919,2.71482217247191,-0.0878519825312223,"model 1"
"38","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-10-05,672,26963092,684.254920015552,630,740,-12.2549200155521,2.49229576489225,2.5377464869962,2.33652727958648,2.7444923601492,-0.045450722103949,"model 1"
"39","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-10-12,680,26963092,692.230038999465,637,749,-12.230038999465,2.52196595256953,2.56732439662137,2.36248869380411,2.77787132128615,-0.0453584440518358,"model 1"
"40","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-10-19,691,26963092,700.508531509096,646,756,-9.50853150909643,2.56276246062581,2.59802744992709,2.39586765494106,2.80383273550378,-0.035264989301288,"model 1"
"41","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-10-26,700,26963092,708.977850195264,654,765,-8.97785019526407,2.59614142176276,2.62943823429176,2.42553784261835,2.83721169664073,-0.0332968125290084,"model 1"
"42","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-11-02,712,26963092,717.518522965579,663,774,-5.51852296557945,2.64064670327869,2.66111365478996,2.4589168037553,2.87059065777768,-0.0204669515112712,"model 1"
"43","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-11-09,726,26963092,726.005667952159,670,782,-0.00566795215945604,2.69256953171394,2.69259055286448,2.48487821797292,2.90026084545496,-2.10211505396193e-05,"model 1"
"44","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-11-16,740,26963092,734.310838330806,678,791,5.68916166919416,2.7444923601492,2.72339254834277,2.51454840565021,2.93363980659191,0.0210998118064284,"model 1"
"45","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-11-23,748,26963092,742.304179202755,686,800,5.69582079724489,2.77416254782649,2.75303803882268,2.5442185933275,2.96701876772886,0.0211245090038075,"model 1"
"46","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-11-30,758,26963092,749.856858080822,693,807,8.14314191917811,2.8112502824231,2.781049213795,2.57018000754513,2.99298018194649,0.0302010686281014,"model 1"
"47","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-12-07,773,26963092,756.843709461442,700,814,16.1562905385578,2.86688188431802,2.80696186276204,2.59614142176276,3.01894159616412,0.0599200215559764,"model 1"
"48","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-12-14,794,26963092,763.146014085432,705,821,30.8539859145684,2.9447661269709,2.83033568288619,2.61468528906106,3.04490301038175,0.114430444084708,"model 1"
"49","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-12-21,833,26963092,768.654316500742,712,828,64.3456834992581,3.08940829189768,2.85076472869188,2.64064670327869,3.07086442459937,0.2386435632058,"model 1"
"50","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-12-28,876,26963092,773.271172120968,716,831,102.728827879032,3.24888555066311,2.86788760028326,2.65548179711733,3.08199074497836,0.380997950379846,"model 1"
"51","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-01-04,897,27468531,791.477412487175,734,851,105.522587512825,3.26555504551736,2.88139694287683,2.67214872174999,3.09809068420878,0.384158102640529,"model 1"
"52","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-01-11,898,27468531,794.128370275921,736,853,103.871629724079,3.26919557511102,2.89104783315832,2.67942978093732,3.10537174339611,0.378147741952704,"model 1"
"53","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-01-18,877,27468531,795.67122981365,737,855,81.32877018635,3.19274445364406,2.89666465896429,2.68307031053099,3.11265280258344,0.296079794679774,"model 1"
"54","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-01-25,837,27468531,796.078175697933,738,856,40.9218243020672,3.04712326989747,2.89814615749904,2.68671084012465,3.1162933321771,0.148977112398429,"model 1"
"55","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-02-01,800,27468531,795.342624216422,738,855,4.65737578357812,2.91242367493187,2.89546836056294,2.68671084012465,3.11265280258344,0.0169553143689341,"model 1"
"56","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-02-08,782,27468531,793.479416437235,735,853,-11.4794164372352,2.8468941422459,2.88868529750366,2.67578925134366,3.10537174339611,-0.0417911552577572,"model 1"
"57","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-02-15,779,27468531,790.524385598835,732,851,-11.5243855988346,2.83597255346491,2.87792742028627,2.66486766256266,3.09809068420878,-0.0419548668213621,"model 1"
"58","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-02-22,783,27468531,786.533320999225,729,846,-3.53332099922523,2.85053467183957,2.86339783150116,2.65394607378167,3.07988803624045,-0.0128631596615968,"model 1"
"59","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-03-01,791,27468531,781.580380844328,725,840,9.41961915567242,2.87965890858889,2.84536650629161,2.63938395540701,3.05804485867846,0.0342924022972776,"model 1"
"60","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-03-08,787,27468531,775.756032765184,718,835,11.2439672348163,2.86509679021423,2.82416279474568,2.61390024825135,3.03984221071014,0.0409339954685465,"model 1"
"61","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-03-15,787,27468531,769.164621076535,714,827,17.8353789234645,2.86509679021423,2.80016656542913,2.59933812987669,3.01071797396082,0.0649302247850987,"model 1"
"62","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-03-22,769,27468531,761.921673043466,706,820.025,7.07832695653406,2.79956725752826,2.77379839876936,2.57021389312738,2.98532528004501,0.0257688587588978,"model 1"
"63","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-03-29,752,27468531,754.151061860617,697,812,-2.15106186061746,2.73767825443596,2.74550925879734,2.53744912678439,2.95611003005585,-0.00783100436138161,"model 1"
"64","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-04-05,742,27468531,745.982141852823,688,803,-3.98214185282347,2.70127295849931,2.71577006376068,2.50468436044141,2.92334526371286,-0.0144971052613752,"model 1"
"65","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-04-12,735,27468531,737.546962340891,681.975,794,-2.54696234089135,2.67578925134366,2.68506154311962,2.48275016963958,2.89058049736988,-0.00927229177596485,"model 1"
"66","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-04-19,726,27468531,728.977651954553,673,786,-2.97765195455327,2.64302448500067,2.65386471506086,2.45007641653644,2.86145626062056,-0.0108402300601851,"model 1"
"67","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-04-26,714,27468531,720.404046519299,664,777,-6.40404651929884,2.59933812987669,2.62265225074941,2.41731165019345,2.82869149427758,-0.0233141208727137,"model 1"
"68","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-05-03,709,27468531,711.951612738152,657,767,-2.95161273815154,2.58113548190837,2.59188091543065,2.3918279430378,2.79228619834093,-0.0107454335222788,"model 1"
"69","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-05-10,701,27468531,703.739698434212,650,760,-2.73969843421241,2.55201124515905,2.56198519838652,2.36634423588214,2.76680249118528,-0.00997395322746751,"model 1"
"70","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-05-17,700,27468531,695.880119624675,642,750,4.1198803753249,2.54837071556539,2.53337216913666,2.33721999913283,2.73039719524863,0.0149985464287293,"model 1"
"71","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-05-24,689,27468531,688.47607637457,634,742,0.523923625430371,2.50832489003507,2.50641753057187,2.30809576238351,2.70127295849931,0.00190735946319944,"model 1"
"72","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-05-31,688,27468531,681.621374088988,628,737,6.37862591101214,2.50468436044141,2.48146278404545,2.28625258482152,2.68307031053099,0.023221576395957,"model 1"
"73","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-06-07,685,27468531,675.399915145001,623,730,9.60008485499941,2.49376277166041,2.45881337864409,2.26804993685319,2.65758660337533,0.034949393016319,"model 1"
"74","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-06-14,674,27468531,669.885417706356,617,725,4.11458229364359,2.4537169461301,2.43873768752452,2.2462067592912,2.63938395540701,0.0149792586055788,"model 1"
"75","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-06-21,660,27468531,665.141314099137,613,719,-5.14131409913671,2.40274953181879,2.42146663794703,2.23164464091655,2.61754077784502,-0.0187171061282335,"model 1"
"76","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-06-28,660,27468531,661.220779945656,609,714,-1.2207799456562,2.40274953181879,2.40719381733831,2.21708252254189,2.59933812987669,-0.00444428551951396,"model 1"
"77","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-07-05,658,27468531,658.166846921336,606,713,-0.166846921335605,2.39546847263146,2.3960758837862,2.20616093376089,2.59569760028303,-0.000607411154734138,"model 1"
"78","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-07-12,661,27468531,656.012556019511,604,710,4.98744398048893,2.40639006141246,2.38823312400474,2.19887987457356,2.58477601150204,0.0181569374077155,"model 1"
"79","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-07-19,662,27468531,654.781114084208,603,707,7.21888591579182,2.41003059100612,2.38375002319639,2.1952393449799,2.57385442272104,0.0262805678097304,"model 1"
"80","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-07-26,672,27468531,654.486023637883,602,710,17.5139763621171,2.44643588694277,2.38267573769374,2.19159881538623,2.58477601150204,0.0637601492490337,"model 1"
"81","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-08-02,681,27468531,655.131164284784,602,708,25.8688357152162,2.47920065328575,2.38502439131086,2.19159881538623,2.57749495231471,0.0941762619748983,"model 1"
"82","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-08-09,684,27468531,656.710812867795,604,711,27.2891871322055,2.49012224206675,2.3907751487249,2.19887987457356,2.5884165410957,0.0993470933418518,"model 1"
"83","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-08-16,679,27468531,659.209598807995,606,714,19.790401192005,2.47191959409842,2.39987205288843,2.20616093376089,2.59933812987669,0.0720475412099941,"model 1"
"84","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-08-23,677,27468531,662.602400407389,610,714,14.3975995926108,2.4646385349111,2.41222364751646,2.22072305213555,2.59933812987669,0.0524148873946366,"model 1"
"85","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-08-30,665,27468531,666.85419710125,613,720,-1.85419710124984,2.42095217978712,2.4277024392067,2.23164464091655,2.62118130743868,-0.00675025941958759,"model 1"
"86","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-09-06,650,27468531,671.91990144636,618,726,-21.9199014463604,2.36634423588214,2.44614428578784,2.24984728888487,2.64302448500067,-0.0798000499056918,"model 1"
"87","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2015-09-13,641,27468531,677.744202722278,624,732,-36.7442027222777,2.33357946953916,2.46734782694523,2.27169046644686,2.66486766256266,-0.133768357406072,"model 1"
