"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-19,806,38586706,821.283132478829,754,892,-15.2831324788293,2.08880229372261,2.12840954208123,1.95404085541793,2.31167698014959,-0.0396072483586169,"model 1"
"2","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-26,789,38586706,822.85369791385,756,894,-33.8536979138503,2.04474566966146,2.13247976625382,1.95922398766041,2.31686011239208,-0.0877340965923608,"model 1"
"3","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-02,775,38586706,822.972519073242,755,891,-47.9725190732422,2.00846374396405,2.13278769914499,1.95663242153917,2.30908541402834,-0.124323955180943,"model 1"
"4","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-09,769,38586706,821.635055087193,754,889,-52.6350550871929,1.99291434723658,2.12932157279036,1.95404085541793,2.30390228178586,-0.136407225553777,"model 1"
"5","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-16,764,38586706,818.865511156048,751.975,889,-54.8655111560479,1.97995651663036,2.12214411656711,1.94879293402241,2.30390228178586,-0.142187599936745,"model 1"
"6","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-23,757,38586706,814.716060526143,746,885,-57.7160605261432,1.96181555378166,2.11139054089287,1.93330832644797,2.29353601730088,-0.149574987111217,"model 1"
"7","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-02,748,38586706,809.265186132537,742,877,-61.2651861325375,1.93849145869046,2.09726423948325,1.922942061963,2.27280348833093,-0.158772780792788,"model 1"
"8","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-09,754,38586706,802.615233595408,735.975,871,-48.6152335954083,1.95404085541793,2.08003044778015,1.9073278760825,2.25725409160347,-0.12598959236222,"model 1"
"9","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-16,739,38586706,794.889307975352,726.975,863,-55.8893079753523,1.91516736359927,2.06000820068796,1.88400378099131,2.23652156263351,-0.144840837088691,"model 1"
"10","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-23,752,38586706,786.227676744772,719,854,-34.227676744772,1.94885772317544,2.03756101063608,1.86333604117439,2.21319746754232,-0.0887032874606399,"model 1"
"11","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-30,744,38586706,776.783858877819,711,845,-32.7838588778186,1.92812519420549,2.01308673219688,1.84260351220444,2.18987337245112,-0.0849615379913968,"model 1"
"12","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-06,730,38586706,766.720584167593,701,833,-36.7205841675927,1.89184326850807,1.98700709038909,1.816687850992,2.1587745789962,-0.0951638218810197,"model 1"
"13","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-13,724,38586706,756.205798498552,692,823,-32.2057984985523,1.87629387178061,1.95975732807706,1.7933637559008,2.13285891778376,-0.0834634562964569,"model 1"
"14","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-20,734,38586706,745.408871588998,683,809,-11.4088715889982,1.90220953299305,1.93177637808472,1.77003966080961,2.09657699208634,-0.0295668450916701,"model 1"
"15","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-27,719,38586706,734.497136233728,671,799.025,-15.4971362337278,1.86333604117439,1.90349789441402,1.73894086735468,2.07072612002693,-0.0401618532396308,"model 1"
"16","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-04,718,38586706,723.632855325714,662,787,-5.63285532571388,1.86074447505314,1.87534239208113,1.71561677226348,2.03956253741898,-0.0145979170279885,"model 1"
"17","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-11,717,38586706,712.970678001367,652,778,4.02932199863346,1.8581529089319,1.84771065454866,1.68970111105104,2.01623844232778,0.0104422543832414,"model 1"
"18","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-18,706,38586706,702.65561197559,641.975,765,3.34438802441002,1.82964568159822,1.82097847889786,1.66372066068557,1.98254808275161,0.00866720270035494,"model 1"
"19","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-25,687,38586706,692.8215078617,633,756.025,-5.82150786170041,1.78040592529458,1.79549274784352,1.64046135474741,1.95928877681344,-0.015086822548938,"model 1"
"20","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-01,679,38586706,683.590024725476,623,745,-4.59002472547627,1.75967339632463,1.77156874889885,1.61454569353497,1.93071676032673,-0.0118953525742163,"model 1"
"21","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-08,666,38586706,675.070025340112,616,736,-9.07002534011235,1.72598303674846,1.74948860713872,1.59640473068626,1.90739266523553,-0.0235055703902592,"model 1"
"22","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-15,674,38586706,667.357334986007,607.975,728,6.64266501399266,1.74671556571841,1.72950066011338,1.57560741256328,1.88666013626558,0.0172149056050357,"model 1"
"23","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-22,662,38586706,660.534789030962,603,722,1.46521096903848,1.71561677226348,1.71181958115565,1.56271437111009,1.87111073953812,0.00379719110783512,"model 1"
"24","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-29,663,38586706,654.672491385005,596,714,8.32750861499505,1.71820833838473,1.69662704918374,1.54457340826138,1.85037821056817,0.0215812892009882,"model 1"
"25","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-06,659,38586706,649.82820744804,592,709,9.17179255195992,1.70784207389975,1.68407276705102,1.53420714377641,1.83742037996195,0.0237693068487368,"model 1"
"26","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-13,669,38586706,646.047820443926,589,705,22.9521795560738,1.73375773511219,1.67427564416596,1.52643244541268,1.82705411547697,0.0594820909462285,"model 1"
"27","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-20,646,38586706,643.365788151915,586,704,2.63421184808476,1.67415171432358,1.6673249801419,1.51865774704894,1.82446254935573,0.00682673418167584,"model 1"
"28","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-27,653,38586706,641.805547185826,584,701,11.1944528141745,1.69229267717229,1.66328151251321,1.51347461480646,1.816687850992,0.0290111646590784,"model 1"
"29","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-03,651,38586706,641.379823454363,583,700,9.62017654563726,1.6871095449298,1.66217822131374,1.51088304868521,1.81409628487075,0.024931323616059,"model 1"
"30","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-10,644,38586706,642.09081974319,586,701,1.90918025681049,1.66896858208109,1.6640208152082,1.51865774704894,1.816687850992,0.00494776687289785,"model 1"
"31","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-17,641,38586706,643.930264121051,585,702,-2.93026412105132,1.66119388371736,1.66878785693977,1.5160661809277,1.81927941711324,-0.00759397322241324,"model 1"
"32","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-24,653,38586706,646.879315836732,589,707,6.12068416326781,1.69229267717229,1.67643051945593,1.52643244541268,1.83223724771946,0.0158621577163591,"model 1"
"33","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-31,656,38586706,650.9083383603,592,711,5.09166163970019,1.70006737553602,1.68687199772974,1.53420714377641,1.84260351220444,0.0131953778062843,"model 1"
"34","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-07,655,38586706,655.976562066124,598,715,-0.976562066123847,1.69747580941478,1.70000663458063,1.54975654050387,1.85296977668941,-0.00253082516585854,"model 1"
"35","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-14,667,38586706,662.03167155098,604,722,4.96832844901962,1.7285746028697,1.71569885118201,1.56530593723134,1.87111073953812,0.0128757516876917,"model 1"
"36","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-21,668,38586706,669.0093644289,609,729,-1.00936442889974,1.73116616899095,1.73378200364887,1.57826376783756,1.88925170238683,-0.00261583465792531,"model 1"
