"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-19,381,26963092,362.933245036398,325,403,18.0667549636019,1.41304268813087,1.34603718681966,1.20535137438985,1.49463570424342,0.0670055013112068,"model 1"
"2","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-26,373,26963092,363.174417278508,326,402,9.82558272149163,1.38337250045358,1.34693164003041,1.20906014784951,1.49092693078375,0.0364408604231726,"model 1"
"3","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-02,371,26963092,362.909035949856,326,401,8.09096405014412,1.37595495353426,1.34594740080201,1.20906014784951,1.48721815732409,0.0300075527322464,"model 1"
"4","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-09,364,26963092,362.144113371291,325,400,1.85588662870936,1.34999353931663,1.34311047624394,1.20535137438985,1.48350938386443,0.00688306307269714,"model 1"
"5","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-16,362,26963092,360.895900244964,324,399,1.10409975503569,1.34257599239731,1.33848113652902,1.20164260093019,1.47980061040477,0.00409485586829467,"model 1"
"6","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-23,370,26963092,359.189423013769,321,397,10.8105769862311,1.3722461800746,1.33215219906444,1.19051628055121,1.47238306348545,0.0400939810101567,"model 1"
"7","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-02,362,26963092,357.057782616811,320,395,4.9422173831893,1.34257599239731,1.32424642773466,1.18680750709155,1.46496551656613,0.0183295646626481,"model 1"
"8","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-09,352,26963092,354.541249050511,318,392,-2.54124905051094,1.3054882578007,1.31491317483362,1.17938996017222,1.45383919618714,-0.0094249170329239,"model 1"
"9","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-16,347,26963092,351.686194766028,315,390,-4.68619476602754,1.28694439050239,1.30432442527744,1.16826363979324,1.44642164926782,-0.0173800347750456,"model 1"
"10","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-23,341,26963092,348.543915476184,312,386,-7.54391547618366,1.26469174974443,1.29267042324442,1.15713731941426,1.43158655542918,-0.0279786734999964,"model 1"
"11","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-30,323,26963092,345.169389172173,310,382,-22.1693891721729,1.19793382747053,1.28015506964918,1.14971977249493,1.41675146159053,-0.0822212421786527,"model 1"
"12","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-06,321,26963092,341.62002312477,305,378,-20.6200231247697,1.19051628055121,1.26699127505395,1.13117590519663,1.40191636775189,-0.0764749945027434,"model 1"
"13","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-13,319,26963092,337.954434698556,302,375,-18.954434698556,1.18309873363188,1.25339643798477,1.12004958481765,1.39079004737291,-0.0702977043528837,"model 1"
"14","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-20,321,26963092,334.23130548547,299,370,-13.2313054854699,1.19051628055121,1.23958819517239,1.10892326443866,1.3722461800746,-0.0490719146211789,"model 1"
"15","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-27,314,26963092,330.508340248122,295.975,367,-16.5083402481221,1.16455486633358,1.22578056050887,1.09770422472319,1.36111985969562,-0.0612256941752899,"model 1"
"16","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-04,317,26963092,326.841353193844,292,363,-9.84135319384421,1.17568118671256,1.21218053624504,1.08296185022104,1.34628476585697,-0.0364993495324802,"model 1"
"17","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-11,313,26963092,323.283494898823,288,359,-10.2834948988232,1.16084609287392,1.19898524582723,1.06812675638239,1.33144967201833,-0.0381391529533155,"model 1"
"18","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-18,310,26963092,319.884624408546,286,354,-9.88462440854585,1.14971977249493,1.18637960516007,1.06070920946307,1.31290580472002,-0.0366598326651329,"model 1"
"19","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-25,300,26963092,316.69082317186,282,352,-16.6908231718598,1.11263203789832,1.17453451989801,1.04587411562442,1.3054882578007,-0.0619024819996898,"model 1"
"20","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-01,301,26963092,313.744040888607,280,349,-12.7440408886071,1.11634081135799,1.16360557197449,1.0384565687051,1.29436193742172,-0.0472647606165015,"model 1"
"21","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-08,300,26963092,311.081858280459,276,347,-11.081858280459,1.11263203789832,1.15373213977262,1.02362147486646,1.28694439050239,-0.0411001018742916,"model 1"
"22","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-15,295,26963092,308.737348306849,274,344,-13.7373483068494,1.09408817060002,1.14503688340658,1.01620392794714,1.27581807012341,-0.050948712806563,"model 1"
"23","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-22,290,26963092,306.739015402579,273,342,-16.7390154025786,1.07554430330171,1.13762551936765,1.01249515448747,1.26840052320409,-0.0620812160659416,"model 1"
"24","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-29,296,26963092,305.110791784185,272,340,-9.11079178418515,1.09779694405968,1.13158680682536,1.00878638102781,1.26098297628477,-0.0337898627656841,"model 1"
"25","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-07-06,295,26963092,303.872070577415,270,339,-8.87207057741495,1.09408817060002,1.12699267048978,1.00136883410849,1.25727420282511,-0.0329044998897565,"model 1"
"26","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-07-13,297,26963092,303.03775725028,269,338.025,-6.03775725028021,1.10150571751934,1.12389839136506,0.997660060648831,1.25365814870194,-0.0223926738457155,"model 1"
"27","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-07-20,297,26963092,302.618323384752,268,337,-5.61832338475159,1.10150571751934,1.1223428061765,0.99395128718917,1.24985665590578,-0.0208370886571599,"model 1"
"28","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-07-27,301,26963092,302.619849987547,268,337,-1.61984998754747,1.11634081135799,1.12234846800043,0.99395128718917,1.24985665590578,-0.00600765664244838,"model 1"
"29","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-03,293,26963092,303.044051151705,269,337,-10.0440511517053,1.0866706236807,1.12392173401962,0.997660060648831,1.24985665590578,-0.037251110338923,"model 1"
"30","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-10,296,26963092,303.888272784863,270,340,-7.88827278486337,1.09779694405968,1.12705276080675,1.00136883410849,1.26098297628477,-0.0292558167470681,"model 1"
"31","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-17,295,26963092,305.14546518761,271,339,-10.1454651876101,1.09408817060002,1.13171540262374,1.00507760756815,1.25727420282511,-0.0376272320237236,"model 1"
"32","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-24,308,26963092,306.804132378829,273,342,1.19586762117132,1.14230222557561,1.13786702348094,1.01249515448747,1.26840052320409,0.00443520209466821,"model 1"
"33","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-31,304,26963092,308.848265110355,274,344,-4.84826511035544,1.12746713173697,1.14544824870366,1.01620392794714,1.27581807012341,-0.0179811169666871,"model 1"
"34","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-09-07,308,26963092,311.257268367609,277,346,-3.25726836760896,1.14230222557561,1.15438269604839,1.02733024832612,1.28323561704273,-0.0120804704727817,"model 1"
"35","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-09-14,308,26963092,314.005897675452,279,349,-6.00589767545227,1.14230222557561,1.16457673947577,1.03474779524544,1.29436193742172,-0.0222745139001576,"model 1"
"36","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-09-21,313,26963092,317.06422155417,282,352,-4.06422155417033,1.16084609287392,1.17591936990821,1.04587411562442,1.3054882578007,-0.0150732770342894,"model 1"
"37","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-09-28,309,26963092,320.39762980811,285,356,-11.3976298081101,1.14601099903527,1.18828222597063,1.05700043600341,1.32032335163934,-0.0422712269353609,"model 1"
"38","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-10-05,321,26963092,323.966908767187,290,360,-2.96690876718742,1.19051628055121,1.20151987304419,1.07554430330171,1.33515844547799,-0.0110035924929805,"model 1"
"39","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-10-12,322,26963092,327.728404918332,293,363,-5.72840491833239,1.19422505401087,1.21547041013817,1.0866706236807,1.34628476585697,-0.0212453561273032,"model 1"
"40","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-10-19,323,26963092,331.634297350033,297,367,-8.63429735003257,1.19793382747053,1.22995648032515,1.10150571751934,1.36111985969562,-0.0320226528546228,"model 1"
"41","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-10-26,321,26963092,335.632996915478,300,372,-14.6329969154784,1.19051628055121,1.24478675114664,1.11263203789832,1.37966372699392,-0.0542704705954289,"model 1"
"42","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-02,327,26963092,339.669685893475,304,377,-12.6696858934745,1.21276892130917,1.25975791609313,1.12746713173697,1.39820759429223,-0.0469889947839607,"model 1"
"43","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-09,325,26963092,343.687006186314,308,381,-18.6870061863142,1.20535137438985,1.27465724697418,1.14230222557561,1.41304268813087,-0.0693058725843247,"model 1"
"44","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-16,334,26963092,347.62589686459,311,385,-13.6258968645895,1.2387303355268,1.28926570018227,1.1534285459546,1.42787778196952,-0.0505353646554688,"model 1"
"45","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-23,343,26963092,351.426573424756,316,389,-8.4265734247557,1.27210929666375,1.30336154853737,1.1719724132529,1.44271287580816,-0.0312522518736193,"model 1"
"46","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-30,349,26963092,355.02963189782,319,393,-6.02963189782031,1.29436193742172,1.31672447617588,1.18309873363188,1.4575479696468,-0.0223625387541618,"model 1"
"47","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-12-07,352,26963092,358.377251514674,321,396,-6.37725151467407,1.3054882578007,1.32914003896391,1.19051628055121,1.46867429002579,-0.0236517811632066,"model 1"
"48","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-12-14,370,26963092,361.414460688173,325,399.025,8.58553931182706,1.3722461800746,1.34040435973802,1.20535137438985,1.47989332974126,0.0318418203365811,"model 1"
"49","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-12-21,383,26963092,364.090423368874,327,403,18.9095766311256,1.42046023505019,1.35032889910725,1.21276892130917,1.49463570424342,0.0701313359429461,"model 1"
