"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-01-19,95,26963092,87.4289031563911,69,107,7.57109684360894,0.352333478667803,0.324253995633702,0.255905368716615,0.396838760183736,0.0280794830341006,"model 1"
"2","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-01-26,88,26963092,87.5310847590633,69,106.025,0.468915240936695,0.326372064450175,0.324632964049758,0.255905368716615,0.393222706060565,0.0017391004004166,"model 1"
"3","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-02,85,26963092,87.5117466238445,70,106,-2.51174662384453,0.315245744071192,0.3245612432871,0.259614142176276,0.393129986724075,-0.00931549921590792,"model 1"
"4","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-09,84,26963092,87.3714355020383,69,106,-3.37143550203832,0.311536970611531,0.32404086112245,0.255905368716615,0.393129986724075,-0.0125038905109189,"model 1"
"5","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-16,83,26963092,87.1129441465038,69,106,-4.11294414650385,0.30782819715187,0.323082175243492,0.255905368716615,0.393129986724075,-0.0152539780916219,"model 1"
"6","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-23,81,26963092,86.7412313975025,69,106,-5.74123139750253,0.300410650232548,0.321703576865378,0.255905368716615,0.393129986724075,-0.0212929266328303,"model 1"
"7","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-02,79,26963092,86.2632820118151,69,105,-7.26328201181514,0.292993103313225,0.319930970868679,0.255905368716615,0.389421213264413,-0.0269378675554537,"model 1"
"8","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-09,77,26963092,85.6879131622522,68,104,-8.68791316225222,0.285575556393903,0.317797058149904,0.252196595256953,0.385712439804752,-0.0322215017560012,"model 1"
"9","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-16,78,26963092,85.0255369249961,67,103.025,-7.0255369249961,0.289284329853564,0.315340454740859,0.248487821797292,0.382096385681581,-0.0260561248872945,"model 1"
"10","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-23,76,26963092,84.2878897852378,66,103,-8.28788978523782,0.281866782934242,0.312604688606328,0.244779048337631,0.382003666345091,-0.0307379056720862,"model 1"
"11","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-30,79,26963092,83.4877411338771,66,103,-4.48774113387708,0.292993103313225,0.309637118524378,0.244779048337631,0.382003666345091,-0.0166440152111526,"model 1"
"12","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-06,80,26963092,82.6385928779405,65,101,-2.63859287794052,0.296701876772886,0.306487820009443,0.24107027487797,0.374586119425769,-0.00978594323655657,"model 1"
"13","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-13,84,26963092,81.7543816920192,64,100,2.24561830798078,0.311536970611531,0.303208481030363,0.237361501418309,0.370877345966108,0.00832848958116813,"model 1"
"14","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-20,81,26963092,80.8491942029106,64,99,0.150805797089376,0.300410650232548,0.299851345694739,0.237361501418309,0.367168572506447,0.000559304537808112,"model 1"
"15","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-27,81,26963092,79.9370036727708,63,98,1.06299632722916,0.300410650232548,0.296468237666403,0.233652727958648,0.363459799046786,0.00394241256614471,"model 1"
"16","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-04,81,26963092,79.0314346991632,62,97,1.96856530083683,0.300410650232548,0.293109687491194,0.229943954498987,0.359751025587125,0.00730096274135336,"model 1"
"17","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-11,80,26963092,78.1455602599267,61,96,1.85443974007327,0.296701876772886,0.289824179882362,0.226235181039326,0.356042252127464,0.00687769689052455,"model 1"
"18","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-18,78,26963092,77.291733261354,61,95,0.708266738646032,0.289284329853564,0.286657528970913,0.226235181039326,0.352333478667803,0.00262680088265111,"model 1"
"19","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-25,78,26963092,76.4814527394236,60,94,1.51854726057641,0.289284329853564,0.283652382076297,0.222526407579665,0.348624705208142,0.00563194777726684,"model 1"
"20","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-01,80,26963092,75.7252631224043,59,93,4.27473687759573,0.296701876772886,0.280847846094225,0.218817634120004,0.344915931748481,0.0158540306786615,"model 1"
"21","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-08,80,26963092,75.0326835593434,58,92,4.96731644065662,0.296701876772886,0.278279225392041,0.215108860660343,0.341207158288819,0.0184226513808454,"model 1"
"22","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-15,77,26963092,74.4121632877547,58,92,2.58783671224526,0.285575556393903,0.275977856277591,0.215108860660343,0.341207158288819,0.00959770011631182,"model 1"
"23","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-22,72,26963092,73.8710583593138,58,92,-1.87105835931376,0.267031689095598,0.273971020680098,0.215108860660343,0.341207158288819,-0.00693933158449989,"model 1"
"24","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-29,70,26963092,73.4156247441666,57,91,-3.41562474416664,0.259614142176276,0.272281920575603,0.211400087200682,0.337498384829158,-0.0126677783993269,"model 1"
"25","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-06,67,26963092,73.0510228551733,56,90,-6.05102285517334,0.248487821797292,0.270929694766362,0.207691313741021,0.333789611369497,-0.0224418729690695,"model 1"
"26","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-13,64,26963092,72.7813288258189,57,90,-8.78132882581892,0.237361501418309,0.269929460708063,0.211400087200682,0.333789611369497,-0.032567959289754,"model 1"
"27","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-20,68,26963092,72.6095483889249,56,90,-4.60954838892488,0.252196595256953,0.269292365982822,0.207691313741021,0.333789611369497,-0.0170957707258681,"model 1"
"28","Texas","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-27,73,26963092,72.5376298882464,56,90,0.462370111753572,0.270740462555259,0.269025636556247,0.207691313741021,0.333789611369497,0.00171482599901217,"model 1"
