"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-19,69,19653431,86.3825823505882,68,105,-17.3825823505882,0.351083736982108,0.439529272779843,0.345995566880918,0.534257860624946,-0.0884455357977352,"model 1"
"2","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-26,74,19653431,86.3060647632603,68,105,-12.3060647632603,0.376524587488057,0.439139938279786,0.345995566880918,0.534257860624946,-0.0626153507917286,"model 1"
"3","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-02,74,19653431,86.0312483234114,68,105,-12.0312483234114,0.376524587488057,0.437741625487231,0.345995566880918,0.534257860624946,-0.0612170379991739,"model 1"
"4","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-09,73,19653431,85.5651943999423,68,104,-12.5651943999423,0.371436417386867,0.435370263848294,0.345995566880918,0.529169690523756,-0.0639338464614261,"model 1"
"5","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-16,76,19653431,84.9189088414061,67,104,-8.91890884140608,0.386700927690437,0.432081852992519,0.340907396779728,0.529169690523756,-0.0453809253020812,"model 1"
"6","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-23,82,19653431,84.1069495530411,67,103,-2.10694955304109,0.417229948297577,0.427950466018076,0.340907396779728,0.524081520422566,-0.0107205177204992,"model 1"
"7","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-02,81,19653431,83.1469234090252,65,101,-2.14692340902521,0.412141778196387,0.423065689695734,0.330731056577348,0.513905180220186,-0.0109239114993469,"model 1"
"8","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-09,78,19653431,82.058902576612,65,100,-4.05890257661204,0.396877267892817,0.417529654626778,0.330731056577348,0.508817010118996,-0.0206523867339603,"model 1"
"9","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-16,79,19653431,80.8647934187039,64,99,-1.86479341870388,0.401965437994007,0.411453824111952,0.325642886476158,0.503728840017806,-0.00948838611794492,"model 1"
"10","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-23,75,19653431,79.587691519294,63,97,-4.58769151929398,0.381612757589247,0.404955712411202,0.320554716374968,0.493552499815427,-0.0233429548219544,"model 1"
"11","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-30,73,19653431,78.2512542323133,61,96,-5.25125423231326,0.371436417386867,0.398155692165471,0.310378376172588,0.488464329714237,-0.0267192747786036,"model 1"
"12","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-06,68,19653431,76.8791179194752,60,95,-8.87911791947519,0.345995566880918,0.391174029203731,0.305290206071398,0.483376159613047,-0.0451784623228137,"model 1"
"13","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-13,68,19653431,75.4943813104917,59,93,-7.4943813104917,0.345995566880918,0.384128253791878,0.300202035970208,0.473199819410667,-0.0381326869109608,"model 1"
"14","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-20,71,19653431,74.1191698565741,58,92,-3.11916985657406,0.361260077184488,0.377130943989241,0.295113865869018,0.468111649309477,-0.0158708668047531,"model 1"
"15","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-27,70,19653431,72.7742892091033,57,90,-2.77428920910329,0.356171907083298,0.370287962489111,0.290025695767828,0.457935309107097,-0.0141160554058133,"model 1"
"16","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-04,66,19653431,71.4789696085533,55,89,-5.47896960855327,0.335819226678538,0.363697156026107,0.279849355565448,0.452847139005907,-0.0278779293475692,"model 1"
"17","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-11,67,19653431,70.2506974498003,54,88,-3.25069744980034,0.340907396779728,0.357447498351816,0.274761185464258,0.447758968904717,-0.0165401015720886,"model 1"
"18","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-18,66,19653431,69.1051258787106,53,86,-3.10512587871055,0.335819226678538,0.351618635335024,0.269673015363068,0.437582628702337,-0.0157994086564863,"model 1"
"19","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-25,60,19653431,68.0560530966811,52,85,-8.05605309668107,0.305290206071398,0.346280774571529,0.264584845261878,0.432494458601147,-0.0409905685001314,"model 1"
"20","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-01,61,19653431,67.1154550952839,52,84,-6.11545509528391,0.310378376172588,0.341494851943581,0.264584845261878,0.427406288499957,-0.0311164757709934,"model 1"
"21","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-08,60,19653431,66.2935587001771,51,83,-6.29355870017713,0.305290206071398,0.337312903279723,0.259496675160688,0.422318118398767,-0.0320226972083252,"model 1"
"22","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-15,59,19653431,65.5989408935765,50,82,-6.59894089357647,0.300202035970208,0.333778569724424,0.254408505059498,0.417229948297577,-0.0335765337542156,"model 1"
"23","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-22,56,19653431,65.0386411989204,50,81,-9.03864119892036,0.284937525666638,0.330927669570368,0.254408505059498,0.412141778196387,-0.0459901439037304,"model 1"
"24","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-29,59,19653431,64.6182752408141,50,81,-5.61827524081407,0.300202035970208,0.328788776070774,0.254408505059498,0.412141778196387,-0.028586740100566,"model 1"
"25","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-07-06,56,19653431,64.3421392514779,49,81,-8.34213925147787,0.284937525666638,0.327383749185971,0.249320334958308,0.412141778196387,-0.042446223519333,"model 1"
"26","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-07-13,57,19653431,64.2132971323445,49,81,-7.21329713234451,0.290025695767828,0.326728178567623,0.249320334958308,0.412141778196387,-0.0367024827997946,"model 1"
"27","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-07-20,56,19653431,64.2336435901899,49,81,-8.23364359018993,0.284937525666638,0.326831704806097,0.249320334958308,0.412141778196387,-0.0418941791394588,"model 1"
"28","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-07-27,57,19653431,64.4039387885187,49,81,-7.40393878851867,0.290025695767828,0.327698195742609,0.249320334958308,0.412141778196387,-0.0376724999747814,"model 1"
"29","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-08-03,53,19653431,64.7238118618623,49,81,-11.7238118618623,0.269673015363068,0.329325764350572,0.249320334958308,0.412141778196387,-0.0596527489875042,"model 1"
"30","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-08-10,55,19653431,65.1917325367248,50,82,-10.1917325367248,0.279849355565448,0.331706624338136,0.254408505059498,0.417229948297577,-0.0518572687726879,"model 1"
"31","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-08-17,54,19653431,65.8049520086361,50,82,-11.8049520086361,0.274761185464258,0.334826789320583,0.254408505059498,0.417229948297577,-0.0600656038563245,"model 1"
"32","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-08-24,53,19653431,66.5594161647131,51,83.0249999999996,-13.5594161647131,0.269673015363068,0.338665631281953,0.259496675160688,0.422445322651295,-0.0689926159188849,"model 1"
"33","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-08-31,56,19653431,67.4496562304723,52,84,-11.4496562304723,0.284937525666638,0.343195324167431,0.264584845261878,0.427406288499957,-0.0582577985007926,"model 1"
"34","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-09-07,61,19653431,68.4686639514946,53,86,-7.46866395149461,0.310378376172588,0.348380208786418,0.269673015363068,0.437582628702337,-0.0380018326138302,"model 1"
"35","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-09-14,59,19653431,69.6077604543585,53.975,86,-10.6077604543585,0.300202035970208,0.35417612555466,0.274633981211728,0.437582628702337,-0.0539740895844523,"model 1"
"36","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-09-21,60,19653431,70.8564698842866,55,88,-10.8564698842866,0.305290206071398,0.360529771541094,0.279849355565448,0.447758968904717,-0.0552395654696961,"model 1"
"37","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-09-28,65,19653431,72.2024106596673,56,89,-7.20241065966731,0.330731056577348,0.367378147152359,0.284937525666638,0.452847139005907,-0.0366470905750111,"model 1"
