"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-01-19,93,26963092,89.8815024254751,71,109.025,3.11849757452485,0.344915931748481,0.333350130710065,0.263322915635937,0.404349026439548,0.0115658010384152,"model 1"
"2","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-01-26,95,26963092,89.7223911398351,71,109,5.2776088601649,0.352333478667803,0.332760022996751,0.263322915635937,0.404256307103058,0.0195734556710518,"model 1"
"3","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-02-02,95,26963092,89.5145204518593,72,109,5.48547954814066,0.352333478667803,0.331989077706145,0.267031689095598,0.404256307103058,0.0203444009616577,"model 1"
"4","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-02-09,98,26963092,89.2612775195365,71,109,8.73872248046345,0.363459799046786,0.331049857039899,0.263322915635937,0.404256307103058,0.0324099420068865,"model 1"
"5","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-02-16,95,26963092,88.966749066157,71,108,6.03325093384296,0.352333478667803,0.32995751772889,0.263322915635937,0.400547533643397,0.0223759609389122,"model 1"
"6","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-02-23,94,26963092,88.6356398095236,70,108,5.36436019047638,0.348624705208142,0.32872950850564,0.259614142176276,0.400547533643397,0.0198951967025012,"model 1"
"7","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-02,87,26963092,88.2731809282985,70,107,-1.27318092829846,0.322663290990514,0.327385230626734,0.259614142176276,0.396838760183736,-0.00472193963621998,"model 1"
"8","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-09,82,26963092,87.8850313240145,69,106,-5.88503132401453,0.304119423692209,0.325945671675988,0.255905368716615,0.393129986724075,-0.0218262479837792,"model 1"
"9","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-16,83,26963092,87.4771744891631,70,107,-4.47717448916315,0.30782819715187,0.32443302307155,0.259614142176276,0.396838760183736,-0.0166048259196799,"model 1"
"10","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-23,84,26963092,87.0558137165313,69,106,-3.05581371653132,0.311536970611531,0.32287029142107,0.255905368716615,0.393129986724075,-0.0113333208095396,"model 1"
"11","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-30,84,26963092,86.6272681964096,68,105,-2.62726819640957,0.311536970611531,0.321280913169786,0.252196595256953,0.389421213264413,-0.00974394255825546,"model 1"
"12","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-04-06,86,26963092,86.1978722662931,68,105,-0.197872266293103,0.318954517530853,0.319688380940484,0.252196595256953,0.389421213264413,-0.000733863409630852,"model 1"
"13","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-04-13,90,26963092,85.773879726253,68,105,4.22612027374701,0.333789611369497,0.318115888660889,0.252196595256953,0.389421213264413,0.0156737227086085,"model 1"
"14","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-04-20,88,26963092,85.3613747383596,68,104,2.63862526164044,0.326372064450175,0.316586001109812,0.252196595256953,0.385712439804752,0.00978606334036335,"model 1"
"15","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-04-27,85,26963092,84.966190416492,67,104,0.0338095835080168,0.315245744071192,0.315120351985195,0.248487821797292,0.385712439804752,0.000125392085996728,"model 1"
"16","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-05-04,88,26963092,84.5938358081094,67,103,3.40616419189061,0.326372064450175,0.313739373096043,0.248487821797292,0.382003666345091,0.0126326913541318,"model 1"
"17","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-05-11,83,26963092,84.2494315934184,66,103,-1.24943159341844,0.30782819715187,0.312462055885202,0.244779048337631,0.382003666345091,-0.00463385873333235,"model 1"
"18","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-05-18,80,26963092,83.9376544972661,66,103,-3.93765449726612,0.296701876772886,0.311305745265662,0.244779048337631,0.382003666345091,-0.0146038684927757,"model 1"
"19","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-05-25,82,26963092,83.6626901377503,66,102,-1.66269013775026,0.304119423692209,0.310285964746737,0.244779048337631,0.37829489288543,-0.00616654105452839,"model 1"
"20","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-06-01,81,26963092,83.4281938310357,66,102,-2.42819383103574,0.300410650232548,0.309416271068006,0.244779048337631,0.37829489288543,-0.00900562083545812,"model 1"
"21","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-06-08,77,26963092,83.2372587376942,66,102,-6.23725873769419,0.285575556393903,0.308708136061303,0.244779048337631,0.37829489288543,-0.0231325796673994,"model 1"
"22","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-06-15,80,26963092,83.092390671435,66,102,-3.09239067143498,0.296701876772886,0.308170853222008,0.244779048337631,0.37829489288543,-0.0114689764491216,"model 1"
"23","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-06-22,81,26963092,82.9954888922128,66,101,-1.99548889221276,0.300410650232548,0.307811466475035,0.244779048337631,0.374586119425769,-0.00740081624248718,"model 1"
"24","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-06-29,80,26963092,82.9478322653642,66,101,-2.94783226536416,0.296701876772886,0.307634718842202,0.244779048337631,0.374586119425769,-0.0109328420693152,"model 1"
"25","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-07-06,81,26963092,82.950070277338,66,101,-1.95007027733797,0.300410650232548,0.307643019121613,0.244779048337631,0.374586119425769,-0.00723236888906499,"model 1"
"26","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-07-13,82,26963092,83.0022185457987,65,101,-1.00221854579873,0.304119423692209,0.307836425235647,0.24107027487797,0.374586119425769,-0.00371700154343844,"model 1"
"27","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-07-20,82,26963092,83.1036586353335,66,102,-1.10365863533352,0.304119423692209,0.308212643547459,0.244779048337631,0.37829489288543,-0.00409321985525071,"model 1"
"28","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-07-27,81,26963092,83.2531421768391,66,102,-2.25314217683908,0.300410650232548,0.308767044138851,0.244779048337631,0.37829489288543,-0.00835639390630376,"model 1"
"29","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-08-03,81,26963092,83.4487994758017,66,102,-2.44879947580169,0.300410650232548,0.309492692736433,0.244779048337631,0.37829489288543,-0.00908204250388528,"model 1"
"30","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-08-10,85,26963092,83.6881529689293,66,102,1.31184703107073,0.315245744071192,0.310380400619222,0.244779048337631,0.37829489288543,0.0048653434519703,"model 1"
"31","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-08-17,88,26963092,83.9681360371194,66,102,4.03186396288065,0.326372064450175,0.311418794391679,0.244779048337631,0.37829489288543,0.0149532700584957,"model 1"
"32","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-08-24,93,26963092,84.2851177934281,67,103,8.71488220657194,0.344915931748481,0.312594407916674,0.248487821797292,0.382003666345091,0.0323215238318066,"model 1"
"33","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-08-31,96,26963092,84.6349345264829,67,103,11.3650654735171,0.356042252127464,0.313891798931973,0.248487821797292,0.382003666345091,0.0421504531954906,"model 1"
"34","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-09-07,94,26963092,85.0129284833032,67,104,8.98707151669677,0.348624705208142,0.315293692886941,0.248487821797292,0.385712439804752,0.033331012321201,"model 1"
"35","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-09-14,89,26963092,85.413994613568,68,104,3.58600538643203,0.330080837909836,0.316781156306435,0.252196595256953,0.385712439804752,0.0132996816034008,"model 1"
"36","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-09-21,86,26963092,85.8326357657067,68,104,0.167364234293316,0.318954517530853,0.318333801500609,0.252196595256953,0.385712439804752,0.000620716030243551,"model 1"
"37","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-09-28,82,26963092,86.2630266230014,69,105,-4.26302662300144,0.304119423692209,0.319930023689425,0.255905368716615,0.389421213264413,-0.0158105999972163,"model 1"
"38","Texas","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-10-05,82,26963092,86.6990863984948,69,105,-4.69908639849484,0.304119423692209,0.321547270611601,0.255905368716615,0.389421213264413,-0.017427846919392,"model 1"
