"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-01-19,993,318386329,992.352285588984,931,1055,0.647714411015727,0.311885250575567,0.311681813947792,0.292412052654434,0.3313584484967,0.000203436627775474,"model 1"
"2","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-01-26,981,318386329,991.45019815786,930,1055,-10.4501981578597,0.308116244526316,0.31139848286572,0.292097968816997,0.3313584484967,-0.00328223833940425,"model 1"
"3","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-02,974,318386329,990.127944904789,929,1053,-16.1279449047888,0.305917657664252,0.310983184489931,0.291783884979559,0.330730280821825,-0.00506552682567876,"model 1"
"4","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-09,968,318386329,988.407336481013,927,1052,-20.4073364810126,0.304033154639626,0.310442769193464,0.291155717304684,0.330416196984388,-0.0064096145538374,"model 1"
"5","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-16,976,318386329,986.316324090919,926,1048,-10.3163240909188,0.306545825339128,0.309786015997854,0.290841633467246,0.329159861634637,-0.00324019065872605,"model 1"
"6","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-23,973,318386329,983.888471331241,922,1046,-10.8884713312408,0.305603573826815,0.30902346668636,0.289585298117495,0.328531693959762,-0.00341989285954574,"model 1"
"7","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-02,978,318386329,981.162330851792,921,1044,-3.16233085179238,0.307173993014003,0.308167230023181,0.289271214280058,0.327903526284886,-0.000993237009178361,"model 1"
"8","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-09,987,318386329,978.180743255689,918,1039.025,8.81925674431068,0.310000747550941,0.307230761549341,0.288328962767745,0.326340959193634,0.0027699860016008,"model 1"
"9","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-16,1000,318386329,974.990077013243,914,1037,25.0099229867569,0.314083837437631,0.30622862485193,0.287072627417994,0.325704939422823,0.00785521258570022,"model 1"
"10","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-23,987,318386329,971.639428704045,909,1032.025,15.3605712959549,0.310000747550941,0.305176240373074,0.285502208230806,0.324142372331571,0.00482450717786782,"model 1"
"11","National","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-30,978,318386329,968.179802653521,907.975,1031,9.82019734647906,0.307173993014003,0.304089627747026,0.285180272297433,0.323820436398197,0.00308436526697698,"model 1"
