"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-19,831,318386329,815.330656014881,759,873,15.6693439851191,0.261003668910671,0.256082181221695,0.238389632615162,0.274195190083052,0.00492148768897646,"model 1"
"2","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-26,820,318386329,814.33289742137,758,871,5.66710257863019,0.257548746698857,0.255768801373808,0.238075548777724,0.273567022408176,0.00177994532504886,"model 1"
"3","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-02,812,318386329,813.092196946596,756,869,-1.09219694659589,0.255036075999356,0.255379117407581,0.237447381102849,0.272938854733301,-0.0003430414082245,"model 1"
"4","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-09,805,318386329,811.627582317669,756,868,-6.62758231766884,0.252837489137293,0.25491910562456,0.237447381102849,0.272624770895863,-0.00208161648726722,"model 1"
"5","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-16,807,318386329,809.961411410954,753,867,-2.96141141095381,0.253465656812168,0.254395788272352,0.236505129590536,0.272310687058426,-0.000930131460183963,"model 1"
"6","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-23,801,318386329,808.118980567653,753,865,-7.11898056765267,0.251581153787542,0.253817110522874,0.236505129590536,0.271682519383551,-0.00223595673533227,"model 1"
"7","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-02,802,318386329,806.128089570168,750,862,-4.12808957016841,0.25189523762498,0.253191803838465,0.235562878078223,0.270740267871238,-0.00129656621348475,"model 1"
"8","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-09,807,318386329,804.018573649658,747,861,2.98142635034185,0.253465656812168,0.252529238983015,0.23462062656591,0.2704261840338,0.000936417829153038,"model 1"
"9","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-16,815,318386329,801.821813128643,746,858,13.1781868713573,0.255978327511669,0.251839272008643,0.234306542728472,0.269483932521487,0.0041390555030261,"model 1"
"10","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-23,802,318386329,799.570231154424,744,856,2.42976884557606,0.25189523762498,0.251132086501875,0.233678375053597,0.268855764846612,0.000763151123104932,"model 1"
"11","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-30,795,318386329,797.296789486962,740,852,-2.29678948696187,0.249696650762916,0.250418035218768,0.232422039703847,0.267599429496861,-0.000721384455851391,"model 1"
"12","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-06,794,318386329,795.034491521938,739,851,-1.03449152193764,0.249382566925479,0.249707483992486,0.232107955866409,0.267285345659424,-0.000324917067006869,"model 1"
"13","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-13,791,318386329,792.815900720868,737,848,-1.8159007208676,0.248440315413166,0.249010660479982,0.231479788191534,0.266343094147111,-0.000570345066815857,"model 1"
"14","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-20,783,318386329,790.672681456409,735,846,-7.67268145640867,0.245927644713665,0.24833750994893,0.230851620516659,0.265714926472236,-0.00240986523526538,"model 1"
"15","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-27,785,318386329,788.635168035652,733.975,844,-3.63516803565187,0.24655581238854,0.247697559914908,0.230529684583285,0.26508675879736,-0.00114174752636815,"model 1"
"16","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-04,795,318386329,786.73196640727,732,843,8.26803359273038,0.249696650762916,0.247099795044048,0.229909369004346,0.264772674959923,0.002596855718868,"model 1"
"17","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-11,799,318386329,784.989591853672,729,839,14.0104081463282,0.250952986112667,0.246552543358001,0.228967117492033,0.263516339610172,0.00440044275466622,"model 1"
"18","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-18,789,318386329,783.432144870624,728,838.025,5.56785512937563,0.247812147738291,0.24606337443296,0.228653033654595,0.26321010786867,0.00174877330533109,"model 1"
"19","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-25,785,318386329,782.081026486565,729,838,2.91897351343539,0.24655581238854,0.245639009986061,0.228967117492033,0.263202255772734,0.000916802402478591,"model 1"
"20","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-01,787,318386329,780.954693500832,725,838,6.04530649916774,0.247183980063415,0.24528524699967,0.227710782142282,0.263202255772734,0.00189873306374525,"model 1"
