"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-19,54,26963092,54.4375913813651,40,70,-0.437591381365067,0.200273766821698,0.201896694123082,0.148350938386443,0.259614142176276,-0.00162292730138319,"model 1"
"2","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-26,54,26963092,54.3329808662338,40,69,-0.332980866233783,0.200273766821698,0.201508717420961,0.148350938386443,0.255905368716615,-0.00123495059926281,"model 1"
"3","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-02,55,26963092,54.2180085538551,40,69,0.781991446144943,0.203982540281359,0.201082311160215,0.148350938386443,0.255905368716615,0.00290022912114435,"model 1"
"4","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-09,52,26963092,54.0945502993846,40,69,-2.0945502993846,0.192856219902376,0.200624432462659,0.148350938386443,0.255905368716615,-0.00776821256028278,"model 1"
"5","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-16,53,26963092,53.9645962058665,40,69,-0.964596205866485,0.196564993362037,0.200142462169645,0.148350938386443,0.255905368716615,-0.0035774688076074,"model 1"
"6","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-23,53,26963092,53.8302185803925,40,69,-0.830218580392469,0.196564993362037,0.199644085998714,0.148350938386443,0.255905368716615,-0.00307909263667709,"model 1"
"7","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-02,51,26963092,53.6935394453327,40,69,-2.69353944533271,0.189147446442715,0.199137174050115,0.148350938386443,0.255905368716615,-0.00998972760740018,"model 1"
"8","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-09,54,26963092,53.5566982136372,40,68,0.44330178636276,0.200273766821698,0.198629660921816,0.148350938386443,0.252196595256953,0.00164410589988255,"model 1"
"9","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-16,56,26963092,53.4218200807707,39,69,2.57817991922931,0.207691313741021,0.198129428482352,0.144642164926782,0.255905368716615,0.00956188525866883,"model 1"
"10","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-23,52,26963092,53.2909856175962,39,68,-1.29098561759623,0.192856219902376,0.197644193097721,0.144642164926782,0.252196595256953,-0.00478797319534506,"model 1"
"11","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-30,48,26963092,53.166201972987,40,68,-5.16620197298699,0.178021126063732,0.197181398828395,0.148350938386443,0.252196595256953,-0.0191602727646629,"model 1"
"12","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-06,50,26963092,53.0493760165773,39,68,-3.04937601657729,0.185438672983054,0.196748117821863,0.144642164926782,0.252196595256953,-0.0113094448388089,"model 1"
"13","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-13,47,26963092,52.9422896750439,39,67,-5.94228967504386,0.174312352604071,0.196350958840492,0.144642164926782,0.248487821797292,-0.0220386062364207,"model 1"
"14","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-20,44,26963092,52.8465776432793,39,68,-8.84657764327926,0.163186032225088,0.195995984597313,0.144642164926782,0.252196595256953,-0.0328099523722252,"model 1"
"15","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-27,47,26963092,52.7637075877714,39,68,-5.76370758777139,0.174312352604071,0.195688638334844,0.144642164926782,0.252196595256953,-0.0213762857307737,"model 1"
"16","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-04,51,26963092,52.6949629056295,39,68,-1.69496290562945,0.189147446442715,0.195433679882224,0.144642164926782,0.252196595256953,-0.00628623343950854,"model 1"
"17","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-11,50,26963092,52.6414280603806,39,68,-2.6414280603806,0.185438672983054,0.195235131268998,0.144642164926782,0.252196595256953,-0.00979645828594363,"model 1"
"18","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-18,53,26963092,52.6039764854535,39,67,0.396023514546542,0.196564993362037,0.195096231861885,0.144642164926782,0.248487821797292,0.00146876150015192,"model 1"
"19","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-25,56,26963092,52.5832610279188,39,67,3.4167389720812,0.207691313741021,0.195019402922776,0.144642164926782,0.248487821797292,0.0126719108182444,"model 1"
"20","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-01,54,26963092,52.5797068976524,39,68,1.42029310234755,0.200273766821698,0.195006221458772,0.144642164926782,0.252196595256953,0.00526754536292629,"model 1"
"21","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-08,51,26963092,52.5935070890321,39,67,-1.59350708903209,0.189147446442715,0.195057403242299,0.144642164926782,0.248487821797292,-0.00590995679958399,"model 1"
"22","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-15,53,26963092,52.6246202515491,39,68,0.375379748450854,0.196564993362037,0.195172794913688,0.144642164926782,0.252196595256953,0.00139219844834878,"model 1"
"23","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-22,51,26963092,52.6727709998592,39,67,-1.67277099985917,0.189147446442715,0.195351375131084,0.144642164926782,0.248487821797292,-0.00620392868836844,"model 1"
"24","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-29,49,26963092,52.7374526701399,39,68,-3.73745267013991,0.181729899523393,0.195591264793147,0.144642164926782,0.252196595256953,-0.0138613652697543,"model 1"
"25","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-06,52,26963092,52.8179325453912,39,67,-0.817932545391237,0.192856219902376,0.195889746418516,0.144642164926782,0.248487821797292,-0.00303352651614005,"model 1"
"26","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-13,56,26963092,52.9132595847258,39,67,3.08674041527424,0.207691313741021,0.196243292811988,0.144642164926782,0.248487821797292,0.0114480209290323,"model 1"
"27","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-20,56,26963092,53.0222746981618,39,68,2.97772530183823,0.207691313741021,0.196647605171402,0.144642164926782,0.252196595256953,0.0110437085696189,"model 1"
"28","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-27,56,26963092,53.1436236066336,39,68,2.85637639336636,0.207691313741021,0.197097660782501,0.144642164926782,0.252196595256953,0.0105936529585196,"model 1"
"29","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-03,56,26963092,53.2757723149706,39,68,2.72422768502937,0.207691313741021,0.19758777040471,0.144642164926782,0.252196595256953,0.0101035433363109,"model 1"
"30","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-10,56,26963092,53.4170252021383,40,68,2.5829747978617,0.207691313741021,0.198111645363738,0.148350938386443,0.252196595256953,0.0095796683772829,"model 1"
"31","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-17,53,26963092,53.5655456973744,39,69,-0.565545697374404,0.196564993362037,0.198662474234685,0.144642164926782,0.255905368716615,-0.00209748087264771,"model 1"
"32","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-24,52,26963092,53.7193794630568,40,69,-1.71937946305679,0.192856219902376,0.199233008822048,0.148350938386443,0.255905368716615,-0.00637678891967134,"model 1"
"33","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-31,55,26963092,53.8764799460672,40,69,1.12352005393279,0.203982540281359,0.199815658923936,0.148350938386443,0.255905368716615,0.00416688135742293,"model 1"
"34","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-07,59,26963092,54.0347360907707,40,69,4.96526390922931,0.218817634120004,0.200402595113241,0.148350938386443,0.255905368716615,0.0184150390067627,"model 1"
"35","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-14,60,26963092,54.1920019310632,40,69,5.8079980689368,0.222526407579665,0.200985858487829,0.148350938386443,0.255905368716615,0.0215405490918356,"model 1"
"36","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-21,61,26963092,54.3461276994994,40,69,6.65387230050064,0.226235181039326,0.201557476047255,0.148350938386443,0.255905368716615,0.0246777049920708,"model 1"
"37","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-28,62,26963092,54.4949920122453,40,70,7.50500798775474,0.229943954498987,0.202109580059458,0.148350938386443,0.259614142176276,0.0278343744395292,"model 1"
"38","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-05,60,26963092,54.6365346138479,41,70,5.36346538615206,0.222526407579665,0.202634529503693,0.152059711846104,0.259614142176276,0.0198918780759716,"model 1"
"39","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-12,55,26963092,54.7687891001445,41,70,0.231210899855476,0.203982540281359,0.203125031432391,0.152059711846104,0.259614142176276,0.000857508848968346,"model 1"
"40","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-19,55,26963092,54.8899149855762,41,70,0.110085014423788,0.203982540281359,0.203574259901558,0.152059711846104,0.259614142176276,0.000408280379801353,"model 1"
"41","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-26,53,26963092,54.9982284468566,41,70,-1.99822844685656,0.196564993362037,0.203975969992079,0.152059711846104,0.259614142176276,-0.00741097663004138,"model 1"
"42","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-02,52,26963092,55.092231061869,41,70,-3.09223106186901,0.192856219902376,0.204324604395776,0.152059711846104,0.259614142176276,-0.0114683844933994,"model 1"
"43","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-09,54,26963092,55.1706358733596,41,70,-1.17063587335959,0.200273766821698,0.204615390079742,0.152059711846104,0.259614142176276,-0.00434162325804323,"model 1"
"44","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-16,57,26963092,55.2323901428112,41,71,1.76760985718878,0.211400087200682,0.204844422675305,0.152059711846104,0.263322915635937,0.00655566452537706,"model 1"
"45","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-23,57,26963092,55.2766942208267,41,70,1.72330577917328,0.211400087200682,0.205008736464003,0.152059711846104,0.259614142176276,0.00639135073667842,"model 1"
"46","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-30,56,26963092,55.3030160449723,41,70.0249999999996,0.696983955027704,0.207691313741021,0.205106358146804,0.152059711846104,0.259706861512766,0.00258495559421636,"model 1"
"47","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-07,58,26963092,55.3111008815215,41,70,2.68889911847852,0.215108860660343,0.205136342974023,0.152059711846104,0.259614142176276,0.00997251768631923,"model 1"
"48","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-14,58,26963092,55.3009760497444,41,70,2.69902395025559,0.215108860660343,0.205098792266645,0.152059711846104,0.259614142176276,0.0100100683936976,"model 1"
"49","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-21,57,26963092,55.2729505011693,41,71,1.72704949883072,0.211400087200682,0.204994851855897,0.152059711846104,0.263322915635937,0.00640523534478436,"model 1"
"50","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-28,58,26963092,55.2276092656797,41,71,2.7723907343203,0.215108860660343,0.204826691485085,0.152059711846104,0.263322915635937,0.0102821691752574,"model 1"
"51","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-04,63,27468531,56.1999182999651,42,71.0249999999996,6.80008170003492,0.229353364400885,0.204597465732569,0.152902242933923,0.258568614390044,0.0247558986683158,"model 1"
"52","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-11,65,27468531,56.1213011040827,42,71,8.8786988959173,0.236634423588214,0.204311257504388,0.152902242933923,0.258477601150203,0.0323231660838263,"model 1"
"53","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-18,67,27468531,56.0283882715165,42,71,10.9716117284835,0.243915482775544,0.2039730055878,0.152902242933923,0.258477601150203,0.0399424771877444,"model 1"
"54","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-25,67,27468531,55.922747747711,42,71,11.077252252289,0.243915482775544,0.203588418134596,0.152902242933923,0.258477601150203,0.0403270646409486,"model 1"
"55","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-01,66,27468531,55.806131776694,42,71,10.193868223306,0.240274953181879,0.203163874241014,0.152902242933923,0.258477601150203,0.0371110789408652,"model 1"
"56","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-08,63,27468531,55.6804472493909,41,71,7.31955275060908,0.229353364400885,0.202706315999902,0.149261713340258,0.258477601150203,0.0266470484009832,"model 1"
"57","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-15,61,27468531,55.5477241190873,41,70,5.45227588091272,0.222072305213555,0.202223133516267,0.149261713340258,0.254837071556539,0.0198491716972878,"model 1"
"58","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-22,60,27468531,55.4100825746706,41,70,4.5899174253294,0.21843177561989,0.201722045400501,0.149261713340258,0.254837071556539,0.0167097302193896,"model 1"
"59","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-01,61,27468531,55.2696996449161,41,70,5.73030035508389,0.222072305213555,0.201210977190284,0.149261713340258,0.254837071556539,0.020861328023271,"model 1"
"60","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-08,60,27468531,55.1287758687572,41,70,4.87122413124281,0.21843177561989,0.200697940012727,0.149261713340258,0.254837071556539,0.0177338356071637,"model 1"
"61","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-15,61,27468531,54.9895026109308,41,70,6.01049738906919,0.222072305213555,0.200190911596003,0.149261713340258,0.254837071556539,0.0218813936175516,"model 1"
"62","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-22,57,27468531,54.8540305339129,41,70,2.14596946608708,0.207510186838896,0.199697721490505,0.149261713340258,0.254837071556539,0.00781246534839115,"model 1"
"63","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-29,54,27468531,54.7244396602772,41,70,-0.724439660277206,0.196588598057901,0.199225942079965,0.149261713340258,0.254837071556539,-0.00263734402206367,"model 1"
"64","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-04-05,50,27468531,54.602711379168,41,69,-4.60271137916796,0.182026479683242,0.198782786670201,0.149261713340258,0.251196541962874,-0.0167563069869589,"model 1"
"65","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-04-12,48,27468531,54.4907026708023,41,69,-6.49070267080235,0.174745420495912,0.198375015652648,0.149261713340258,0.251196541962874,-0.0236295951567354,"model 1"
"66","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-04-19,47,27468531,54.3901227477052,40,69,-7.39012274770523,0.171104890902247,0.198008851466084,0.145621183746593,0.251196541962874,-0.0269039605638366,"model 1"
"67","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-04-26,50,27468531,54.3025122438968,41,69,-4.30251224389679,0.182026479683242,0.197689902834253,0.149261713340258,0.251196541962874,-0.0156634231510116,"model 1"
"68","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-05-03,50,27468531,54.2292250259181,40,69,-4.22922502591806,0.182026479683242,0.197423098548365,0.145621183746593,0.251196541962874,-0.0153966188651226,"model 1"
"69","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-05-10,54,27468531,54.1714126539607,40,69,-0.171412653960651,0.196588598057901,0.197212630897374,0.145621183746593,0.251196541962874,-0.000624032839472381,"model 1"
"70","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-05-17,58,27468531,54.1300114881563,40,69,3.86998851184367,0.211150716432561,0.197061908728051,0.145621183746593,0.251196541962874,0.0140888077045098,"model 1"
"71","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-05-24,54,27468531,54.105732414188,40,69,-0.105732414187997,0.196588598057901,0.196973520040762,0.145621183746593,0.251196541962874,-0.000384921982861032,"model 1"
"72","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-05-31,55,27468531,54.0990531529407,40,69,0.90094684705933,0.200229127651566,0.196949203992528,0.145621183746593,0.251196541962874,0.00327992365903852,"model 1"
"73","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-06-07,55,27468531,54.1102131194213,40,69,0.88978688057874,0.200229127651566,0.196989832180764,0.145621183746593,0.251196541962874,0.00323929547080162,"model 1"
"74","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-06-14,53,27468531,54.1392108045954,40,68,-1.13921080459535,0.192948068464236,0.197095399111788,0.145621183746593,0.247556012369209,-0.00414733064755211,"model 1"
"75","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-06-21,53,27468531,54.1858036676802,40,69,-1.18580366768016,0.192948068464236,0.197265021808702,0.145621183746593,0.251196541962874,-0.00431695334446593,"model 1"
"76","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-06-28,54,27468531,54.2495105430645,40,69,-0.249510543064531,0.196588598057901,0.197496948573859,0.145621183746593,0.251196541962874,-0.00090835051595781,"model 1"
"77","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-07-05,54,27468531,54.3296165825539,40,69,-0.329616582553854,0.196588598057901,0.197788576981251,0.145621183746593,0.251196541962874,-0.00119997892334997,"model 1"
"78","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-07-12,55,27468531,54.4251807671893,40,69,0.574819232810746,0.200229127651566,0.198136481223511,0.145621183746593,0.251196541962874,0.00209264642805524,"model 1"
"79","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-07-19,52,27468531,54.5350460307672,40,70,-2.53504603076721,0.189307538870572,0.198536448966882,0.145621183746593,0.254837071556539,-0.00922891009631062,"model 1"
"80","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-07-26,56,27468531,54.6578520369192,41,69.0249999999996,1.34214796308083,0.203869657245231,0.198983527866558,0.149261713340258,0.251287555202714,0.00488612937867273,"model 1"
"81","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-08-02,57,27468531,54.7920506412093,41,70,2.20794935879069,0.207510186838896,0.199472081856905,0.149261713340258,0.254837071556539,0.00803810498199079,"model 1"
"82","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-08-09,54,27468531,54.9359240476404,41,70,-0.935924047640434,0.196588598057901,0.199995857250759,0.149261713340258,0.254837071556539,-0.00340725919285758,"model 1"
"83","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-08-16,52,27468531,55.0876056344305,41,70,-3.08760563443051,0.189307538870572,0.200548058556282,0.149261713340258,0.254837071556539,-0.0112405196857106,"model 1"
"84","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-08-23,54,27468531,55.2451033768173,41,71,-1.24510337681733,0.196588598057901,0.201121433748377,0.149261713340258,0.258477601150203,-0.00453283569047552,"model 1"
