"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-01-19,992,318386329,1009.18802584669,948,1071,-17.1880258466861,0.31157116673813,0.316969647854034,0.297751477890874,0.336383789895703,-0.00539848111590434,"model 1"
"2","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-01-26,1006,318386329,1007.70981084511,945,1070,-1.70981084511436,0.315968340462256,0.316505364413782,0.296809226378561,0.336069706058265,-0.000537023951525997,"model 1"
"3","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-02,1020,318386329,1006.06707879595,944,1069,13.9329212040502,0.320365514186383,0.315989408827899,0.296495142541123,0.335755622220827,0.00437610535848423,"model 1"
"4","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-09,1006,318386329,1004.28263975642,943,1068,1.71736024357767,0.315968340462256,0.315428945366691,0.296181058703686,0.33544153838339,0.0005393950955657,"model 1"
"5","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-16,1009,318386329,1002.3813016791,940,1067,6.61869832089701,0.316910591974569,0.3148317658071,0.295238807191373,0.335127454545952,0.00207882616746934,"model 1"
"6","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-23,1009,318386329,1000.38947296425,937,1064,8.61052703575399,0.316910591974569,0.314206164600819,0.29429655567906,0.334185203033639,0.00270442737375008,"model 1"
"7","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-02,1009,318386329,998.334747165342,935,1061,10.6652528346578,0.316910591974569,0.313560808437017,0.293668388004185,0.333242951521326,0.00334978353755191,"model 1"
"8","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-09,1021,318386329,996.245477721368,936,1058,24.754522278632,0.320679598023821,0.312904602672613,0.293982471841622,0.332300700009013,0.00777499535120805,"model 1"
"9","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-16,1021,318386329,994.150350297863,932,1057,26.8496497021373,0.320679598023821,0.312246557011517,0.292726136491872,0.331986616171576,0.00843304101230342,"model 1"
"10","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-23,1016,318386329,992.077959841111,932,1054,23.9220401588894,0.319109178836633,0.311595652664192,0.292726136491872,0.331044364659263,0.00751352617244111,"model 1"
