"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-01-19,72,26963092,68.7781730723223,53,86,3.22182692767772,0.267031689095598,0.255082662894605,0.196564993362037,0.318954517530853,0.0119490262009925,"model 1"
"2","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-01-26,69,26963092,68.7520447965521,53,86,0.247955203447916,0.255905368716615,0.254985759038882,0.196564993362037,0.318954517530853,0.000919609677732493,"model 1"
"3","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-02,64,26963092,68.7132291195896,53,86,-4.71322911958961,0.237361501418309,0.254841800486345,0.196564993362037,0.318954517530853,-0.0174802990680357,"model 1"
"4","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-09,63,26963092,68.6624807531794,53,86,-5.66248075317942,0.233652727958648,0.254653586291882,0.196564993362037,0.318954517530853,-0.0210008583332335,"model 1"
"5","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-16,66,26963092,68.6007317419838,52,86,-2.60073174198375,0.244779048337631,0.254424573197999,0.192856219902376,0.318954517530853,-0.00964552486036746,"model 1"
"6","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-23,68,26963092,68.5290761948818,53,86,-0.529076194881839,0.252196595256953,0.25415881900667,0.196564993362037,0.318954517530853,-0.00196222374971624,"model 1"
"7","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-02,73,26963092,68.4487525311943,53,85,4.55124746880568,0.270740462555259,0.253860916734603,0.196564993362037,0.315245744071192,0.0168795458206562,"model 1"
"8","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-09,75,26963092,68.3611236136223,52,85,6.6388763863777,0.278158009474581,0.253535920930813,0.192856219902376,0.315245744071192,0.0246220885437683,"model 1"
"9","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-16,74,26963092,68.2676551707249,53,85,5.73234482927511,0.27444923601492,0.253189267650479,0.196564993362037,0.315245744071192,0.0212599683644409,"model 1"
"10","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-23,76,26963092,68.1698929300455,52,85,7.83010706995449,0.281866782934242,0.25282668964689,0.192856219902376,0.315245744071192,0.0290400932873518,"model 1"
"11","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-30,75,26963092,68.0694388887933,53,85,6.93056111120667,0.278158009474581,0.252454128364778,0.196564993362037,0.315245744071192,0.0257038811098025,"model 1"
"12","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-04-06,67,26963092,67.9679271430622,52,85,-0.967927143062184,0.248487821797292,0.252077644296367,0.192856219902376,0.315245744071192,-0.0035898224990746,"model 1"
"13","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-04-13,68,26963092,67.866999680224,52,85,0.133000319776016,0.252196595256953,0.251703327200842,0.192856219902376,0.315245744071192,0.000493268056111726,"model 1"
"14","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-04-20,65,26963092,67.7682825140256,52,85,-2.76828251402561,0.24107027487797,0.251337207594832,0.192856219902376,0.315245744071192,-0.0102669327168621,"model 1"
"15","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-04-27,64,26963092,67.6733625099676,52,84,-3.67336250996756,0.237361501418309,0.250985170802991,0.192856219902376,0.311536970611531,-0.0136236693846817,"model 1"
"16","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-05-04,66,26963092,67.583765211809,52,84,-1.58376521180899,0.244779048337631,0.250652874721523,0.192856219902376,0.311536970611531,-0.00587382638389171,"model 1"
"17","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-05-11,71,26963092,67.50093394059,52,84,3.49906605940997,0.263322915635937,0.250345672301196,0.192856219902376,0.311536970611531,0.0129772433347406,"model 1"
"18","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-05-18,67,26963092,67.4262103973373,52,84,-0.426210397337343,0.248487821797292,0.250068539607169,0.192856219902376,0.311536970611531,-0.00158071780987634,"model 1"
"19","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-05-25,67,26963092,67.3608169613901,52,84,-0.360816961390114,0.248487821797292,0.249826010167492,0.192856219902376,0.311536970611531,-0.00133818837019921,"model 1"
"20","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-06-01,65,26963092,67.3058408394819,52,84,-2.3058408394819,0.24107027487797,0.249622116185643,0.192856219902376,0.311536970611531,-0.00855184130767311,"model 1"
"21","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-06-08,64,26963092,67.2622201874838,52,84,-3.26222018748378,0.237361501418309,0.24946033706922,0.192856219902376,0.311536970611531,-0.0120988356509104,"model 1"
"22","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-06-15,66,26963092,67.230732297778,52,84,-1.23073229777796,0.244779048337631,0.249343555619578,0.192856219902376,0.311536970611531,-0.0045645072819466,"model 1"
"23","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-06-22,68,26963092,67.211983920936,52,83.0249999999996,0.788016079063965,0.252196595256953,0.249274022137135,0.192856219902376,0.30792091648836,0.00292257311981862,"model 1"
"24","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-06-29,68,26963092,67.2064037707047,52,84,0.793596229295289,0.252196595256953,0.249253326624056,0.192856219902376,0.311536970611531,0.00294326863289748,"model 1"
"25","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-07-06,66,26963092,67.2142372458667,52,84,-1.21423724586674,0.244779048337631,0.249282379208834,0.192856219902376,0.311536970611531,-0.00450333087120253,"model 1"
"26","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-07-13,63,26963092,67.2355433906713,52,84,-4.23554339067128,0.233652727958648,0.249361398873213,0.192856219902376,0.311536970611531,-0.0157086709145646,"model 1"
"27","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-07-20,68,26963092,67.2701941062888,51,84,0.729805893711188,0.252196595256953,0.249489910527653,0.189147446442715,0.311536970611531,0.00270668472930029,"model 1"
"28","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-07-27,71,26963092,67.3178756180426,51,84,3.68212438195738,0.263322915635937,0.249666750452962,0.189147446442715,0.311536970611531,0.0136561651829745,"model 1"
"29","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-08-03,72,26963092,67.3780921957951,51,84,4.62190780420492,0.267031689095598,0.249890080098362,0.189147446442715,0.311536970611531,0.0171416089972356,"model 1"
"30","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-08-10,73,26963092,67.450172116601,52,84,5.54982788339903,0.270740462555259,0.250157408195622,0.192856219902376,0.311536970611531,0.0205830543596374,"model 1"
"31","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-08-17,75,26963092,67.5332758483942,52,85,7.4667241516058,0.278158009474581,0.250465621110495,0.192856219902376,0.315245744071192,0.027692388364086,"model 1"
"32","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-08-24,68,26963092,67.6264064200292,52,84,0.373593579970759,0.252196595256953,0.250811021302858,0.192856219902376,0.311536970611531,0.00138557395409532,"model 1"
"33","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-08-31,65,26963092,67.7284219255946,52,84,-2.72842192559462,0.24107027487797,0.251189373702373,0.192856219902376,0.311536970611531,-0.0101190988244027,"model 1"
"34","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-09-07,65,26963092,67.8380500890026,52,85,-2.83805008900259,0.24107027487797,0.251595959725252,0.192856219902376,0.315245744071192,-0.0105256848472816,"model 1"
"35","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-09-14,66,26963092,67.9539047881866,52,85,-1.95390478818665,0.244779048337631,0.252025638558763,0.192856219902376,0.315245744071192,-0.00724659022113134,"model 1"
"36","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-09-21,67,26963092,68.0745044069192,52,85,-1.07450440691917,0.248487821797292,0.252472915223963,0.192856219902376,0.315245744071192,-0.00398509342667071,"model 1"
"37","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-09-28,69,26963092,68.1982918468232,53,85,0.801708153176762,0.255905368716615,0.252932014795719,0.196564993362037,0.315245744071192,0.00297335392089587,"model 1"
"38","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-10-05,70,26963092,68.3236559934728,52,85,1.67634400652716,0.259614142176276,0.253396962015606,0.192856219902376,0.315245744071192,0.00621718016066985,"model 1"
"39","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-10-12,70,26963092,68.4489543898284,52,85,1.55104561017158,0.259614142176276,0.253861665382547,0.192856219902376,0.315245744071192,0.0057524767937282,"model 1"
"40","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-10-19,66,26963092,68.5725368292591,53,86,-2.57253682925915,0.244779048337631,0.254320004653988,0.196564993362037,0.318954517530853,-0.009540956316357,"model 1"
"41","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-10-26,65,26963092,68.6927695408764,53,85,-3.69276954087637,0.24107027487797,0.254765920543817,0.196564993362037,0.315245744071192,-0.0136956456658471,"model 1"
"42","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-11-02,64,26963092,68.8080596039345,53,86,-4.80805960393445,0.237361501418309,0.25519350526985,0.196564993362037,0.318954517530853,-0.0178320038515407,"model 1"
"43","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-11-09,61,26963092,68.9168791976931,53,85,-7.91687919769313,0.226235181039326,0.255597092491073,0.196564993362037,0.315245744071192,-0.0293619114517472,"model 1"
"44","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-11-16,63,26963092,69.0177892704637,53,86,-6.01778927046367,0.233652727958648,0.255971345090777,0.196564993362037,0.318954517530853,-0.0223186171321289,"model 1"
"45","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-11-23,70,26963092,69.1094621984219,54,86,0.890537801578105,0.259614142176276,0.256311339212958,0.200273766821698,0.318954517530853,0.0033028029633178,"model 1"
"46","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-11-30,70,26963092,69.1907030027266,53,86,0.809296997273449,0.259614142176276,0.256612642951804,0.196564993362037,0.318954517530853,0.00300149922447117,"model 1"
"47","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-12-07,68,26963092,69.2604687036425,53,86,-1.2604687036425,0.252196595256953,0.256871388131756,0.196564993362037,0.318954517530853,-0.00467479287480272,"model 1"
"48","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-12-14,66,26963092,69.317885413365,54,86,-3.31788541336498,0.244779048337631,0.257084333700916,0.200273766821698,0.318954517530853,-0.0123052853632847,"model 1"
"49","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-12-21,64,26963092,69.3622628050381,53,86,-5.36226280503814,0.237361501418309,0.257248919393362,0.196564993362037,0.318954517530853,-0.0198874179750532,"model 1"
"50","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-12-28,60,26963092,69.3931056434857,53,86,-9.3931056434857,0.222526407579665,0.257363308494017,0.196564993362037,0.318954517530853,-0.0348369009143525,"model 1"
"51","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-01-04,63,27468531,70.711255638847,55,88,-7.71125563884696,0.229353364400885,0.257426418758422,0.200229127651566,0.320366604242506,-0.0280730543575372,"model 1"
"52","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-01-11,63,27468531,70.7144205723125,54,87,-7.71442057231251,0.229353364400885,0.257437940792365,0.196588598057901,0.316726074648841,-0.0280845763914805,"model 1"
"53","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-01-18,66,27468531,70.7035437707074,54,88,-4.70354377070741,0.240274953181879,0.257398343474238,0.196588598057901,0.320366604242506,-0.0171233902923582,"model 1"
"54","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-01-25,70,27468531,70.6789657043085,55,88,-0.678965704308482,0.254837071556539,0.257308866296157,0.200229127651566,0.320366604242506,-0.00247179473961852,"model 1"
"55","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-02-01,74,27468531,70.64123287039,54,88,3.35876712961002,0.269399189931198,0.257171498797624,0.196588598057901,0.320366604242506,0.012227691133574,"model 1"
"56","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-02-08,73,27468531,70.5910887261526,55,87,2.40891127384742,0.265758660337533,0.256988947556579,0.200229127651566,0.316726074648841,0.0087697127809544,"model 1"
"57","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-02-15,75,27468531,70.5294614067537,54,88,4.47053859324632,0.273039719524863,0.256764591476529,0.196588598057901,0.320366604242506,0.016275128048334,"model 1"
"58","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-02-22,72,27468531,70.4574484991429,55,87,1.54255150085714,0.262118130743868,0.256502426355246,0.200229127651566,0.316726074648841,0.00561570438862254,"model 1"
"59","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-03-01,69,27468531,70.3762992004985,54,87,-1.37629920049854,0.251196541962874,0.256206999932026,0.196588598057901,0.316726074648841,-0.00501045796915218,"model 1"
"60","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-03-08,67,27468531,70.2873942367395,55,88,-3.28739423673952,0.243915482775544,0.255883338780438,0.200229127651566,0.320366604242506,-0.0119678560048934,"model 1"
"61","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-03-15,67,27468531,70.1922239506932,54,87,-3.19222395069316,0.243915482775544,0.255536868537648,0.196588598057901,0.316726074648841,-0.0116213857621041,"model 1"
"62","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-03-22,68,27468531,70.0923649905218,54,87,-2.09236499052182,0.247556012369209,0.255173329037952,0.196588598057901,0.316726074648841,-0.00761731666874292,"model 1"
"63","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-03-29,73,27468531,69.9894560371115,54,87,3.01054396288849,0.265758660337533,0.254798685947609,0.196588598057901,0.316726074648841,0.0109599743899246,"model 1"
"64","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-04-05,70,27468531,69.885173005005,54,87,0.114826994994971,0.254837071556539,0.254419040483108,0.196588598057901,0.316726074648841,0.000418031073430795,"model 1"
"65","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-04-12,72,27468531,69.7812041363649,54,87,2.21879586363512,0.262118130743868,0.254040538740003,0.196588598057901,0.316726074648841,0.0080775920038648,"model 1"
"66","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-04-19,73,27468531,69.6792253830447,53,86,3.32077461695526,0.265758660337533,0.253669282070617,0.192948068464236,0.313085545055176,0.0120893782669166,"model 1"
"67","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-04-26,74,27468531,69.5808764400504,53,86,4.41912355994963,0.269399189931198,0.25331123983314,0.192948068464236,0.313085545055176,0.0160879500980581,"model 1"
"68","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-05-03,71,27468531,69.487737756595,53,86,1.51226224340499,0.258477601150203,0.252972165699706,0.192948068464236,0.313085545055176,0.00550543545049785,"model 1"
"69","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-05-10,73,27468531,69.4013088107286,53,87,3.59869118927141,0.265758660337533,0.25265751856453,0.192948068464236,0.316726074648841,0.0131011417730035,"model 1"
"70","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-05-17,73,27468531,69.3229878921716,53,86,3.67701210782839,0.265758660337533,0.25237238894272,0.192948068464236,0.313085545055176,0.0133862713948132,"model 1"
"71","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-05-24,70,27468531,69.2540535973694,53,86,0.745946402630565,0.254837071556539,0.252121431602474,0.192948068464236,0.313085545055176,0.0027156399540644,"model 1"
"72","Texas","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2015-05-31,65,27468531,69.1956482024376,53,86,-4.19564820243755,0.236634423588214,0.251908805033795,0.192948068464236,0.313085545055176,-0.0152743814455806,"model 1"
