"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-19,263,38586706,264.339943054891,233,297,-1.33994305489125,0.681581889887154,0.685054440912607,0.603834906249836,0.769695138009448,-0.00347255102545226,"model 1"
"2","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-26,261,38586706,263.879219430395,232,296,-2.87921943039493,0.676398757644667,0.683860445176105,0.601243340128592,0.767103571888204,-0.00746168753143874,"model 1"
"3","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-02,261,38586706,263.314460020704,232,296,-2.3144600207039,0.676398757644667,0.682396833823296,0.601243340128592,0.767103571888204,-0.00599807617862977,"model 1"
"4","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-09,251,38586706,262.652322052308,231,296,-11.652322052308,0.650483096432227,0.680680859496812,0.598651774007349,0.767103571888204,-0.030197763064585,"model 1"
"5","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-16,248,38586706,261.900938933212,230,294,-13.9009389332122,0.642708398068495,0.678733600461289,0.596060207886105,0.761920439645716,-0.0360252023927936,"model 1"
"6","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-23,243,38586706,261.069768109611,230,294,-18.069768109611,0.629750567462276,0.676579566313878,0.596060207886105,0.761920439645716,-0.0468289988516019,"model 1"
"7","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-02,244,38586706,260.169417767055,229,293,-16.1694177670553,0.63234213358352,0.67424624886886,0.593468641764861,0.759328873524472,-0.0419041152853402,"model 1"
"8","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-09,238,38586706,259.211457017201,228,292,-21.2114570172013,0.616792736856056,0.671763630244057,0.590877075643617,0.756737307403229,-0.0549708933880007,"model 1"
"9","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-16,243,38586706,258.208214418785,226,292,-15.2082144187851,0.629750567462276,0.669163660714613,0.585693943401129,0.756737307403229,-0.039413093252337,"model 1"
"10","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-23,245,38586706,257.172569689826,226,289,-12.1725696898262,0.634933699704764,0.666479718921398,0.585693943401129,0.748962609039497,-0.0315460192166344,"model 1"
"11","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-30,248,38586706,256.117743291328,224,289,-8.11774329132822,0.642708398068495,0.663746066563257,0.580510811158641,0.748962609039497,-0.0210376684947614,"model 1"
"12","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-06,247,38586706,255.057088224424,224,287.025,-8.05708822442432,0.640116831947251,0.660997308825543,0.580510811158641,0.743844265950039,-0.0208804768782915,"model 1"
"13","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-13,245,38586706,254.003887914278,223,287,-9.00388791427775,0.634933699704764,0.658267870582883,0.577919245037397,0.743779476797009,-0.0233341708781199,"model 1"
"14","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-20,243,38586706,252.971163490891,221,285,-9.97116349089146,0.629750567462276,0.655591496954654,0.572736112794909,0.738596344554521,-0.0258409294923787,"model 1"
"15","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-27,242,38586706,251.971493157441,221,284,-9.9714931574409,0.627159001341032,0.653000785186071,0.572736112794909,0.736004778433277,-0.0258417838450395,"model 1"
"16","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-04,243,38586706,251.01684569843,221,283,-8.01684569843022,0.629750567462276,0.650526753173568,0.572736112794909,0.733413212312033,-0.0207761857112919,"model 1"
"17","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-11,242,38586706,250.118429557781,219,282,-8.11842955778135,0.627159001341032,0.648198448340683,0.567552980552421,0.730821646190789,-0.0210394469996515,"model 1"
"18","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-18,248,38586706,249.286558341232,218,281,-1.28655834123168,0.642708398068495,0.646042599078635,0.564961414431177,0.728230080069545,-0.00333420101013982,"model 1"
"19","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-25,245,38586706,248.530533092741,218,280,-3.53053309274145,0.634933699704764,0.644083309657843,0.564961414431177,0.725638513948301,-0.00914960995307931,"model 1"
"20","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-01,244,38586706,247.858541278911,217,279,-3.85854127891113,0.63234213358352,0.642341798439367,0.562369848309933,0.723046947827057,-0.00999966485584733,"model 1"
"21","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-08,247,38586706,247.277572099674,217,279,-0.277572099673591,0.640116831947251,0.640836178396968,0.562369848309933,0.723046947827057,-0.000719346449716623,"model 1"
"22","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-15,249,38586706,246.79334753218,216,279,2.20665246781999,0.645299964189739,0.639581278412778,0.55977828218869,0.723046947827057,0.00571868577696161,"model 1"
"23","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-22,245,38586706,246.410268405777,216,278,-1.4102684057774,0.634933699704764,0.638588503527037,0.55977828218869,0.720455381705813,-0.00365480382227341,"model 1"
"24","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-29,248,38586706,246.131374791868,216,278,1.86862520813165,0.642708398068495,0.637865732285799,0.55977828218869,0.720455381705813,0.00484266578269637,"model 1"
"25","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-06,251,38586706,245.958320061015,215,277,5.04167993898548,0.650483096432227,0.637417249508197,0.557186716067446,0.717863815584569,0.01306584692403,"model 1"
"26","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-13,255,38586706,245.891358094964,214,277,9.10864190503631,0.660849360917203,0.637243713145568,0.554595149946202,0.717863815584569,0.0236056477716349,"model 1"
"27","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-20,257,38586706,245.929343324592,216,278,11.0706566754077,0.666032493159691,0.637342154379781,0.55977828218869,0.720455381705813,0.0286903387799096,"model 1"
"28","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-27,259,38586706,246.069743475425,215,278,12.930256524575,0.671215625402179,0.637706010654097,0.557186716067446,0.720455381705813,0.0335096147480819,"model 1"
"29","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-08-03,265,38586706,246.3086651187,215,278,18.6913348812997,0.686765022129642,0.638325191890441,0.557186716067446,0.720455381705813,0.0484398302392013,"model 1"
"30","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-08-10,258,38586706,246.640892326213,216,279,11.3591076737867,0.668624059280935,0.639186180665987,0.55977828218869,0.723046947827057,0.0294378786149477,"model 1"
"31","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-08-17,253,38586706,247.059938890273,216,279,5.94006110972731,0.655666228674715,0.640272167544627,0.55977828218869,0.723046947827057,0.0153940611300879,"model 1"
"32","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-08-24,253,38586706,247.558114676563,218,279,5.44188532343748,0.655666228674715,0.6415632230348,0.564961414431177,0.723046947827057,0.0141030056399151,"model 1"
"33","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-08-31,247,38586706,248.126606710597,218,280,-1.1266067105968,0.640116831947251,0.6430365077304,0.564961414431177,0.725638513948301,-0.00291967578314874,"model 1"
"34","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-09-07,243,38586706,248.755575544049,218,281,-5.75557554404918,0.629750567462276,0.644666522050494,0.564961414431177,0.728230080069545,-0.014915954588218,"model 1"
"35","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-09-14,242,38586706,249.434267296174,218,280,-7.434267296174,0.627159001341032,0.646425396602068,0.564961414431177,0.725638513948301,-0.0192663952610363,"model 1"
"36","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-09-21,246,38586706,250.151141513523,220,282,-4.15114151352279,0.637525265826008,0.648283223536942,0.570144546673665,0.730821646190789,-0.0107579577109349,"model 1"
"37","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-09-28,238,38586706,250.894014639632,219,283,-12.8940146396321,0.616792736856056,0.65020842836295,0.567552980552421,0.733413212312033,-0.0334156915068939,"model 1"
"38","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-10-05,243,38586706,251.650218443276,221,283,-8.65021844327609,0.629750567462276,0.652168180521229,0.572736112794909,0.733413212312033,-0.0224176130589537,"model 1"
"39","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-10-12,239,38586706,252.406772233664,221,284,-13.4067722336637,0.6193843029773,0.654128839693297,0.572736112794909,0.736004778433277,-0.0347445367159968,"model 1"
"40","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-10-19,244,38586706,253.150567114749,222,285,-9.15056711474864,0.63234213358352,0.656056433308271,0.575327678916153,0.738596344554521,-0.0237142997247514,"model 1"
"41","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-10-26,246,38586706,253.868559925594,223,286,-7.86855992559427,0.637525265826008,0.657917159152155,0.577919245037397,0.741187910675765,-0.0203918933261478,"model 1"
"42","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-11-02,257,38586706,254.547973911539,223,286,2.45202608846077,0.666032493159691,0.65967790542043,0.577919245037397,0.741187910675765,0.00635458773926121,"model 1"
"43","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-11-09,257,38586706,255.176502607176,224,287,1.82349739282358,0.666032493159691,0.661306779094272,0.580510811158641,0.743779476797009,0.00472571406541824,"model 1"
"44","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-11-16,255,38586706,255.74251292371,225,287,-0.742512923710194,0.660849360917203,0.662773632254876,0.583102377279885,0.743779476797009,-0.00192427133767312,"model 1"
"45","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-11-23,261,38586706,256.235243056001,225,288,4.76475694399932,0.676398757644667,0.664050574972636,0.583102377279885,0.746371042918253,0.0123481826720304,"model 1"
"46","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-11-30,252,38586706,256.644990590931,226,289,-4.64499059093134,0.653074662553471,0.665112462802426,0.585693943401129,0.748962609039497,-0.0120378002489545,"model 1"
