"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-19,207,26963092,199.794424944753,172,229,7.20557505524673,0.767716106149844,0.740992260623349,0.637909035061706,0.849309122262387,0.026723845526495,"model 1"
"2","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-26,209,26963092,199.572063954052,171.975,228.025,9.42793604594809,0.775133653069166,0.740167574082571,0.637816315725214,0.845693068139217,0.0349660789865943,"model 1"
"3","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-02,205,26963092,199.294427463609,172,228,5.70557253639095,0.760298559230521,0.739137883235384,0.637909035061706,0.845600348802726,0.0211606759951379,"model 1"
"4","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-09,210,26963092,198.964344301534,171,227,11.0356556984663,0.778842426528827,0.737913679564397,0.634200261602045,0.841891575343065,0.0409287469644295,"model 1"
"5","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-16,212,26963092,198.585432724684,171,227,13.4145672753162,0.786259973448149,0.736508382364618,0.634200261602045,0.841891575343065,0.0497515910835308,"model 1"
"6","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-23,207,26963092,198.162036738701,171,227,8.83796326129871,0.767716106149844,0.734938102568879,0.634200261602045,0.841891575343065,0.0327780035809643,"model 1"
"7","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-02,198,26963092,197.699150746516,170,226,0.300849253483705,0.734337145012894,0.733221363286215,0.630491488142384,0.838182801883404,0.00111578172667921,"model 1"
"8","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-09,197,26963092,197.202334331327,170,225,-0.202334331327137,0.730628371553233,0.731378783751237,0.630491488142384,0.834474028423743,-0.000750412198004357,"model 1"
"9","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-16,192,26963092,196.677619146061,169,225,-4.67761914606092,0.712084504254928,0.729432733998241,0.626782714682723,0.834474028423743,-0.0173482297433133,"model 1"
"10","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-23,186,26963092,196.131409973857,169,225,-10.1314099738572,0.689831863496961,0.727406967916948,0.626782714682723,0.834474028423743,-0.0375751044199872,"model 1"
