"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-19,244,38586706,247.531811660378,216,280,-3.53181166037825,0.63234213358352,0.64149505702917,0.55977828218869,0.725638513948301,-0.00915292344565056,"model 1"
"2","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-26,245,38586706,246.990776796645,216,279,-1.99077679664515,0.634933699704764,0.640092929405908,0.55977828218869,0.723046947827057,-0.00515922970114409,"model 1"
"3","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-02,245,38586706,246.376452844216,216,278,-1.37645284421623,0.634933699704764,0.638500868263324,0.55977828218869,0.720455381705813,-0.00356716855856064,"model 1"
"4","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-09,235,38586706,245.695985517034,214,278,-10.695985517034,0.609018038492324,0.636737392191585,0.554595149946202,0.720455381705813,-0.027719353699261,"model 1"
"5","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-16,231,38586706,244.957481796611,214,277,-13.9574817966113,0.598651774007349,0.634823510969325,0.554595149946202,0.717863815584569,-0.0361717369619767,"model 1"
"6","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-23,226,38586706,244.169867677056,214,276,-18.1698676770561,0.585693943401129,0.632782356900473,0.554595149946202,0.715272249463326,-0.0470884134993439,"model 1"
"7","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-02,223,38586706,243.342735118766,213,275,-20.3427351187661,0.577919245037397,0.63063878818463,0.552003583824958,0.712680683342082,-0.0527195431472334,"model 1"
"8","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-09,217,38586706,242.486181778305,213,273,-25.4861817783053,0.562369848309933,0.628418973566454,0.552003583824958,0.707497551099594,-0.0660491252565206,"model 1"
"9","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-16,221,38586706,241.610647030078,211,273,-20.6106470300782,0.572736112794909,0.626149967374977,0.54682045158247,0.707497551099594,-0.0534138545800676,"model 1"
"10","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-23,226,38586706,240.726747624153,211,272,-14.726747624153,0.585693943401129,0.623859283619993,0.54682045158247,0.70490598497835,-0.0381653402188645,"model 1"
"11","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-30,231,38586706,239.845116052399,210,271,-8.84511605239877,0.598651774007349,0.621574477107216,0.544228885461226,0.702314418857106,-0.0229227030998675,"model 1"
"12","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-06,232,38586706,238.976244344287,209,270,-6.97624434428744,0.601243340128592,0.619322738624767,0.541637319339982,0.699722852735862,-0.0180793984961749,"model 1"
"13","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-13,231,38586706,238.130335609135,208,269,-7.13033560913482,0.598651774007349,0.617130510205082,0.539045753218738,0.697131286614618,-0.018478736197733,"model 1"
"14","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-20,229,38586706,237.317165208583,208,269,-8.31716520858251,0.593468641764861,0.615023125344212,0.539045753218738,0.697131286614618,-0.0215544835793512,"model 1"
"15","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-27,228,38586706,236.545953006282,207,268,-8.54595300628205,0.590877075643617,0.61302447792844,0.536454187097494,0.694539720493374,-0.0221474022848233,"model 1"
"16","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-05-04,228,38586706,235.825247723201,207,267,-7.8252477232013,0.590877075643617,0.611156722533406,0.536454187097494,0.69194815437213,-0.0202796468897897,"model 1"
"17","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-05-11,227,38586706,235.162824045562,206,266,-8.16282404556165,0.588285509522373,0.609440007772526,0.53386262097625,0.689356588250886,-0.0211544982501529,"model 1"
"18","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-05-18,235,38586706,234.565592802916,205,265,0.434407197084056,0.609018038492324,0.607892243517537,0.531271054855006,0.686765022129642,0.00112579497478758,"model 1"
"19","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-05-25,233,38586706,234.03952426641,204,265,-1.03952426640979,0.603834906249836,0.606528902120875,0.528679488733762,0.686765022129642,-0.00269399587103855,"model 1"
"20","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-01,232,38586706,233.589584417557,204,265,-1.58958441755749,0.601243340128592,0.605362853251992,0.528679488733762,0.686765022129642,-0.00411951312339926,"model 1"
"21","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-08,235,38586706,233.219683906934,203,264,1.78031609306598,0.609018038492324,0.604404231620429,0.526087922612518,0.684173456008398,0.00461380687189515,"model 1"
"22","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-15,236,38586706,232.932639357044,203,263,3.06736064295612,0.611609604613568,0.603660336689646,0.526087922612518,0.681581889887154,0.00794926792392208,"model 1"
"23","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-22,232,38586706,232.730146657667,203,264,-0.730146657666722,0.601243340128592,0.603135563470141,0.526087922612518,0.684173456008398,-0.00189222334154857,"model 1"
"24","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-29,234,38586706,232.612765945495,203,263,1.38723405450463,0.60642647237108,0.60283136359319,0.526087922612518,0.681581889887154,0.00359510877789006,"model 1"
"25","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-07-06,237,38586706,232.579918040819,203,263,4.42008195918092,0.614201170734812,0.602746236076277,0.526087922612518,0.681581889887154,0.0114549346585348,"model 1"
"26","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-07-13,241,38586706,232.629892218653,203,263,8.37010778134703,0.624567435219788,0.602875747462489,0.526087922612518,0.681581889887154,0.0216916877572992,"model 1"
"27","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-07-20,244,38586706,232.759865305268,203,263,11.2401346947322,0.63234213358352,0.603212581310433,0.526087922612518,0.681581889887154,0.0291295522730865,"model 1"
"28","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-07-27,245,38586706,232.965932198484,203,264,12.0340678015163,0.634933699704764,0.603746617289602,0.526087922612518,0.684173456008398,0.031187082415162,"model 1"
"29","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-08-03,251,38586706,233.243147996601,203,264,17.7568520033988,0.650483096432227,0.604465040360276,0.526087922612518,0.684173456008398,0.0460180560719508,"model 1"
"30","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-08-10,244,38586706,233.585581972786,205,265,10.4144180272143,0.63234213358352,0.605352480651719,0.531271054855006,0.686765022129642,0.0269896529318005,"model 1"
"31","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-08-17,238,38586706,233.986383637035,205,264,4.01361636296457,0.616792736856056,0.606391184666127,0.531271054855006,0.684173456008398,0.0104015521899293,"model 1"
"32","California","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-08-24,237,38586706,234.437861076907,205,265,2.56213892309265,0.614201170734812,0.607561218303805,0.531271054855006,0.686765022129642,0.00663995243100732,"model 1"
