"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-19,3044,318386329,3081.94357024546,2970,3194,-37.9435702454643,0.956071201160148,0.967988663308928,0.932828997189763,1.00318377677579,-0.0119174621487797,"model 1"
"2","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-26,3039,318386329,3077.60532326753,2969,3187,-38.6053232675304,0.95450078197296,0.966626090050346,0.932514913352326,1.00098518991373,-0.0121253080773862,"model 1"
"3","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-02,3028,318386329,3072.52196816089,2967,3182,-44.5219681608919,0.951045859761146,0.965029490371395,0.93188674567745,0.999414770726541,-0.0139836306102489,"model 1"
"4","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-09,3000,318386329,3066.74603937838,2957,3176,-66.7460393783786,0.942251512312892,0.963215364494616,0.928745907303074,0.997530267701915,-0.0209638521817243,"model 1"
"5","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-16,3000,318386329,3060.34032766814,2952,3171,-60.3403276681411,0.942251512312892,0.961203433979146,0.927175488115886,0.995959848514727,-0.0189519216662538,"model 1"
"6","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-23,3017,318386329,3053.37680358556,2946,3163,-36.376803585561,0.947590937549332,0.9590163036132,0.92529098509126,0.993447177815226,-0.011425366063868,"model 1"
"7","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-02,2990,318386329,3045.93540314287,2936,3155.025,-55.9354031428707,0.939110673938516,0.956679080006249,0.922150146716884,0.990942359211661,-0.0175684060677337,"model 1"
"8","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-09,2996,318386329,3038.10270293572,2929,3148,-42.1027029357206,0.940995176963142,0.954218955467689,0.91995155985482,0.988735920253661,-0.0132237785045477,"model 1"
"9","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-16,3002,318386329,3029.97051335583,2922,3139,-27.9705133558282,0.942879679987767,0.951664766157666,0.917752972992757,0.985909165716723,-0.00878508616989902,"model 1"
"10","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-23,2995,318386329,3021.63441879658,2913,3134,-26.6344187965842,0.940681093125704,0.949046533589256,0.914926218455818,0.984338746529535,-0.00836544046355213,"model 1"
"11","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-30,2975,318386329,3013.19229314577,2907,3122,-38.1922931457657,0.934399416376951,0.946394998368716,0.913041715431192,0.980569740480283,-0.011995581991765,"model 1"
"12","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-06,2990,318386329,3004.74281743957,2897,3112,-14.7428174395695,0.939110673938516,0.943741154614578,0.909900877056816,0.977428902105907,-0.00463048067606242,"model 1"
"13","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-13,2978,318386329,2996.38402446079,2887,3106,-18.3840244607868,0.935341667889264,0.941115792839455,0.90676003868244,0.975544399081281,-0.00577412495019119,"model 1"
"14","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-20,2967,318386329,2988.21189246004,2881,3095,-21.2118924600404,0.93188674567745,0.938549058260614,0.904875535657814,0.972089476869467,-0.00666231258316384,"model 1"
"15","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-27,2940,318386329,2980.31900723363,2874,3089.025,-40.3190072336347,0.923406482066634,0.93607003058025,0.902676948795751,0.970212825940777,-0.0126635485136156,"model 1"
"16","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-05-04,2967,318386329,2972.79330867481,2866,3081,-5.79330867481303,0.93188674567745,0.933706330297496,0.90016427809625,0.96769230314534,-0.00181958462004599,"model 1"
"17","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-05-11,2932,318386329,2965.71693479061,2858,3072,-33.7169347906138,0.920893811367133,0.931483755632804,0.897651607396748,0.964865548608401,-0.0105899442656703,"model 1"
"18","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-05-18,2928,318386329,2959.16517318798,2851,3067,-31.1651731879797,0.919637476017383,0.929425953206672,0.895453020534685,0.963295129421213,-0.00978847718928902,"model 1"
"19","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-05-25,2945,318386329,2953.20552730115,2847,3062,-8.20552730115287,0.924976901253822,0.927554124756768,0.894196685184934,0.961724710234025,-0.00257722350294534,"model 1"
"20","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-01,2949,318386329,2947.89690225045,2841,3057,1.10309774954885,0.926233236603573,0.925886771429326,0.892312182160309,0.960154291046837,0.000346465174247118,"model 1"
"21","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-08,2949,318386329,2943.28891324984,2836,3048,5.71108675016148,0.926233236603573,0.924439476561143,0.890741762973121,0.957327536509898,0.00179376004242993,"model 1"
"22","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-15,2960,318386329,2939.42131794814,2833,3045,20.5786820518647,0.929688158815387,0.923224727387128,0.889799511460808,0.956385284997585,0.00646343142825856,"model 1"
"23","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-22,2964,318386329,2936.323572993,2830,3045,27.6764270069962,0.930944494165137,0.922251775764218,0.888857259948495,0.956385284997585,0.00869271840091983,"model 1"
"24","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-06-29,2961,318386329,2934.014514419,2825,3043,26.9854855810026,0.930002242652824,0.921526537786425,0.887286840761307,0.95575711732271,0.00847570486639916,"model 1"
"25","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-07-06,2976,318386329,2932.50216112642,2825,3038,43.4978388735776,0.934713500214389,0.921051532060732,0.887286840761307,0.954186698135522,0.013661968153657,"model 1"
