"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-19,174,19653431,171.987210004637,146,198,2.01278999536342,0.885341597607054,0.875100179732672,0.742872834773735,1.00745768003561,0.0102414178743824,"model 1"
"2","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-26,166,19653431,171.759459079111,147,198,-5.75945907911097,0.844636236797534,0.873941344282894,0.747961004874925,1.00745768003561,-0.0293051074853595,"model 1"
"3","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-02,166,19653431,171.476760639375,146,198,-5.47676063937502,0.844636236797534,0.872502926534176,0.742872834773735,1.00745768003561,-0.027866689736642,"model 1"
"4","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-09,161,19653431,171.142050450656,146,197,-10.1420504506562,0.819195386291584,0.870799864159374,0.742872834773735,1.00236950993442,-0.0516044778677892,"model 1"
"5","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-16,161,19653431,170.759050872499,145,197,-9.75905087249882,0.819195386291584,0.868851097157025,0.737784664672545,1.00236950993442,-0.0496557108654403,"model 1"
"6","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-23,164,19653431,170.332203678233,145,197,-6.33220367823301,0.834459896595154,0.866679226025385,0.737784664672545,1.00236950993442,-0.0322193294302303,"model 1"
"7","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-02,164,19653431,169.866591197824,144,196,-5.86659119782351,0.834459896595154,0.864310110523824,0.732696494571355,0.997281339833233,-0.0298502139286698,"model 1"
"8","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-09,166,19653431,169.367847765663,144,195,-3.36784776566296,0.844636236797534,0.86177241910414,0.732696494571355,0.992193169732043,-0.0171361823066057,"model 1"
"9","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-16,169,19653431,168.842063614991,144,195,0.157936385009492,0.859900747101104,0.859097139909009,0.732696494571355,0.992193169732043,0.000803607192095325,"model 1"
"10","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-23,163,19653431,168.295683437146,143,194,-5.29568343714641,0.829371726493964,0.85631706462422,0.727608324470165,0.987104999630853,-0.0269453381302553,"model 1"
"11","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-30,162,19653431,167.73540181887,143,194,-5.73540181886963,0.824283556392774,0.853466256445857,0.727608324470165,0.987104999630853,-0.029182700053083,"model 1"
"12","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-06,168,19653431,167.168057690801,142,194,0.83194230919861,0.854812576999914,0.850579513016335,0.722520154368975,0.987104999630853,0.0042330639835793,"model 1"
"13","New York","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-13,167,19653431,166.600529775243,141,192,0.399470224756698,0.849724406898724,0.847691834444802,0.717431984267785,0.976928659428473,0.00203257245392266,"model 1"
