"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-19,193,26963092,186.026140225607,160,213,6.97385977439279,0.715793277714588,0.689928811671922,0.593403753545773,0.78996874690781,0.025864466042666,"model 1"
"2","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-26,195,26963092,185.817328256746,159,213,9.18267174325419,0.723210824633911,0.68915437538375,0.589694980086112,0.78996874690781,0.0340564492501609,"model 1"
"3","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-02,191,26963092,185.563769829038,160,213,5.43623017096246,0.708375730795266,0.688213984616592,0.593403753545773,0.78996874690781,0.0201617461786744,"model 1"
"4","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-09,197,26963092,185.26778095784,159,212,11.73221904216,0.730628371553233,0.687116228946739,0.589694980086112,0.786259973448149,0.0435121426064935,"model 1"
"5","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-16,198,26963092,184.932312669037,159,212,13.0676873309631,0.734337145012894,0.685872053060669,0.589694980086112,0.786259973448149,0.0484650919522253,"model 1"
"6","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-23,193,26963092,184.560900082433,158,212,8.43909991756692,0.715793277714588,0.684494567916888,0.585986206626451,0.786259973448149,0.0312987097977002,"model 1"
"7","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-02,184,26963092,184.157602247225,158,211,-0.15760224722473,0.682414316577639,0.682998827609329,0.585986206626451,0.782551199988488,-0.000584511031690024,"model 1"
"8","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-09,184,26963092,183.726934107108,157,211,0.273065892892163,0.682414316577639,0.681401577041342,0.58227743316679,0.782551199988488,0.00101273953629711,"model 1"
"9","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-16,180,26963092,183.273792101941,157,211,-3.27379210194138,0.667579222738995,0.679720975999123,0.58227743316679,0.782551199988488,-0.0121417532601283,"model 1"
"10","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-23,175,26963092,182.803374989026,156,210,-7.80337498902614,0.649035355440689,0.677976305495772,0.578568659707129,0.778842426528827,-0.0289409500550832,"model 1"
"11","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-30,178,26963092,182.321101490436,156,210,-4.32110149043589,0.660161675819672,0.676187662343903,0.578568659707129,0.778842426528827,-0.0160259865242306,"model 1"
"12","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-06,185,26963092,181.832526346436,156,209,3.16747365356358,0.6861230900373,0.674375647816788,0.578568659707129,0.775133653069166,0.0117474422205123,"model 1"
"13","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-13,190,26963092,181.343256284172,156,209,8.65674371582833,0.704666957335605,0.672561055995253,0.578568659707129,0.775133653069166,0.0321059013403519,"model 1"
"14","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-20,185,26963092,180.858867302547,155,208,4.14113269745258,0.6861230900373,0.670764566996053,0.574859886247467,0.771424879609505,0.0153585230412468,"model 1"
"15","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-27,191,26963092,180.384824537021,154,207,10.615175462979,0.708375730795266,0.669006449768524,0.571151112787806,0.767716106149844,0.039369281026742,"model 1"
"16","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-05-04,193,26963092,179.926405810842,154,207,13.0735941891583,0.715793277714588,0.667306278563459,0.571151112787806,0.767716106149844,0.0484869991511295,"model 1"
