"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","cancer_mc_ma","Cancer","Multiple Cause",2014-01-19,12690,318386329,12707.3449579613,12484.975,12934.025,-17.344957961257,3.98572389708353,3.9911716680402,3.92132885831288,4.06236820551425,-0.00544777095666599,"model 1"
"2","National","cancer_mc_ma","Cancer","Multiple Cause",2014-01-26,12666,318386329,12694.6445029605,12472,12916,-28.6445029605056,3.97818588498503,3.98718266039636,3.91725362052213,4.05670684434444,-0.00899677541132918,"model 1"
"3","National","cancer_mc_ma","Cancer","Multiple Cause",2014-02-02,12654,318386329,12678.0639341615,12454,12903,-24.0639341614951,3.97441687893578,3.98197497172107,3.91160011144825,4.05262375445775,-0.00755809278528888,"model 1"
"4","National","cancer_mc_ma","Cancer","Multiple Cause",2014-02-09,12563,318386329,12657.854530054,12435,12882,-94.8545300539809,3.94583524972895,3.97562752452665,3.90563251853694,4.04602799387156,-0.0297922747976974,"model 1"
"5","National","cancer_mc_ma","Cancer","Multiple Cause",2014-02-16,12550,318386329,12634.3220980555,12414,12862,-84.3220980555052,3.94175215984226,3.96823636798033,3.89903675795075,4.03974631712281,-0.0264842081380652,"model 1"
"6","National","cancer_mc_ma","Cancer","Multiple Cause",2014-02-23,12523,318386329,12607.8215733659,12391,12829,-84.8215733659072,3.93327189623145,3.95991298149171,3.89181282968968,4.02938155048736,-0.0266410852602617,"model 1"
"7","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-02,12486,318386329,12578.7508515522,12359,12800,-92.7508515522113,3.92165079424626,3.95078233762738,3.88176214689168,4.02027311920167,-0.0291315433811266,"model 1"
"8","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-09,12504,318386329,12547.544005397,12322.975,12768,-43.5440053970269,3.92730430332013,3.94098077163264,3.87044727664799,4.01022243640367,-0.0136764683125031,"model 1"
"9","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-16,12506,318386329,12514.6640444371,12296,12734,-8.66404443714964,3.92793247099501,3.93065370731956,3.86197486513311,3.99954358593079,-0.00272123632455012,"model 1"
"10","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-23,12482,318386329,12480.5953775637,12263.975,12701,1.40462243625007,3.92039445889651,3.91995328969158,3.85191633023917,3.98917881929535,0.000441169204928414,"model 1"
"11","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-30,12454,318386329,12445.836135406,12227,12672,8.16386459400746,3.91160011144825,3.90903597352825,3.84030308034991,3.98007038800966,0.00256413792000707,"model 1"
"12","National","cancer_mc_ma","Cancer","Multiple Cause",2014-04-06,12421,318386329,12410.8905006048,12191,12632.025,10.1094993952083,3.90123534481281,3.89806011444819,3.82899606220216,3.96751488660809,0.00317523036462044,"model 1"
"13","National","cancer_mc_ma","Cancer","Multiple Cause",2014-04-13,12351,318386329,12376.2611813528,12159,12595.025,-25.2611813528292,3.87924947619218,3.88718360496968,3.81894537940415,3.95589378462289,-0.00793412877750452,"model 1"
"14","National","cancer_mc_ma","Cancer","Multiple Cause",2014-04-20,12326,318386329,12342.4421477317,12128,12559.025,-16.4421477316719,3.87139738025624,3.87656159311152,3.80920878044358,3.94458676647514,-0.00516421285527993,"model 1"
"15","National","cancer_mc_ma","Cancer","Multiple Cause",2014-04-27,12206,318386329,12309.9117324982,12092,12529,-103.911732498176,3.83370731976372,3.86634431546154,3.79790176229583,3.93515639925607,-0.0326369956978197,"model 1"
"16","National","cancer_mc_ma","Cancer","Multiple Cause",2014-05-04,12227,318386329,12279.1261791432,12060,12499,-52.1261791431589,3.84030308034991,3.85667507072615,3.78785107949783,3.92573388413295,-0.0163719903762447,"model 1"
"17","National","cancer_mc_ma","Cancer","Multiple Cause",2014-05-11,12210,318386329,12250.5137012985,12031,12471.025,-40.513701298516,3.83496365511347,3.84768835388611,3.77874264821213,3.91694738878063,-0.0127246987726398,"model 1"
"18","National","cancer_mc_ma","Cancer","Multiple Cause",2014-05-18,12160,318386329,12224.46909982,12010,12444,-64.4690998199894,3.81925946324159,3.8395081655092,3.77214688762594,3.90845927307388,-0.0202487022676119,"model 1"
"19","National","cancer_mc_ma","Cancer","Multiple Cause",2014-05-25,12190,318386329,12201.3489678845,11983,12421,-11.3489678844635,3.82868197836472,3.83224650574883,3.76366662401513,3.90123534481281,-0.00356452738410872,"model 1"
"20","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-01,12224,318386329,12181.467500795,11964,12400,42.5324992050464,3.8393608288376,3.82600205827146,3.75769903110381,3.89463958422662,0.013358770566134,"model 1"
"21","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-08,12229,318386329,12165.0929162673,11948,12389,63.9070837327436,3.84093124802479,3.82085906592656,3.75267368970481,3.89118466201481,0.0200721820982281,"model 1"
"22","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-15,12173,318386329,12152.444482963,11936.975,12374,20.5555170369935,3.82334255312828,3.81688639745679,3.74921091539706,3.88647340445324,0.00645615567149351,"model 1"
"23","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-22,12179,318386329,12143.6901499292,11926,12364,35.3098500707911,3.8252270561529,3.81413680294332,3.74576384528118,3.88333256607887,0.0110902532095815,"model 1"
"24","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-29,12112,318386329,12138.9447672167,11926,12355,-26.9447672167389,3.80418343904458,3.81264635493088,3.74576384528118,3.88050581154193,-0.00846291588629703,"model 1"
"25","National","cancer_mc_ma","Cancer","Multiple Cause",2014-07-06,12144,318386329,12138.2688879501,11925,12357,5.73111204989982,3.81423412184259,3.81243407217717,3.74544976144375,3.8811339792168,0.00180004966541758,"model 1"
"26","National","cancer_mc_ma","Cancer","Multiple Cause",2014-07-13,12143,318386329,12141.6681440364,11932,12363,1.33185596360454,3.81392003800515,3.81350172357319,3.74764834830581,3.88301848224143,0.000418314431963107,"model 1"
"27","National","cancer_mc_ma","Cancer","Multiple Cause",2014-07-20,12194,318386329,12149.0931909814,11930,12369,44.9068090186083,3.82993831371447,3.81583381081083,3.74702018063093,3.88490298526605,0.0141045029036433,"model 1"
"28","National","cancer_mc_ma","Cancer","Multiple Cause",2014-07-27,12217,318386329,12160.4402212887,11946,12377.025,56.5597787112947,3.83716224197553,3.81939772963327,3.75204552202994,3.88742350806149,0.0177645123422667,"model 1"
"29","National","cancer_mc_ma","Cancer","Multiple Cause",2014-08-03,12245,318386329,12175.5520500017,11959,12397,69.4479499982554,3.84595658942379,3.82414411078616,3.75612861191662,3.89369733271431,0.0218124786376287,"model 1"
"30","National","cancer_mc_ma","Cancer","Multiple Cause",2014-08-10,12197,318386329,12194.2197794324,11977,12408,2.78022056759983,3.83088056522678,3.83000734288199,3.7617821209905,3.89715225492612,0.000873222344794781,"model 1"
"31","National","cancer_mc_ma","Cancer","Multiple Cause",2014-08-17,12151,318386329,12216.1850523773,11998,12437,-65.1850523772719,3.81643270870465,3.83690628009888,3.76837788157669,3.90626068621181,-0.0204735713942265,"model 1"
"32","National","cancer_mc_ma","Cancer","Multiple Cause",2014-08-24,12122,318386329,12241.1429035674,12025,12460.025,-119.14290356743,3.80732427741896,3.84474513777488,3.77685814518751,3.91349246656881,-0.03742086035592,"model 1"
"33","National","cancer_mc_ma","Cancer","Multiple Cause",2014-08-31,12161,318386329,12268.7452172531,12043,12488,-107.745217253103,3.81957354707903,3.85341457837943,3.78251165426139,3.92227896192113,-0.0338410313004058,"model 1"
"34","National","cancer_mc_ma","Cancer","Multiple Cause",2014-09-07,12236,318386329,12298.6047943175,12083,12527,-62.6047943174963,3.84312983488685,3.86279298892808,3.79507500775889,3.9345282315812,-0.0196631540412328,"model 1"
"35","National","cancer_mc_ma","Cancer","Multiple Cause",2014-09-14,12313,318386329,12330.3000249351,12110,12552,-17.3000249350753,3.86731429036955,3.87274794858892,3.80355527136971,3.94238032751714,-0.00543365821937514,"model 1"
"36","National","cancer_mc_ma","Cancer","Multiple Cause",2014-09-21,12401,318386329,12363.3801524875,12141.975,12584.025,37.6198475125293,3.89495366806406,3.8831378819935,3.81359810207178,3.95243886241108,0.0118157860705537,"model 1"
"37","National","cancer_mc_ma","Cancer","Multiple Cause",2014-09-28,12496,318386329,12397.371101373,12182,12621,98.6288986270192,3.92479163262063,3.89381388965761,3.82616930766522,3.96405211230034,0.0309777429630213,"model 1"
"38","National","cancer_mc_ma","Cancer","Multiple Cause",2014-10-05,12523,318386329,12431.7818258304,12206,12649,91.2181741696331,3.93327189623145,3.9046217420442,3.83370731976372,3.97284645974859,0.0286501541872525,"model 1"
"39","National","cancer_mc_ma","Cancer","Multiple Cause",2014-10-12,12504,318386329,12466.1111194919,12244.975,12690,37.8888805081042,3.92730430332013,3.91540401833393,3.84594873732785,3.98572389708353,0.0119002849862012,"model 1"
"40","National","cancer_mc_ma","Cancer","Multiple Cause",2014-10-19,12553,318386329,12499.8548068023,12280,12721,53.1451931976972,3.94269441135458,3.92600236513368,3.8569495237341,3.9954604960441,0.016692046220897,"model 1"
"41","National","cancer_mc_ma","Cancer","Multiple Cause",2014-10-26,12539,318386329,12532.5132185847,12313,12758,6.4867814153331,3.93829723763045,3.9362598444309,3.86731429036955,4.00708159802929,0.00203739319954692,"model 1"
"42","National","cancer_mc_ma","Cancer","Multiple Cause",2014-11-02,12621,318386329,12563.598835905,12342.975,12789.025,57.4011640949666,3.96405211230034,3.946023334408,3.87672895339674,4.01682604908579,0.0180287778923342,"model 1"
"43","National","cancer_mc_ma","Cancer","Multiple Cause",2014-11-09,12598,318386329,12592.6439700649,12372,12814,5.35602993508655,3.95682818403927,3.95514594160383,3.88584523677837,4.0246702929258,0.00168224243544281,"model 1"
"44","National","cancer_mc_ma","Cancer","Multiple Cause",2014-11-16,12613,318386329,12619.2083331207,12396,12843,-6.20833312071954,3.96153944160084,3.96348937869148,3.89338324887687,4.03377872421149,-0.00194993709064674,"model 1"
"45","National","cancer_mc_ma","Cancer","Multiple Cause",2014-11-23,12643,318386329,12642.886343811,12422,12865.025,0.113656188994355,3.97096195672396,3.97092625915198,3.90154942865025,4.04069642073105,3.56975719878836e-05,"model 1"
"46","National","cancer_mc_ma","Cancer","Multiple Cause",2014-11-30,12692,318386329,12663.314009056,12440,12884,28.6859909439609,3.98635206475841,3.97734225864203,3.90720293772413,4.04665616154643,0.00900980611638035,"model 1"
"47","National","cancer_mc_ma","Cancer","Multiple Cause",2014-12-07,12635,318386329,12680.1752219542,12462,12904.025,-45.1752219542304,3.96844928602446,3.98263809309295,3.91411278214775,4.05294569039112,-0.0141888070684814,"model 1"
"48","National","cancer_mc_ma","Cancer","Multiple Cause",2014-12-14,12734,318386329,12693.2073238547,12471,12919,40.7926761452691,3.99954358593079,3.98673126566773,3.91693953668469,4.05764909585675,0.0128123202630566,"model 1"
"49","National","cancer_mc_ma","Cancer","Multiple Cause",2014-12-21,12852,318386329,12702.2057907329,12480.975,12926,149.794209267102,4.03660547874843,3.98955753867588,3.92007252296313,4.05984768271881,0.0470479400725469,"model 1"
"50","National","cancer_mc_ma","Cancer","Multiple Cause",2014-12-28,12931,318386329,12707.0279224978,12484,12931,223.972077502196,4.061418101906,3.99107209232523,3.92102262657138,4.061418101906,0.0703460095807682,"model 1"
"51","National","cancer_mc_ma","Cancer","Multiple Cause",2015-01-04,12962,320738994,12801.4961872453,12576.975,13022.025,160.503812754696,4.04129221656161,3.99125033959709,3.92124912632232,4.06000681039737,0.0500418769645127,"model 1"
"52","National","cancer_mc_ma","Cancer","Multiple Cause",2015-01-11,13020,320738994,12797.7693145945,12572,13025,222.230685405457,4.05937545591977,3.99008837528328,3.91969802087737,4.06093435586445,0.0692870806364931,"model 1"
"53","National","cancer_mc_ma","Cancer","Multiple Cause",2015-01-18,13007,320738994,12789.7978975208,12567.975,13015.025,217.202102479219,4.05532231606363,3.98760304695624,3.91844310642192,4.05782435047483,0.0677192691073974,"model 1"
