"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-19,802,318386329,810.229063254087,754,867,-8.22906325408701,0.25189523762498,0.25447985339034,0.236819213427974,0.272310687058426,-0.00258461576536064,"model 1"
"2","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-26,790,318386329,809.375348837455,754,865,-19.375348837455,0.248126231575728,0.254211715490289,0.236819213427974,0.271682519383551,-0.00608548391456061,"model 1"
"3","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-02,793,318386329,808.451475041197,753,865,-15.4514750411972,0.249068483088041,0.253921541663052,0.236505129590536,0.271682519383551,-0.004853058575011,"model 1"
"4","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-09,778,318386329,807.475697789352,751,865.025,-29.4756977893518,0.244357225526477,0.253615065799308,0.235876961915661,0.271690371479486,-0.0092578402728315,"model 1"
"5","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-16,791,318386329,806.466964897213,751,863,-15.4669648972132,0.248440315413166,0.253298239101596,0.235876961915661,0.271054351708675,-0.00485792368842985,"model 1"
"6","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-23,780,318386329,805.444630208548,750,860,-25.4446302085477,0.244985393201352,0.252977140299434,0.235562878078223,0.270112100196362,-0.00799174709808211,"model 1"
"7","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-02,799,318386329,804.428166780715,748,861,-5.42816678071495,0.250952986112667,0.252657885565405,0.234934710403348,0.2704261840338,-0.00170489945273842,"model 1"
"8","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-09,795,318386329,803.436883630608,748,859,-8.43688363060824,0.249696650762916,0.252346539549633,0.234934710403348,0.269798016358925,-0.00264988878671616,"model 1"
"9","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-16,806,318386329,802.48965018474,747,858,3.5103498152605,0.25315157297473,0.252049028834005,0.23462062656591,0.269483932521487,0.00110254414072549,"model 1"
"10","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-23,801,318386329,801.604632149061,746,858,-0.604632149061445,0.251581153787542,0.251771058973158,0.234306542728472,0.269483932521487,-0.00018990518561538,"model 1"
"11","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-30,817,318386329,800.799042052498,745,857,16.2009579475019,0.256606495186544,0.251518036144227,0.233992458891035,0.269169848684049,0.00508845904231709,"model 1"
"12","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-06,808,318386329,800.088907245933,745,856,7.911092754067,0.253779740649606,0.251294994279083,0.233992458891035,0.268855764846612,0.0024847463705224,"model 1"
"13","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-13,805,318386329,799.488857676352,745,857,5.51114232364819,0.252837489137293,0.251106528407616,0.233992458891035,0.269169848684049,0.00173096072967636,"model 1"
"14","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-20,803,318386329,799.011935321643,743,855,3.98806467835686,0.252209321462417,0.25095673480429,0.23336429121616,0.268541681009174,0.00125258665812779,"model 1"
"15","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-27,806,318386329,798.669426778378,743,856,7.33057322162199,0.25315157297473,0.250849158406666,0.23336429121616,0.268855764846612,0.00230241456806457,"model 1"
"16","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-04,795,318386329,798.470720152102,744,856,-3.47072015210233,0.249696650762916,0.250786747866961,0.233678375053597,0.268855764846612,-0.00109009710404442,"model 1"
"17","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-11,795,318386329,798.423187111219,743,854,-3.42318711121925,0.249696650762916,0.250771818507075,0.23336429121616,0.268227597171737,-0.00107516774415878,"model 1"
"18","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-18,799,318386329,798.532090731822,743,855,0.467909268177777,0.250952986112667,0.250806023374145,0.23336429121616,0.268541681009174,0.00014696273852191,"model 1"
"19","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-25,798,318386329,798.80051957709,743,855,-0.800519577090199,0.250638902275229,0.250890332535946,0.23336429121616,0.268541681009174,-0.000251430260716439,"model 1"
"20","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-01,795,318386329,799.2293483137,745,854,-4.22934831370048,0.249696650762916,0.251025020711144,0.233992458891035,0.268227597171737,-0.00132836994822742,"model 1"
"21","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-08,795,318386329,799.817225057715,744,856,-4.81722505771506,0.249696650762916,0.251209663294844,0.233678375053597,0.268855764846612,-0.00151301253192786,"model 1"
