"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-19,54,19653431,53.6777033458809,40,69,0.3222966541191,0.274761185464258,0.273121285265056,0.203526804047599,0.351083736982108,0.00163990019920237,"model 1"
"2","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-26,53,19653431,53.6167138220673,39,69,-0.616713822067297,0.269673015363068,0.272810960193502,0.198438633946409,0.351083736982108,-0.00313794483043341,"model 1"
"3","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-02,54,19653431,53.5433269330843,39,68,0.456673066915684,0.274761185464258,0.272437555219159,0.198438633946409,0.345995566880918,0.00232363024509911,"model 1"
"4","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-09,55,19653431,53.458882098376,39,69,1.54111790162398,0.279849355565448,0.272007885535996,0.198438633946409,0.351083736982108,0.00784147002945178,"model 1"
"5","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-16,56,19653431,53.364879369477,39,68,2.63512063052305,0.284937525666638,0.271529583661382,0.198438633946409,0.345995566880918,0.0134079420052562,"model 1"
"6","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-23,57,19653431,53.262954403473,40,68,3.73704559652703,0.290025695767828,0.271010972096796,0.203526804047599,0.345995566880918,0.0190147236710324,"model 1"
"7","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-02,57,19653431,53.154851696268,39,68,3.84514830373204,0.290025695767828,0.270460927134137,0.198438633946409,0.345995566880918,0.0195647686336907,"model 1"
"8","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-09,57,19653431,53.0423966456115,39,68,3.95760335438852,0.290025695767828,0.269888736707659,0.198438633946409,0.345995566880918,0.0201369590601688,"model 1"
"9","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-16,56,19653431,52.9274670041449,39,68,3.07253299585506,0.284937525666638,0.269303955142209,0.198438633946409,0.345995566880918,0.0156335705244293,"model 1"
"10","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-23,53,19653431,52.8119642560681,39,68,0.188035743931913,0.269673015363068,0.268716257512839,0.198438633946409,0.345995566880918,0.000956757850229371,"model 1"
"11","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-30,51,19653431,52.6977854101434,39,68,-1.69778541014342,0.259496675160688,0.268135296122817,0.198438633946409,0.345995566880918,-0.00863862096212828,"model 1"
"12","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-06,52,19653431,52.5867956499459,39,67.0249999999996,-0.586795649945891,0.264584845261878,0.267570561343441,0.198438633946409,0.341034601032256,-0.00298571608156302,"model 1"
"13","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-13,50,19653431,52.4808022230654,39,67,-2.4808022230654,0.254408505059498,0.267031248757865,0.198438633946409,0.340907396779728,-0.012622743698367,"model 1"
"14","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-20,50,19653431,52.3815298880003,38,67,-2.38152988800026,0.254408505059498,0.266526134230711,0.193350463845219,0.340907396779728,-0.0121176291712132,"model 1"
"15","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-27,52,19653431,52.2905981741628,38,67,-0.290598174162774,0.264584845261878,0.266063458203114,0.193350463845219,0.340907396779728,-0.00147861294123542,"model 1"
"16","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-04,53,19653431,52.2095006498547,39,67,0.790499350145275,0.269673015363068,0.265650820204649,0.198438633946409,0.340907396779728,0.00402219515841929,"model 1"
"17","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-11,52,19653431,52.1395863378413,38,67,-0.139586337841308,0.264584845261878,0.265295084292617,0.193350463845219,0.340907396779728,-0.000710239030738746,"model 1"
"18","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-18,55,19653431,52.0820433702759,38,67,2.91795662972412,0.279849355565448,0.265002295885517,0.193350463845219,0.340907396779728,0.0148470596799313,"model 1"
"19","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-25,54,19653431,52.0378849355405,38,67,1.96211506445948,0.274761185464258,0.264777610258181,0.193350463845219,0.340907396779728,0.00998357520607716,"model 1"
"20","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-01,50,19653431,52.0079375397533,39,67,-2.00793753975334,0.254408505059498,0.264625232814328,0.198438633946409,0.340907396779728,-0.0102167277548299,"model 1"
"21","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-08,50,19653431,51.992831585297,38,67,-1.992831585297,0.254408505059498,0.264548371148513,0.193350463845219,0.340907396779728,-0.0101398660890152,"model 1"
"22","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-15,51,19653431,51.9929942571512,38,67,-0.99299425715116,0.259496675160688,0.264549198850578,0.193350463845219,0.340907396779728,-0.00505252368988987,"model 1"
"23","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-22,51,19653431,52.0086447039935,38,67,-1.0086447039935,0.259496675160688,0.264628830986272,0.193350463845219,0.340907396779728,-0.00513215582558331,"model 1"
"24","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-29,53,19653431,52.0397915034,38,67,0.960208496599961,0.269673015363068,0.26478731119976,0.193350463845219,0.340907396779728,0.00488570416330849,"model 1"
"25","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-06,57,19653431,52.0862324071724,39,67,4.9137675928276,0.290025695767828,0.265023610417806,0.198438633946409,0.340907396779728,0.0250020853500216,"model 1"
"26","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-13,56,19653431,52.147556371705,38,67,3.85244362829499,0.284937525666638,0.265335637180628,0.193350463845219,0.340907396779728,0.0196018884860104,"model 1"
"27","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-20,56,19653431,52.2231478871745,38,67,3.77685211282547,0.284937525666638,0.265720259669543,0.193350463845219,0.340907396779728,0.0192172659970947,"model 1"
"28","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-27,57,19653431,52.3121936259208,39,67,4.68780637407922,0.290025695767828,0.26617333953507,0.198438633946409,0.340907396779728,0.0238523562327576,"model 1"
"29","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-03,55,19653431,52.4136914325906,39,67,2.58630856740939,0.279849355565448,0.266689777640304,0.198438633946409,0.340907396779728,0.0131595779251439,"model 1"
"30","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-10,55,19653431,52.5264616745124,38,67,2.47353832548764,0.279849355565448,0.267263571813554,0.193350463845219,0.340907396779728,0.0125857837518937,"model 1"
"31","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-17,54,19653431,52.6491609588088,39,67,1.35083904119118,0.274761185464258,0.267887886643349,0.198438633946409,0.340907396779728,0.00687329882090908,"model 1"
"32","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-24,54,19653431,52.780298201796,39,68,1.21970179820401,0.274761185464258,0.268555135242269,0.198438633946409,0.345995566880918,0.0062060502219893,"model 1"
"33","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-31,53,19653431,52.9182530056735,39,68,0.0817469943264939,0.269673015363068,0.269257072750674,0.198438633946409,0.345995566880918,0.000415942612394212,"model 1"
"34","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-09-07,52,19653431,53.0612962573824,39,68,-1.06129625738244,0.264584845261878,0.269984901147196,0.198438633946409,0.345995566880918,-0.00540005588531817,"model 1"
"35","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-09-14,54,19653431,53.2076128154557,39,68,0.79238718454431,0.274761185464258,0.270729384683294,0.198438633946409,0.345995566880918,0.00403180078096445,"model 1"
