"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-01-19,82,38586706,79.3668317681549,63,98,2.63316823184509,0.212508421942003,0.205684392360817,0.163268665638368,0.253973479881905,0.00682402958118553,"model 1"
"2","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-01-26,79,38586706,79.1598803170862,62,97,-0.159880317086163,0.204733723578271,0.205148063991485,0.160677099517124,0.251381913760661,-0.000414340413214237,"model 1"
"3","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-02-02,75,38586706,78.9497228005625,62,97,-3.94972280056254,0.194367459093295,0.204603426891538,0.160677099517124,0.251381913760661,-0.0102359677982426,"model 1"
"4","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-02-09,66,38586706,78.7398570767863,62,97,-12.7398570767863,0.1710433640021,0.204059545991789,0.160677099517124,0.251381913760661,-0.0330161819896891,"model 1"
"5","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-02-16,70,38586706,78.5337479833745,62,96,-8.53374798337445,0.181409628487075,0.203525400648022,0.160677099517124,0.248790347639418,-0.022115772160947,"model 1"
"6","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-02-23,69,38586706,78.3347781143932,61,96,-9.3347781143932,0.178818062365831,0.203009757076422,0.15808553339588,0.248790347639418,-0.0241916947105907,"model 1"
"7","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-02,71,38586706,78.1462015015272,62,96,-7.14620150152722,0.184001194608319,0.20252104831526,0.160677099517124,0.248790347639418,-0.0185198537069405,"model 1"
"8","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-09,75,38586706,77.9711006970243,61,97,-2.97110069702428,0.194367459093295,0.202067263002507,0.15808553339588,0.251381913760661,-0.00769980390921237,"model 1"
"9","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-16,80,38586706,77.8123476209349,61,95.0249999999996,2.18765237906509,0.207325289699515,0.201655843908871,0.15808553339588,0.246263570671204,0.00566944579064376,"model 1"
"10","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-23,77,38586706,77.6725684112932,61,95,-0.672568411293241,0.199550591335783,0.201293596844709,0.15808553339588,0.246198781518174,-0.00174300550892642,"model 1"
"11","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-03-30,83,38586706,77.5541124083045,61,95,5.44588759169554,0.215099988063246,0.200986610280506,0.15808553339588,0.246198781518174,0.0141133777827409,"model 1"
"12","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-04-06,84,38586706,77.4590253158383,61,95,6.54097468416167,0.21769155418449,0.200740185793103,0.15808553339588,0.246198781518174,0.0169513683913876,"model 1"
"13","California","cancer_pancreas_uc_ma","Pancreatic Cancer","Underlying Cause",2014-04-13,85,38586706,77.3890265176494,60,95,7.61097348235057,0.220283120305734,0.200558779279189,0.155493967274636,0.246198781518174,0.0197243410265457,"model 1"
