"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","California","cancer_uc_ma","Cancer","Underlying Cause",2014-01-19,1152,38586706,1146.43873847247,1082,1213,5.56126152752972,2.98548417167301,2.97107179470689,2.80407454318594,3.14356970506889,0.0144123769661233,"model 1"
"2","California","cancer_uc_ma","Cancer","Underlying Cause",2014-01-26,1156,38586706,1144.67367007811,1078,1212,11.3263299218916,2.99585043615799,2.96649750325438,2.79370827870096,3.14097813894765,0.0293529329036056,"model 1"
"3","California","cancer_uc_ma","Cancer","Underlying Cause",2014-02-02,1141,38586706,1142.65437858439,1077,1207,-1.65437858439191,2.95697694433933,2.96126437583035,2.79111671257972,3.12802030834143,-0.00428743149102156,"model 1"
"4","California","cancer_uc_ma","Cancer","Underlying Cause",2014-02-09,1113,38586706,1140.41099450276,1073,1206,-27.4109945027576,2.8844130929445,2.95545049764745,2.78075044809474,3.12542874222018,-0.0710374047029503,"model 1"
"5","California","cancer_uc_ma","Cancer","Underlying Cause",2014-02-16,1112,38586706,1137.97685660156,1072,1205,-25.9768566015575,2.88182152682325,2.94914226832826,2.7781588819735,3.12283717609894,-0.0673207415050083,"model 1"
"6","California","cancer_uc_ma","Cancer","Underlying Cause",2014-02-23,1107,38586706,1135.38795786568,1068,1202,-28.3879578656779,2.86886369621703,2.94243296607303,2.76779261748852,3.11506247773521,-0.073569269855991,"model 1"
"7","California","cancer_uc_ma","Cancer","Underlying Cause",2014-03-02,1111,38586706,1132.68235967699,1067,1200,-21.6823596769937,2.87922996070201,2.93542122946953,2.76520105136728,3.10987934549272,-0.0561912687675223,"model 1"
"8","California","cancer_uc_ma","Cancer","Underlying Cause",2014-03-09,1112,38586706,1129.89958642349,1063,1196,-17.8995864234932,2.88182152682325,2.92820948858266,2.7548347868823,3.09951308100774,-0.046387961759403,"model 1"
"9","California","cancer_uc_ma","Cancer","Underlying Cause",2014-03-16,1117,38586706,1127.08001237248,1060,1192,-10.0800123724757,2.89477935742947,2.9209023759957,2.74706008851857,3.08914681652277,-0.0261230185662278,"model 1"
"10","California","cancer_uc_ma","Cancer","Underlying Cause",2014-03-23,1105,38586706,1124.26425192931,1059,1191,-19.2642519293074,2.86368056397455,2.91360514662565,2.74446852239733,3.08655525040152,-0.0499245826511012,"model 1"
"11","California","cancer_uc_ma","Cancer","Underlying Cause",2014-03-30,1104,38586706,1121.4925634114,1056,1187,-17.4925634114027,2.8610889978533,2.906422132564,2.73669382403359,3.07618898591655,-0.0453331347107024,"model 1"
"12","California","cancer_uc_ma","Cancer","Underlying Cause",2014-04-06,1092,38586706,1118.80427527183,1053,1184,-26.8042752718281,2.82999020439838,2.89945525609734,2.72891912566986,3.06841428755282,-0.0694650516989663,"model 1"
"13","California","cancer_uc_ma","Cancer","Underlying Cause",2014-04-13,1106,38586706,1116.23724238483,1050,1183,-10.2372423848285,2.86627213009579,2.89280262063527,2.72114442730613,3.06582272143157,-0.026530490539484,"model 1"
"14","California","cancer_uc_ma","Cancer","Underlying Cause",2014-04-20,1106,38586706,1113.82733863356,1047,1179,-7.8273386335577,2.86627213009579,2.88655719571802,2.7133697289424,3.0554564569466,-0.0202850656222319,"model 1"
"15","California","cancer_uc_ma","Cancer","Underlying Cause",2014-04-27,1108,38586706,1111.60799068923,1046.975,1178,-3.60799068923211,2.87145526233828,2.88080560877426,2.71330493978937,3.05286489082535,-0.00935034643597749,"model 1"
"16","California","cancer_uc_ma","Cancer","Underlying Cause",2014-05-04,1102,38586706,1109.60975660327,1045,1175,-7.60975660326699,2.85590586561081,2.87562705301475,2.70818659669991,3.04509019246162,-0.019721187403939,"model 1"
"17","California","cancer_uc_ma","Cancer","Underlying Cause",2014-05-11,1103,38586706,1107.8599517004,1044,1173,-4.85995170039814,2.85849743173206,2.87109231790969,2.70559503057867,3.03990706021913,-0.0125948861776337,"model 1"
"18","California","cancer_uc_ma","Cancer","Underlying Cause",2014-05-18,1097,38586706,1106.38232329858,1040,1172,-9.38232329857919,2.84294803500459,2.86726294620375,2.69522876609369,3.03731549409789,-0.0243149111991555,"model 1"
"19","California","cancer_uc_ma","Cancer","Underlying Cause",2014-05-25,1096,38586706,1105.19677501387,1040,1172,-9.19677501387355,2.84035646888335,2.86419051943401,2.69522876609369,3.03731549409789,-0.0238340505506574,"model 1"
"20","California","cancer_uc_ma","Cancer","Underlying Cause",2014-06-01,1101,38586706,1104.31914084443,1040,1171,-3.3191408444327,2.85331429948957,2.86191607245364,2.69522876609369,3.03472392797665,-0.00860177296406875,"model 1"
"21","California","cancer_uc_ma","Cancer","Underlying Cause",2014-06-08,1113,38586706,1103.76100886231,1039,1170.025,9.23899113768766,2.8844130929445,2.86046963651759,2.69263719997245,3.03219715100843,0.0239434564269043,"model 1"
"22","California","cancer_uc_ma","Cancer","Underlying Cause",2014-06-15,1113,38586706,1103.52959415851,1040,1169,9.4704058414909,2.8844130929445,2.85986991001126,2.69522876609369,3.02954079573416,0.0245431829332385,"model 1"
"23","California","cancer_uc_ma","Cancer","Underlying Cause",2014-06-22,1098,38586706,1103.62766065752,1037,1169,-5.62766065752294,2.84553960112584,2.86012405582773,2.68745406772996,3.02954079573416,-0.0145844547018938,"model 1"
"24","California","cancer_uc_ma","Cancer","Underlying Cause",2014-06-29,1097,38586706,1104.05349150711,1040,1170,-7.05349150710981,2.84294803500459,2.8612276246309,2.69522876609369,3.0321323618554,-0.0182795896263076,"model 1"
"25","California","cancer_uc_ma","Cancer","Underlying Cause",2014-07-06,1093,38586706,1104.80090791426,1038.975,1172,-11.8009079142623,2.83258177051962,2.86316460367014,2.69257241081942,3.03731549409789,-0.0305828331505216,"model 1"
"26","California","cancer_uc_ma","Cancer","Underlying Cause",2014-07-13,1099,38586706,1105.85933649331,1042,1171.025,-6.85933649331264,2.84813116724708,2.86590759131736,2.70041189833618,3.03478871712968,-0.0177764240702812,"model 1"
"27","California","cancer_uc_ma","Cancer","Underlying Cause",2014-07-20,1099,38586706,1107.21392536915,1043,1173,-8.213925369153,2.84813116724708,2.86941809795621,2.70300346445742,3.03990706021913,-0.021286930709123,"model 1"
"28","California","cancer_uc_ma","Cancer","Underlying Cause",2014-07-27,1114,38586706,1108.84570939026,1044,1175,5.15429060974361,2.88700465906574,2.87364697414248,2.70559503057867,3.04509019246162,0.0133576849232573,"model 1"
"29","California","cancer_uc_ma","Cancer","Underlying Cause",2014-08-03,1125,38586706,1110.73182480967,1044,1178,14.2681751903256,2.91551188639942,2.8785349669642,2.70559503057867,3.05286489082535,0.0369769194352209,"model 1"
"30","California","cancer_uc_ma","Cancer","Underlying Cause",2014-08-10,1116,38586706,1112.84577364927,1049,1179,3.154226350729,2.89218779130823,2.88401340515894,2.71855286118489,3.0554564569466,0.00817438614928417,"model 1"
"31","California","cancer_uc_ma","Cancer","Underlying Cause",2014-08-17,1109,38586706,1115.15773764362,1048,1182,-6.15773764362484,2.87404682845952,2.89000501272025,2.71596129506364,3.06323115531033,-0.0159581842607266,"model 1"
"32","California","cancer_uc_ma","Cancer","Underlying Cause",2014-08-24,1111,38586706,1117.63494114584,1053,1184,-6.63494114584319,2.87922996070201,2.89642484939202,2.72891912566986,3.06841428755282,-0.0171948886900146,"model 1"
"33","California","cancer_uc_ma","Cancer","Underlying Cause",2014-08-31,1095,38586706,1120.24206165972,1055,1187,-25.242061659718,2.83776490276211,2.90318137458978,2.73410225791235,3.07618898591655,-0.0654164718276757,"model 1"
"34","California","cancer_uc_ma","Cancer","Underlying Cause",2014-09-07,1088,38586706,1122.94168574781,1058,1190,-34.9416857478066,2.8196239399134,2.91017762891657,2.74187695627608,3.08396368428028,-0.0905536890031675,"model 1"
"35","California","cancer_uc_ma","Cancer","Underlying Cause",2014-09-14,1105,38586706,1125.69480697168,1061,1193,-20.6948069716786,2.86368056397455,2.91731252460803,2.74965165463981,3.09173838264401,-0.0536319606334851,"model 1"
"36","California","cancer_uc_ma","Cancer","Underlying Cause",2014-09-21,1109,38586706,1128.46136128376,1063,1194,-19.4613612837566,2.87404682845952,2.92448223303579,2.7548347868823,3.09432994876526,-0.0504354045762718,"model 1"
"37","California","cancer_uc_ma","Cancer","Underlying Cause",2014-09-28,1103,38586706,1131.20079395682,1066,1199,-28.2007939568191,2.85849743173206,2.93158165394273,2.76260948524603,3.10728777937148,-0.073084222210673,"model 1"
"38","California","cancer_uc_ma","Cancer","Underlying Cause",2014-10-05,1115,38586706,1133.87265076734,1066,1201,-18.8726507673357,2.88959622518699,2.93850594753368,2.76260948524603,3.11247091161396,-0.0489097223466955,"model 1"
"39","California","cancer_uc_ma","Cancer","Underlying Cause",2014-10-12,1126,38586706,1136.43718481151,1071,1204,-10.437184811514,2.91810345252067,2.94515210707935,2.77556731585225,3.1202456099777,-0.0270486545586815,"model 1"
"40","California","cancer_uc_ma","Cancer","Underlying Cause",2014-10-19,1117,38586706,1138.85596910376,1073,1208,-21.8559691037563,2.89477935742947,2.95142054650572,2.78075044809474,3.13061187446267,-0.0566411890762488,"model 1"
"41","California","cancer_uc_ma","Cancer","Underlying Cause",2014-10-26,1127,38586706,1141.09250406349,1075,1208.025,-14.0925040634932,2.92069501864191,2.95721667473635,2.78593358033723,3.1306766636157,-0.0365216560944413,"model 1"
"42","California","cancer_uc_ma","Cancer","Underlying Cause",2014-11-02,1154,38586706,1143.11280821299,1076,1211,10.8871917870097,2.9906673039155,2.9624524265248,2.78852514645847,3.1383865728264,0.0282148773906995,"model 1"
