"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-01-19,697,19653431,697.55250535436,645,750,-0.552505354359937,3.54645456052941,3.54926580175421,3.28186971526753,3.81612757589247,-0.0028112412248016,"model 1"
"2","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-01-26,695,19653431,696.782466089272,645,750,-1.78246608927191,3.53627822032703,3.54534771098884,3.28186971526753,3.81612757589247,-0.00906949066181832,"model 1"
"3","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-02-02,706,19653431,695.83094097463,645,750,10.1690590253704,3.59224809144012,3.54050618934999,3.28186971526753,3.81612757589247,0.0517419020901257,"model 1"
"4","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-02-09,701,19653431,694.711002367122,643,747,6.28899763287825,3.56680724093417,3.5348077512121,3.27169337506515,3.8008630655889,0.0319994897220656,"model 1"
"5","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-02-16,693,19653431,693.438225532665,643,746,-0.438225532665115,3.52610188012465,3.52833164617753,3.27169337506515,3.79577489548771,-0.00222976605288468,"model 1"
"6","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-02-23,687,19653431,692.0304206517,641,745,-5.03042065169973,3.49557285951751,3.52116849547389,3.26151703486277,3.79068672538652,-0.0255956359563871,"model 1"
"7","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-02,682,19653431,690.507331219376,640,742,-8.5073312193756,3.47013200901156,3.5134187573629,3.25642886476158,3.77542221508295,-0.0432867483513469,"model 1"
"8","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-09,675,19653431,688.890305767451,637,742,-13.8903057674505,3.43451481830323,3.50519105680555,3.24116435445801,3.77542221508295,-0.0706762385023282,"model 1"
"9","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-16,689,19653431,687.201950120146,635,739,1.79804987985369,3.50574919971989,3.49660041608077,3.23098801425563,3.76015770477938,0.00914878363911977,"model 1"
"10","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-23,687,19653431,685.465767430595,635,737,1.53423256940528,3.49557285951751,3.48776642322959,3.23098801425563,3.749981364577,0.00780643628791978,"model 1"
"11","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-30,683,19653431,683.705793045937,633,735,-0.705793045937185,3.47522017911275,3.47881137418671,3.22081167405325,3.73980502437462,-0.00359119507396538,"model 1"
"12","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-04-06,691,19653431,681.946230846184,631,734,9.05376915381646,3.51592553992227,3.46985842241074,3.21063533385087,3.73471685427343,0.0460671175115249,"model 1"
"13","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-04-13,691,19653431,680.211097132052,630,732,10.7889028679476,3.51592553992227,3.46102976692493,3.20554716374968,3.72454051407105,0.0548957729973338,"model 1"
"14","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-04-20,677,19653431,678.523877442633,628,730,-1.52387744263342,3.44469115850561,3.45244490614709,3.1953708235473,3.71436417386867,-0.0077537476414852,"model 1"
"15","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-04-27,672,19653431,676.907200910269,626.975,730,-4.90720091026867,3.41925030799966,3.44421898095182,3.19015544919358,3.71436417386867,-0.0249686729521612,"model 1"
