"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-19,282,19653431,273.060470017947,240,307,8.9395299820531,1.43486396853557,1.3893781193622,1.22116082428559,1.56206822106532,0.0454858491733739,"model 1"
"2","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-26,287,19653431,273.74391262818,242,307.025,13.2560873718201,1.46030481904152,1.39285559161746,1.23133716448797,1.56219542531785,0.0674492274240567,"model 1"
"3","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-02,292,19653431,273.998999842476,241,307,18.0010001575242,1.48574566954747,1.39415351875444,1.22624899438678,1.56206822106532,0.0915921507930304,"model 1"
"4","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-09,286,19653431,273.822612865876,241,306,12.1773871341237,1.45521664894033,1.39325603181387,1.22624899438678,1.55698005096413,0.0619606171264636,"model 1"
"5","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-16,285,19653431,273.219904779214,241,306,11.7800952207856,1.45012847883914,1.39018935054757,1.22624899438678,1.55698005096413,0.0599391282915721,"model 1"
"6","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-23,283,19653431,272.204144494967,240,306,10.7958555050332,1.43995213863676,1.38502098943928,1.22116082428559,1.55698005096413,0.0549311491974771,"model 1"
"7","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-02,272,19653431,270.796317306584,239,304,1.20368269341554,1.38398226752367,1.37785772523171,1.2160726541844,1.54680371076175,0.00612454229195678,"model 1"
"8","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-09,264,19653431,269.02450328933,237,303,-5.02450328932991,1.34327690671415,1.36884243412425,1.20589631398202,1.54171554066056,-0.0255655274100991,"model 1"
"9","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-16,264,19653431,266.923065859993,235,301,-2.92306585999279,1.34327690671415,1.35814996302678,1.19571997377964,1.53153920045818,-0.0148730563126244,"model 1"
"10","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-23,261,19653431,264.531691340526,233,297,-3.53169134052558,1.32801239641058,1.34598224269607,1.18554363357726,1.51118652005342,-0.0179698462854938,"model 1"
"11","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-30,256,19653431,261.894325840769,230,295,-5.89432584076877,1.30257154590463,1.3325628784143,1.17027912327369,1.50101017985104,-0.0299913325096711,"model 1"
"12","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-06,260,19653431,259.058057930098,228,290,0.9419420699017,1.32292422630939,1.31813146483226,1.16010278307131,1.47556932934509,0.00479276147712682,"model 1"
