"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-19,462,26963092,427.80489003515,387,470,34.1951099648502,1.71345333836342,1.58663142207559,1.43529532888884,1.74312352604071,0.126821916287829,"model 1"
"2","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-26,460,26963092,427.802360076474,387,469,32.1976399235259,1.7060357914441,1.586622039032,1.43529532888884,1.73941475258105,0.119413752412097,"model 1"
"3","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-02,449,26963092,427.213831385847,386,468,21.7861686141533,1.66523928338783,1.58443931944395,1.43158655542918,1.73570597912139,0.0807999639438731,"model 1"
"4","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-09,449,26963092,426.051911238727,386,467,22.9480887612726,1.66523928338783,1.58013002084007,1.43158655542918,1.73199720566172,0.0851092625477544,"model 1"
"5","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-16,439,26963092,424.339710941877,383,465.025,14.6602890581227,1.62815154879121,1.57377985782149,1.42046023505019,1.72467237807889,0.0543716909697253,"model 1"
"6","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-23,427,26963092,422.110195171903,382,464,4.88980482809706,1.58364626727528,1.56551108890591,1.41675146159053,1.72087088528274,0.018135178369369,"model 1"
"7","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-02,417,26963092,419.405271622767,379,460,-2.40527162276692,1.54655853267867,1.55547914023646,1.40562514121155,1.7060357914441,-0.00892060755779388,"model 1"
"8","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-09,412,26963092,416.274664760923,377,458,-4.27466476092275,1.52801466538037,1.54386842859462,1.39820759429223,1.69861824452477,-0.0158537632142588,"model 1"
"9","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-16,397,26963092,412.774625977377,372,453,-15.774625977377,1.47238306348545,1.53088757764643,1.37966372699392,1.68007437722647,-0.0585045141609761,"model 1"
"10","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-23,382,26963092,408.96653726146,370,450,-26.9665372614595,1.41675146159053,1.5167642392848,1.3722461800746,1.66894805684749,-0.100012777694263,"model 1"
