"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-19,1645,318386329,1611.6445595379,1527,1696,33.3554404621016,0.516667912584903,0.506191507845143,0.479606019767262,0.532686188294222,0.0104764047397593,"model 1"
"2","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-26,1627,318386329,1613.20617208601,1531.975,1696,13.7938279139864,0.511014403511025,0.506681985106846,0.481168586858514,0.532686188294222,0.00433241840417917,"model 1"
"3","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-02,1607,318386329,1612.33916592875,1530,1697,-5.33916592874721,0.504732726762273,0.50640967248589,0.480548271279575,0.533000272131659,-0.00167694572361717,"model 1"
"4","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-09,1605,318386329,1609.06883381136,1529,1693,-4.06883381135913,0.504104559087397,0.505382514024765,0.480234187442137,0.531743936781909,-0.00127795493736766,"model 1"
"5","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-16,1595,318386329,1603.46577815931,1522,1687,-8.46577815931369,0.500963720713021,0.503622684804194,0.478035600580074,0.529859433757283,-0.00265896409117292,"model 1"
"6","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-23,1583,318386329,1595.643826653,1515,1679,-12.643826652996,0.497194714663769,0.501165936258839,0.475837013718011,0.527346763057782,-0.00397122159506919,"model 1"
"7","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-02,1552,318386329,1585.75672203401,1505.975,1668,-33.7567220340125,0.487458115703203,0.498060556498961,0.473002407085136,0.523891840845968,-0.0106024407957581,"model 1"
"8","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-09,1537,318386329,1573.99375497502,1496,1655,-36.99375497502,0.482746858141638,0.49436599866542,0.469869420806696,0.519808750959279,-0.0116191405237817,"model 1"
"9","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-16,1521,318386329,1560.57455603051,1482,1643,-39.5745560305083,0.477721516742636,0.490151245165589,0.465472247082569,0.516039744910027,-0.0124297284229526,"model 1"
"10","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-23,1505,318386329,1545.74329386688,1468,1628,-40.7432938668849,0.472696175343634,0.485492985431194,0.461075073358442,0.511328487348463,-0.0127968100875603,"model 1"
"11","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-30,1487,318386329,1529.76254065763,1450,1612,-42.7625406576312,0.467042666269757,0.480473689138088,0.455421564284564,0.506303145949461,-0.0134310228683315,"model 1"
"12","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-06,1477,318386329,1512.90706187185,1436.975,1594,-35.9070618718467,0.463901827895381,0.475179655679201,0.451330622301939,0.500649636875583,-0.0112778277838201,"model 1"
"13","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-13,1476,318386329,1495.45776833033,1417.975,1574.025,-19.4577683303326,0.463587744057943,0.469699114603106,0.445363029390624,0.494375812222766,-0.00611137054516325,"model 1"
"14","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-20,1475,318386329,1477.69603619219,1400,1556,-2.69603619219356,0.463273660220505,0.46412044161362,0.439717372412683,0.488714451052953,-0.000846781393114891,"model 1"
"15","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-27,1463,318386329,1459.89855909556,1385,1538,3.10144090444419,0.459504654171254,0.4585305417104,0.435006114851118,0.483060941979076,0.000974112460853867,"model 1"
"16","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-04,1445,318386329,1442.33284997727,1365,1521,2.66715002272554,0.453851145097376,0.453013436383217,0.428724438102366,0.477721516742636,0.0008377087141595,"model 1"
