"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-19,84,19653431,83.2281789626552,66,102,0.771821037344765,0.427406288499957,0.42347913177427,0.335819226678538,0.518993350321376,0.00392715672568706,"model 1"
"2","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-26,84,19653431,83.3963054941851,66,102,0.603694505814872,0.427406288499957,0.424334588165217,0.335819226678538,0.518993350321376,0.00307170033473988,"model 1"
"3","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-02,84,19653431,83.4282324434833,66,102,0.571767556516733,0.427406288499957,0.424497037914058,0.335819226678538,0.518993350321376,0.00290925058589888,"model 1"
"4","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-09,86,19653431,83.3239999524546,66,102,2.67600004754537,0.437582628702337,0.423966685269634,0.335819226678538,0.518993350321376,0.0136159434327033,"model 1"
"5","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-16,84,19653431,83.0862796473453,66,102,0.913720352654664,0.427406288499957,0.422757123920731,0.335819226678538,0.518993350321376,0.00464916457922621,"model 1"
"6","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-23,85,19653431,82.7202923628432,65,101,2.27970763715683,0.432494458601147,0.420894918362311,0.330731056577348,0.513905180220186,0.0115995402388358,"model 1"
"7","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-02,82,19653431,82.2336491005257,65,100,-0.233649100525668,0.417229948297577,0.418418794665042,0.330731056577348,0.508817010118996,-0.00118884636746463,"model 1"
"8","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-09,79,19653431,81.6361237709096,65,100,-2.63612377090965,0.401965437994007,0.415378484148186,0.330731056577348,0.508817010118996,-0.0134130461541786,"model 1"
"9","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-16,80,19653431,80.9393696057131,64,99,-0.939369605713125,0.407053608095197,0.411833280436953,0.325642886476158,0.503728840017806,-0.00477967234175613,"model 1"
"10","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-23,86,19653431,80.1565935378893,63,98,5.84340646211074,0.437582628702337,0.407850382652725,0.320554716374968,0.498640669916617,0.0297322460496121,"model 1"
"11","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-30,87,19653431,79.3022041876457,62,97,7.6977958123543,0.442670798803527,0.40350310430604,0.315466546273778,0.493552499815427,0.0391676944974865,"model 1"
"12","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-06,88,19653431,78.3914493258574,62,96,9.60855067414258,0.447758968904717,0.398869028648776,0.315466546273778,0.488464329714237,0.0488899402559409,"model 1"
"13","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-13,87,19653431,77.440057877734,60,95,9.55994212226604,0.442670798803527,0.394028187127906,0.305290206071398,0.483376159613047,0.0486426116756206,"model 1"
"14","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-20,86,19653431,76.4638998319532,60,94,9.53610016804677,0.437582628702337,0.389061328945329,0.305290206071398,0.478287989511857,0.0485212997570082,"model 1"
"15","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-27,77,19653431,75.4786750489002,59,93,1.52132495109983,0.391789097791627,0.384048337661247,0.300202035970208,0.473199819410667,0.00774076013038043,"model 1"
"16","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-04,74,19653431,74.4996391647746,58,92,-0.499639164774607,0.376524587488057,0.379066836547647,0.295113865869018,0.468111649309477,-0.00254224905958968,"model 1"
"17","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-11,70,19653431,73.5413718192677,57,91,-3.54137181926771,0.356171907083298,0.374191009291292,0.290025695767828,0.463023479208287,-0.0180191022079947,"model 1"
"18","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-18,69,19653431,72.6175895255495,56,90,-3.61758952554952,0.351083736982108,0.369490647844387,0.284937525666638,0.457935309107097,-0.0184069108622791,"model 1"
"19","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-25,65,19653431,71.7410028449338,55,89,-6.74100284493382,0.330731056577348,0.365030425704977,0.279849355565448,0.452847139005907,-0.0342993691276287,"model 1"
"20","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-01,70,19653431,70.9232152662665,55,88,-0.923215266266453,0.356171907083298,0.360869383398077,0.279849355565448,0.447758968904717,-0.0046974763147791,"model 1"
"21","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-08,73,19653431,70.1746594086431,54,87,2.82534059135695,0.371436417386867,0.357060603864247,0.274761185464258,0.442670798803527,0.0143758135226208,"model 1"
"22","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-15,76,19653431,69.5045649007131,54,87,6.49543509928689,0.386700927690437,0.353651049024026,0.274761185464258,0.442670798803527,0.0330498786664114,"model 1"
"23","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-22,74,19653431,68.9209515321456,53,86,5.07904846785439,0.376524587488057,0.350681524931426,0.269673015363068,0.437582628702337,0.0258430625566314,"model 1"
"24","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-29,75,19653431,68.4306409814832,53,85,6.56935901851676,0.381612757589247,0.348186741447248,0.269673015363068,0.432494458601147,0.0334260161419997,"model 1"
"25","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-07-06,71,19653431,68.039280537215,52,85,2.96071946278502,0.361260077184488,0.346195432935934,0.264584845261878,0.432494458601147,0.015064644248554,"model 1"
"26","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-07-13,70,19653431,67.7513726730246,52,85,2.24862732697542,0.356171907083298,0.344730508749463,0.264584845261878,0.432494458601147,0.0114413983338351,"model 1"
"27","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-07-20,67,19653431,67.5703050407139,52,84,-0.570305040713933,0.340907396779728,0.343809205836446,0.264584845261878,0.427406288499957,-0.00290180905671856,"model 1"
"28","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-07-27,68,19653431,67.4983763381845,52,84,0.501623661815458,0.345995566880918,0.343443220362819,0.264584845261878,0.427406288499957,0.00255234651809884,"model 1"
"29","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-03,69,19653431,67.5368145381606,52,84,1.46318546183943,0.351083736982108,0.34363880046268,0.264584845261878,0.427406288499957,0.00744493651942722,"model 1"
"30","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-10,69,19653431,67.6857850806758,52,84,1.31421491932417,0.351083736982108,0.344396787923065,0.264584845261878,0.427406288499957,0.00668694905904303,"model 1"
"31","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-17,67,19653431,67.9443878040886,52,84,-0.944387804088649,0.340907396779728,0.34571260256842,0.264584845261878,0.427406288499957,-0.00480520578869231,"model 1"
"32","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-24,70,19653431,68.3106425889857,52,85,1.68935741101431,0.356171907083298,0.347576169214351,0.264584845261878,0.432494458601147,0.00859573786894672,"model 1"
"33","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-31,70,19653431,68.7814648945348,53,86,1.21853510546521,0.356171907083298,0.349971793192419,0.269673015363068,0.437582628702337,0.00620011389087843,"model 1"
"34","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-09-07,72,19653431,69.3526335551544,54,87,2.64736644484557,0.366348247285677,0.352877996494121,0.274761185464258,0.442670798803527,0.0134702507915568,"model 1"
"35","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-09-14,72,19653431,70.0187543496577,54,87,1.98124565034226,0.366348247285677,0.356267332404493,0.274761185464258,0.442670798803527,0.0100809148811842,"model 1"
"36","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-09-21,74,19653431,70.773223919507,55,88,3.22677608049298,0.376524587488057,0.360106201912058,0.279849355565448,0.447758968904717,0.0164183855759993,"model 1"
"37","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-09-28,71,19653431,71.608199550452,56,89,-0.608199550452042,0.361260077184488,0.364354699952655,0.284937525666638,0.452847139005907,-0.00309462276816726,"model 1"
"38","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-10-05,74,19653431,72.5145810832981,56,90,1.48541891670187,0.376524587488057,0.368966523368353,0.284937525666638,0.457935309107097,0.00755806411970447,"model 1"
"39","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-10-12,73,19653431,73.4820117147106,57,91,-0.482011714710609,0.371436417386867,0.373888974982081,0.290025695767828,0.463023479208287,-0.00245255759521383,"model 1"
"40","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-10-19,77,19653431,74.4989046108316,58,92,2.5010953891684,0.391789097791627,0.379063099012237,0.295113865869018,0.468111649309477,0.0127259987793907,"model 1"
"41","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-10-26,80,19653431,75.5525020081293,59,93,4.44749799187073,0.407053608095197,0.384423981787858,0.300202035970208,0.473199819410667,0.0226296263073391,"model 1"
"42","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-11-02,83,19653431,76.628972749979,60,94,6.37102725002102,0.422318118398767,0.389901248031344,0.305290206071398,0.478287989511857,0.0324168703674235,"model 1"
"43","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-11-09,84,19653431,77.7135529575985,61,95,6.28644704240153,0.427406288499957,0.395419776616096,0.310378376172588,0.483376159613047,0.0319865118838616,"model 1"
"44","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-11-16,84,19653431,78.7907327469945,62,97,5.20926725300555,0.427406288499957,0.400900650614106,0.315466546273778,0.493552499815427,0.0265056378858508,"model 1"
