"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-01-19,1167,38586706,1165.07410445073,1078,1256,1.92589554927304,3.02435766349167,3.01936657783312,2.79370827870096,3.25500704828238,0.00499108565855048,"model 1"
"2","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-01-26,1148,38586706,1167.58063029086,1077,1257,-19.5806302908552,2.97511790718803,3.02586240528242,2.79111671257972,3.25759861440362,-0.0507444980943831,"model 1"
"3","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-02,1121,38586706,1168.03132801972,1080,1259,-47.0313280197174,2.90514562191445,3.02703041824746,2.79889141094345,3.26278174664611,-0.12188479633301,"model 1"
"4","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-09,1113,38586706,1166.4149371495,1078,1258,-53.4149371494968,2.8844130929445,3.02284143442951,2.79370827870096,3.26019018052487,-0.13842834148501,"model 1"
"5","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-16,1104,38586706,1162.76101180213,1075,1255,-58.7610118021348,2.8610889978533,3.01337204528973,2.78593358033723,3.25241548216114,-0.152283047436428,"model 1"
"6","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-23,1094,38586706,1157.13897037761,1069,1247,-63.1389703776138,2.83517333664086,2.99880215320171,2.77038418360976,3.23168295319118,-0.163628816560848,"model 1"
"7","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-02,1079,38586706,1149.65588606412,1064,1239,-70.6558860641157,2.7962998448222,2.97940924541244,2.75742635300354,3.21095042422123,-0.183109400590234,"model 1"
"8","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-09,1084,38586706,1140.45314063152,1054,1231,-56.4531406315225,2.80925767542842,2.9555597221269,2.73151069179111,3.19021789525128,-0.146302046698473,"model 1"
"9","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-16,1070,38586706,1129.70212317381,1044,1218,-59.7021231738115,2.77297574973101,2.92769774951459,2.70559503057867,3.15652753567511,-0.154721999783582,"model 1"
"10","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-23,1085,38586706,1117.59920000322,1033,1207,-32.5992000032218,2.81184924154967,2.89633222385767,2.67708780324498,3.12802030834143,-0.0844829823080046,"model 1"
"11","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-30,1075,38586706,1104.36020879463,1017.975,1192,-29.3602087946306,2.78593358033723,2.86202250276204,2.63814952227329,3.08914681652277,-0.0760889224248128,"model 1"
"12","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-06,1057,38586706,1090.21473821766,1007,1178,-33.2147382176565,2.73928539015484,2.8253635804457,2.60970708409264,3.05286489082535,-0.0860781902908648,"model 1"
"13","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-13,1051,38586706,1075.40044439867,993,1160,-24.4004443986678,2.72373599342737,2.78697135847426,2.57342515839523,3.00621670064296,-0.0632353650468837,"model 1"
"14","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-20,1053,38586706,1060.15762994907,979,1144,-7.15762994906754,2.72891912566986,2.74746859695427,2.53714323269781,2.96475164270306,-0.0185494712844044,"model 1"
"15","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-27,1026,38586706,1044.72427350069,964,1129,-18.7242735006887,2.65894684039628,2.70747203324557,2.49826974087915,2.9258781508844,-0.0485251928492904,"model 1"
"16","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-04,1013,38586706,1029.3316519165,950,1113,-16.3316519164987,2.6252564808201,2.66758103663085,2.46198781518174,2.8844130929445,-0.0423245558107465,"model 1"
"17","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-11,1010,38586706,1014.20064797625,934,1096,-4.20064797624923,2.61748178245637,2.62836803943889,2.42052275724183,2.84035646888335,-0.0108862569825194,"model 1"
"18","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-18,987,38586706,999.538787456295,920,1081,-12.5387874562946,2.55787576166776,2.59037085844097,2.38424083154442,2.80148297706469,-0.0324950967732114,"model 1"
"19","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-25,969,38586706,985.538004555841,907,1066,-16.5380045558406,2.51122757148537,2.55408690380527,2.35055047196825,2.76260948524603,-0.0428593323198944,"model 1"
"20","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-01,961,38586706,972.373096114418,895,1052,-11.3730961144181,2.49049504251542,2.5199691730992,2.31945167851332,2.72632755954862,-0.029474130583777,"model 1"
"21","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-08,954,38586706,960.200794600531,881,1039,-6.20079460053091,2.47235407966671,2.48842384887824,2.28316975281591,2.69263719997245,-0.0160697692115282,"model 1"
"22","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-15,961,38586706,949.159368091469,870,1028,11.8406319085306,2.49049504251542,2.45980926200715,2.25466252548222,2.66412997263876,0.0306857805082677,"model 1"
"23","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-22,958,38586706,939.368642285338,863,1017,18.6313577146619,2.48272034415169,2.43443594870559,2.23652156263351,2.63562274530508,0.0482843954460946,"model 1"
"24","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-29,955,38586706,930.930334268743,856,1010,24.069665731257,2.47494564578796,2.41256751552916,2.21838059978481,2.61748178245637,0.0623781302587918,"model 1"
"25","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-07-06,948,38586706,923.928589204536,848,1000,24.0714107954644,2.45680468293925,2.39442203023118,2.19764807081486,2.59156612124393,0.0623826527080711,"model 1"
"26","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-07-13,950,38586706,918.430618018437,844.975,997,31.5693819815625,2.46198781518174,2.38017367436971,2.18980858329809,2.5837914228802,0.0818141408120261,"model 1"
"27","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-07-20,925,38586706,914.487345255915,839,992,10.5126547440852,2.39719866215064,2.36995442227153,2.17432397572366,2.57083359227398,0.0272442398791056,"model 1"
"28","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-07-27,931,38586706,912.133990370986,839,990,18.8660096290145,2.4127480588781,2.36385554748049,2.17432397572366,2.56565046003149,0.0488925113976157,"model 1"
"29","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-03,929,38586706,911.39052181032,836,988,17.6094781896804,2.40756492663561,2.36192879954645,2.16654927735993,2.56046732778901,0.0456361270891598,"model 1"
"30","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-10,917,38586706,912.261940607346,838,987,4.73805939265435,2.37646613318069,2.36418713897824,2.17173240960242,2.55787576166776,0.0122789942024446,"model 1"
"31","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-17,923,38586706,914.738368255068,839.975,992,8.26163174493195,2.39201552990815,2.37060496497179,2.17685075269187,2.57083359227398,0.021410564936359,"model 1"
"32","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-24,937,38586706,918.794932010063,845,995,18.2050679899365,2.42829745560557,2.3811178181679,2.18987337245112,2.57860829063771,0.0471796374376619,"model 1"
"33","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-08-31,938,38586706,924.391459228772,851,1001,13.6085407712278,2.43088902172681,2.39562158850453,2.20542276917859,2.59415768736518,0.0352674332222808,"model 1"
"34","California","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-09-07,937,38586706,931.472010617932,857,1009,5.52798938206763,2.42829745560557,2.4139713056044,2.22097216590605,2.61489021633513,0.0143261500011627,"model 1"
