"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-19,7876,318386329,7727.20099152795,7367.975,8091,148.799008472052,2.47372430365878,2.42698894007096,2.31416186214453,2.54125232870787,0.0467353635878167,"model 1"
"2","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-26,7756,318386329,7732.37231491706,7375,8100.025,23.6276850829445,2.43603424316626,2.42861316916564,2.31636830110253,2.54408693534074,0.00742107400061907,"model 1"
"3","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-02,7714,318386329,7726.5991197742,7359,8093,-12.5991197741978,2.42284272199388,2.4267999018809,2.31134295970352,2.54188049638275,-0.00395717988701638,"model 1"
"4","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-09,7631,318386329,7709.97237899509,7344,8079,-78.9723789950895,2.39677376348656,2.42157771133292,2.30663170214196,2.53748332265862,-0.0248039478463566,"model 1"
"5","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-16,7534,318386329,7682.78503352315,7326,8048.025,-148.785033523147,2.36630763125511,2.41303860553735,2.30097819306808,2.52775457579399,-0.0467309742822365,"model 1"
"6","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-23,7461,318386329,7645.52353240714,7292.975,8010,-184.523532407145,2.34337951112216,2.40133537027815,2.29060557433671,2.51581153787542,-0.057955859155983,"model 1"
"7","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-02,7345,318386329,7598.85399006368,7249,7957,-253.853990063678,2.3069457859794,2.38667722132745,2.27679373758538,2.49916509449123,-0.0797314353480541,"model 1"
"8","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-09,7289,318386329,7543.60364495222,7194.975,7890,-254.603644952216,2.28935709108289,2.36932398091509,2.25982535826782,2.47812147738291,-0.0799668898322001,"model 1"
"9","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-16,7264,318386329,7480.73851206267,7131,7834,-216.738512062666,2.28150499514695,2.34957905873611,2.23973184476774,2.4605327824864,-0.0680740635891643,"model 1"
"10","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-23,7225,318386329,7411.33826501333,7052,7767.025,-186.338265013326,2.26925572548688,2.32778156282374,2.21491922161017,2.43949701747401,-0.0585258373368557,"model 1"
"11","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-30,7172,318386329,7336.56945483621,6987.975,7696.05,-164.56945483621,2.25260928210269,2.30429788800266,2.19481000391823,2.41720491711188,-0.0516886058999756,"model 1"
"12","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-06,7122,318386329,7257.6581710397,6920.975,7610.025,-135.658171039697,2.23690509023081,2.27951312917072,2.17376638680991,2.39018585499631,-0.0426080389399184,"model 1"
"13","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-13,7074,318386329,7175.86318189789,6833,7527.025,-101.86318189789,2.2218290660338,2.2538226450979,2.14613486121133,2.36411689648898,-0.0319935790640967,"model 1"
"14","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-20,7033,318386329,7092.45046588121,6752.975,7437,-59.4504658812139,2.20895162869886,2.22762405916028,2.12100030212038,2.33584149902366,-0.0186724304614266,"model 1"
"15","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-27,6960,318386329,7008.66987907125,6684,7340,-48.6698790712544,2.18602350856591,2.20130993095223,2.09933636943312,2.30537536679221,-0.015286422386325,"model 1"
"16","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-04,6876,318386329,6925.73451046338,6599,7261.025,-49.7345104633823,2.15964046622115,2.17526127212057,2.07263924325092,2.28057059573057,-0.0156208058994211,"model 1"
"17","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-11,6808,318386329,6844.80307449986,6513.975,7170,-36.8030744998632,2.13828276527539,2.14984201614381,2.04593426497279,2.25198111442781,-0.01155925086842,"model 1"
"18","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-18,6741,318386329,6766.96549281197,6449,7095,-25.9654928119671,2.11723914816707,2.12539448979041,2.02552666763528,2.22842482661999,-0.00815534162334185,"model 1"
"19","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-25,6641,318386329,6693.23163726667,6375.975,7019,-52.2316372666728,2.08583076442331,2.10223587749167,2.0025906954064,2.20455445497473,-0.016405113068367,"model 1"
"20","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-01,6584,318386329,6624.52305309844,6317,6950,-40.5230530984445,2.06792798568936,2.08065562171121,1.98406760109351,2.18288267019153,-0.0127276360218483,"model 1"
"21","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-08,6541,318386329,6561.66735984663,6246,6883,-20.6673598466286,2.05442238067954,2.06091366436988,1.96176764863544,2.16183905308321,-0.00649128369033353,"model 1"
"22","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-15,6531,318386329,6505.39494148226,6196,6824.025,25.6050585177372,2.05128154230517,2.0432394072681,1.94606345676356,2.14331595877033,0.008042135037066,"model 1"
"23","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-22,6505,318386329,6456.33748520849,6141,6780.025,48.6625147915056,2.04311536253179,2.02783125314671,1.92878884570449,2.12949626992307,0.0152841093850815,"model 1"
"24","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-29,6486,318386329,6415.02790856134,6112.975,6736.025,70.972091438658,2.03714776962047,2.01485658279044,1.9199866461603,2.11567658107582,0.0222911868300281,"model 1"
"25","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-06,6455,318386329,6381.90122281631,6084,6696,73.0987771836853,2.02741117065991,2.00445202621006,1.91088606697055,2.10310537548238,0.0229591444498502,"model 1"
"26","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-13,6433,318386329,6357.29591276831,6046,6664,75.7040872316929,2.02050132623628,1.99672389600884,1.89895088114791,2.09305469268437,0.0237774302274433,"model 1"
"27","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-20,6363,318386329,6341.45546395776,6036,6652,21.5445360422373,1.99851545761564,1.99174866705968,1.89581004277354,2.08928568663512,0.00676679055595923,"model 1"
"28","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-27,6294,318386329,6334.52973385799,6027,6643.025,-40.5297338579858,1.97684367283245,1.98957340717289,1.8929832882366,2.08646678419412,-0.012729734340442,"model 1"
"29","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-03,6291,318386329,6336.57593938078,6041,6651,-45.5759393807757,1.97590142132013,1.99021608725567,1.89738046196073,2.08897160279768,-0.0143146659355389,"model 1"
"30","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-10,6269,318386329,6347.55911584556,6046,6658,-78.5591158455609,1.96899157689651,1.99366572546699,1.89895088114791,2.09117018965975,-0.0246741485704811,"model 1"
"31","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-17,6284,318386329,6367.35198935813,6063,6680.025,-83.3519893581251,1.97370283445807,1.99988234713373,1.90429030638435,2.09808788617931,-0.0261795126756605,"model 1"
"32","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-24,6283,318386329,6395.73429281438,6086,6716,-112.734292814384,1.97338875062063,2.00879676991859,1.91151423464542,2.10938705223113,-0.0354080192979594,"model 1"
"33","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-31,6331,318386329,6432.39164309781,6128,6746,-101.391643097809,1.98846477481764,2.02031025116591,1.9247057558178,2.11880956735426,-0.0318454763482665,"model 1"
"34","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-07,6363,318386329,6476.91418101721,6176,6788,-113.914181017205,1.99851545761564,2.03429406072809,1.93978178001481,2.13200108852664,-0.0357786031124487,"model 1"
"35","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-14,6450,318386329,6528.79525336681,6224,6845,-78.7952533668094,2.02584075147272,2.05058906702204,1.95485780421181,2.14990386726058,-0.0247483155493179,"model 1"
"36","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-21,6518,318386329,6587.43048493529,6267,6901,-69.4304849352893,2.04719845241848,2.06900544556211,1.96836340922163,2.16749256215709,-0.0218069931436313,"model 1"
"37","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-28,6647,318386329,6652.11764353784,6340,6975.025,-5.11764353783747,2.08771526744793,2.08932263656893,1.99129152935458,2.19074261822341,-0.00160736912100188,"model 1"
"38","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-10-05,6697,318386329,6722.0577388747,6407,7049,-25.0577388746988,2.10341945931981,2.11128969010309,2.0123351464629,2.21397697009786,-0.00787023078327549,"model 1"
"39","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-10-12,6720,318386329,6796.35781159995,6475,7123,-76.3578115999499,2.11064338758088,2.13462614206653,2.03369284740866,2.23721917406824,-0.0239827544856519,"model 1"
"40","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-10-19,6807,318386329,6874.03585782726,6547.975,7205,-67.0358578272635,2.13796868143795,2.15902356091026,2.05661311544567,2.26297404873813,-0.0210548794723104,"model 1"
"41","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-10-26,6850,318386329,6954.0282923848,6628,7284,-104.028292384796,2.15147428644777,2.18414789172207,2.08174767453662,2.2877866718957,-0.0326736052743007,"model 1"
"42","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-11-02,6929,318386329,7035.20027862167,6702,7369.025,-106.200278621668,2.17628690960534,2.20964270065178,2.104989878507,2.31449165017384,-0.0333557910464391,"model 1"
"43","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-11-09,7064,318386329,7116.35914251943,6783,7455,-52.3591425194254,2.21868822765942,2.23513338806687,2.13043066933945,2.34149500809754,-0.0164451604074449,"model 1"
"44","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-11-16,7207,318386329,7196.27094586434,6864.95,7548.025,10.7290541356588,2.263602216413,2.260232393918,2.15616983981746,2.37071265707517,0.00336982249500379,"model 1"
"45","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-11-23,7282,318386329,7273.68012196057,6936.975,7623,8.31987803943139,2.28715850422083,2.28454536499919,2.17879172820891,2.39426109278706,0.00261313922163768,"model 1"
"46","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-11-30,7429,318386329,7347.3318858197,7003,7698,81.6681141802992,2.33332882832416,2.30767819362612,2.19952911357573,2.41781738059488,0.025650634698043,"model 1"
"47","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-12-07,7581,318386329,7415.99693022865,7067,7770,165.003069771354,2.38106957161468,2.3292447742719,2.21963047917174,2.44043141689039,0.0518247973427759,"model 1"
"48","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-12-14,7802,318386329,7478.49772360213,7124,7844.025,323.502276397866,2.45048209968839,2.34887526329754,2.23753325790568,2.46368147295671,0.101606836390851,"model 1"
"49","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-12-21,8093,318386329,7533.73555087756,7181.975,7890.025,559.26444912244,2.54188049638275,2.36622457205993,2.25574226838113,2.47812932947884,0.175655924322819,"model 1"
"50","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-12-28,8306,318386329,7580.7173011185,7225,7949,725.282698881498,2.60878035375696,2.38098078046514,2.26925572548688,2.49665242379173,0.227799573291822,"model 1"
"51","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-01-04,8400,320738994,7674.87720854478,7323,8045,725.12279145522,2.61895190704502,2.39287313114937,2.28316485896317,2.50827001097347,0.226078775895649,"model 1"
"52","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-01-11,8369,320738994,7703.12189008995,7352.975,8074.025,665.878109910052,2.60928672738806,2.40167925764896,2.29251046413147,2.51731942515228,0.207607469739102,"model 1"
"53","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-01-18,8295,320738994,7720.92950435914,7374,8101.025,574.070495640864,2.58621500820695,2.40723131542875,2.2990656383988,2.52573748485349,0.178983692778204,"model 1"
"54","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-01-25,8093,320738994,7727.95178777029,7372,8102,365.048212229707,2.5232354504423,2.40942072287297,2.29844207842094,2.5260414703427,0.113814727569329,"model 1"
"55","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-02-01,7978,320738994,7724.04055461098,7363,8091.025,253.959445389021,2.4873807517149,2.40820127864184,2.29563605852053,2.52261968496415,0.0791794730730562,"model 1"
"56","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-02-08,7906,320738994,7709.25198465255,7353,8079,196.748015347451,2.46493259251165,2.40359049846385,2.29251825863119,2.51887053059722,0.061342094047801,"model 1"
"57","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-02-15,7905,320738994,7683.84498064377,7332.975,8052,221.155019356229,2.46462081252272,2.39566910303515,2.28627486435279,2.51045247089601,0.0689517094875682,"model 1"
"58","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-02-22,7798,320738994,7648.27367761036,7291,8015,149.726322389642,2.43126035370679,2.38457868256903,2.27318789931729,2.49891661130545,0.0466816711377606,"model 1"
"59","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-03-01,7727,320738994,7603.17448073904,7242.975,7968.025,123.825519260959,2.40912397449248,2.37051765546756,2.25821466534874,2.48427074632528,0.0386063190249201,"model 1"
"60","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-03-08,7600,320738994,7549.3482747546,7192,7907,50.6517252453968,2.36952791589787,2.35373572156138,2.24232168041283,2.46524437250059,0.0157921943364943,"model 1"
"61","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-03-15,7502,320738994,7487.73866558744,7134,7843,14.2613344125639,2.33897347698235,2.33452707829701,2.22423844105466,2.44529045320882,0.00444639868533225,"model 1"
"62","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-03-22,7371,320738994,7419.40727015615,7074,7774.025,-48.4072701561545,2.298130298432,2.31322271658561,2.20553164171862,2.4237854284721,-0.0150924181536076,"model 1"
"63","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-03-29,7294,320738994,7345.50715380944,6999.975,7699,-51.5071538094444,2.27412323928409,2.29018213912882,2.18245212803779,2.40039413480233,-0.0160588998447268,"model 1"
"64","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-04-05,7223,320738994,7267.25552561505,6935,7614,-44.2555256150499,2.25198686006978,2.26578484735631,2.16219422325681,2.37389283574295,-0.0137979872865255,"model 1"
"65","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-04-12,7149,320738994,7185.90674385613,6851,7532,-36.9067438561287,2.22891514088867,2.24042192507972,2.13600470418636,2.34832687665036,-0.0115067841910512,"model 1"
"66","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-04-19,7059,320738994,7102.72656777624,6765.975,7446,-43.7265677762407,2.20085494188462,2.21448801070201,2.10949561062725,2.32151379760205,-0.0136330688173951,"model 1"
"67","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-04-26,6990,320738994,7018.96843066578,6690.975,7367,-28.9684306657809,2.17934212264817,2.18837389964058,2.08611211145721,2.29688317847627,-0.00903177699241051,"model 1"
"68","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-05-03,6888,320738994,6935.85231978123,6606.975,7266,-47.8523197812328,2.14754056377691,2.16245995950877,2.05992259238676,2.26539339959394,-0.0149193957318557,"model 1"
"69","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-05-10,6828,320738994,6854.54664667557,6527,7190,-26.546646675567,2.12883376444088,2.13711047764762,2.03498798777176,2.24169812043496,-0.00827671320674124,"model 1"
"70","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-05-17,6775,320738994,6776.15329243388,6456,7109,-1.15329243388078,2.11230942502738,2.11266899852965,2.01285160855746,2.21644394133131,-0.000359573502272935,"model 1"
"71","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-05-24,6720,320738994,6701.69582882245,6395,7025,18.3041711775468,2.09516152563601,2.08945465134883,1.99383302923249,2.19025442226086,0.0057068742871803,"model 1"
"72","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-05-31,6638,320738994,6632.11075812135,6316,6955,5.88924187865086,2.06959556654343,2.06775941877568,1.9692024101067,2.16842982303549,0.00183614776775501,"model 1"
"73","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-06-07,6605,320738994,6568.24148768041,6254,6888,36.758512319594,2.05930682690861,2.04784625834438,1.9498720507928,2.14754056377691,0.0114605685642308,"model 1"
"74","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-06-14,6561,320738994,6510.83466300161,6197.975,6825,50.1653369983896,2.04558850739552,2.02994795918129,1.93240457691278,2.12789842447408,0.0156405482142248,"model 1"
"75","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-06-21,6527,320738994,6460.53842554913,6148.975,6780,66.4615744508719,2.03498798777176,2.01426659882494,1.91712735745502,2.11386832497205,0.0207213889468244,"model 1"
"76","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-06-28,6521,320738994,6417.90213643605,6105,6731.025,103.097863563946,2.03311730783816,2.00097345707708,1.90341683244165,2.09859890001401,0.0321438507610789,"model 1"
"77","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-07-05,6521,320738994,6383.37711102166,6068,6691,137.62288897834,2.03311730783816,1.99020924503544,1.89188097285109,2.08611990595693,0.0429080628027223,"model 1"
"78","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-07-12,6535,320738994,6357.3179378082,6058,6670,177.682062191799,2.03748222768324,1.98208451629932,1.88876317296175,2.07957252618932,0.0553977113839169,"model 1"
"79","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2015-07-19,6504,320738994,6339.98400311334,6040.975,6654,164.015996886656,2.02781704802628,1.97668014233197,1.88345511865015,2.07458404636637,0.0511369056943093,"model 1"
