"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-19,672,19653431,650.447493179292,600,702,21.5525068207082,3.41925030799966,3.30958748718884,3.05290206071398,3.57189541103536,0.10966282081082,"model 1"
"2","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-26,663,19653431,650.615492162611,601,703,12.3845078373895,3.37345677708895,3.31044229459279,3.05799023081517,3.57698358113655,0.063014482496158,"model 1"
"3","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-02,658,19653431,649.69118024851,599,701,8.30881975148975,3.348015926583,3.30573923834729,3.04781389061279,3.56680724093417,0.0422766882357068,"model 1"
"4","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-09,649,19653431,647.692277205898,598,699,1.30772279410246,3.30222239567229,3.29556847965069,3.0427257205116,3.55663090073179,0.00665391602159674,"model 1"
"5","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-16,634,19653431,644.657215615763,595,694,-10.6572156157628,3.22589984415444,3.2801255700125,3.02746121020803,3.53119005022584,-0.0542257258580589,"model 1"
"6","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-23,624,19653431,640.643949212281,592,691,-16.643949212281,3.17501814314254,3.25970538789019,3.01219669990446,3.51592553992227,-0.0846872447476523,"model 1"
"7","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-02,617,19653431,635.728189405382,586,686,-18.7281894053823,3.13940095243421,3.2346931658161,2.98166767929732,3.49048468941632,-0.0952922133818889,"model 1"
"8","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-09,612,19653431,630.001163339744,581,680,-18.0011633397439,3.11396010192826,3.20555308302018,2.95622682879137,3.45995566880918,-0.0915929810919219,"model 1"
"9","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-16,612,19653431,623.567008327689,575,675,-11.5670083276892,3.11396010192826,3.17281500786142,2.92569780818423,3.43451481830323,-0.0588549059331636,"model 1"
"10","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-23,616,19653431,616.539930230261,567,667,-0.539930230260779,3.13431278233302,3.13706003918736,2.88499244737471,3.39380945749371,-0.00274725685434151,"model 1"
"11","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-30,619,19653431,609.041256873,560,659,9.95874312699971,3.14957729263659,3.09890551361236,2.84937525666638,3.35310409668419,0.050671779024231,"model 1"
"12","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-06,609,19653431,601.196512271471,554,650,7.80348772852858,3.09869559162469,3.05899011867939,2.81884623605924,3.30731056577348,0.0397054729453019,"model 1"
"13","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-13,609,19653431,593.13262446957,545,642,15.8673755304299,3.09869559162469,3.0179596858664,2.77305270514853,3.26660520496396,0.0807359057582864,"model 1"
