"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-19,4436,318386329,4301.04321328392,4091,4514,134.956786716079,1.39327590287333,1.35088815741329,1.28491697895735,1.41777444219347,0.0423877454600378,"model 1"
"2","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-26,4372,318386329,4310.26734106168,4099,4523,61.7326589383229,1.37317453727732,1.35378530686274,1.28742964965685,1.4206011967304,0.0193892304145769,"model 1"
"3","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-02,4294,318386329,4312.85458017644,4101,4521,-18.8545801764394,1.34867599795719,1.35459791685228,1.28805781733172,1.41997302905553,-0.00592191889509157,"model 1"
"4","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-09,4259,318386329,4308.78159090392,4097,4518,-49.7815909039218,1.33768306364687,1.35331865675172,1.28680148198197,1.41903077754322,-0.015635593104854,"model 1"
"5","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-16,4237,318386329,4298.15208010101,4086,4511,-61.1520801010147,1.33077321922324,1.34998009920866,1.28334655977016,1.41683219068115,-0.0192068799854201,"model 1"
"6","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-23,4195,318386329,4281.19368741113,4075,4495,-86.1936874111325,1.31758169805086,1.34465374215585,1.27989163755835,1.41180684928215,-0.0270720441049881,"model 1"
"7","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-02,4132,318386329,4258.25120650148,4051,4468,-126.251206501481,1.29779441629229,1.33744787971141,1.27235362545984,1.40332658567133,-0.0396534634191158,"model 1"
"8","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-09,4096,318386329,4229.77649742204,4021,4439,-133.776497422044,1.28648739814454,1.32850443381382,1.26293111033671,1.39421815438564,-0.042017035669281,"model 1"
"9","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-16,4062,318386329,4196.31560707644,3997,4400,-134.315607076435,1.27580854767166,1.31799490896999,1.25539309823821,1.38196888472558,-0.0421863612983318,"model 1"
"10","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-23,4004,318386329,4158.49373601914,3956,4365,-154.493736019137,1.25759168510027,1.30611567056924,1.24251566090327,1.37097595041526,-0.0485239854689669,"model 1"
