"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-19,202,19653431,199.423391785024,171,228,2.57660821497629,1.02781036044037,1.01470013955845,0.870077087303484,1.16010278307131,0.0131102208819228,"model 1"
"2","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-26,199,19653431,199.791947991098,172,228,-0.791947991097942,1.0125458501368,1.01657541622681,0.875165257404674,1.16010278307131,-0.00402956609000201,"model 1"
"3","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-02,194,19653431,199.843786168854,172,228,-5.843786168854,0.987104999630853,1.01683917769296,0.875165257404674,1.16010278307131,-0.0297341780621104,"model 1"
"4","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-09,195,19653431,199.578356207806,173,227,-4.57835620780605,0.992193169732043,1.0154886249012,0.880253427505864,1.15501461297012,-0.0232954551691562,"model 1"
"5","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-16,195,19653431,199.00119854068,172,227,-4.00119854067972,0.992193169732043,1.01255194851565,0.875165257404674,1.15501461297012,-0.0203587787836115,"model 1"
"6","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-23,199,19653431,198.123775228544,171,226,0.876224771455952,1.0125458501368,1.00808746945276,0.870077087303484,1.14992644286893,0.00445838068404419,"model 1"
"7","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-02,198,19653431,196.963124160133,170,225,1.03687583986712,1.00745768003561,1.00218187938856,0.864988917202294,1.14483827276774,0.00527580064705812,"model 1"
"8","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-09,201,19653431,195.541354647319,169,224,5.45864535268055,1.02272219033918,0.994947674262674,0.859900747101104,1.13975010266655,0.0277745160765087,"model 1"
"9","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-16,202,19653431,193.885010457141,166,221,8.11498954285915,1.02781036044037,0.986519913276928,0.844636236797534,1.12448559236298,0.0412904471634451,"model 1"
"10","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-23,204,19653431,192.024332067673,165,220,11.9756679323273,1.03798670064275,0.977052465127706,0.839548066696344,1.11939742226179,0.0609342355150471,"model 1"
"11","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-30,198,19653431,189.992453316687,163,218,8.00754668331294,1.00745768003561,0.966713920417697,0.829371726493964,1.10922108205941,0.0407437596179158,"model 1"
"12","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-06,198,19653431,187.824568509737,161,215,10.1754314902626,1.00745768003561,0.955683353760152,0.819195386291584,1.09395657175584,0.0517743262754611,"model 1"
"13","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-13,193,19653431,185.557104580591,159.975,213,7.44289541940873,0.982016829529663,0.944146111590344,0.813980011937865,1.08378023155346,0.0378707179393192,"model 1"
"14","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-20,192,19653431,183.22692936396,157,210,8.7730706360399,0.976928659428473,0.932289783722547,0.798842705886825,1.06851572124989,0.0446388757059259,"model 1"
"15","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-27,187,19653431,180.87062190916,155,208,6.12937809083971,0.951487808922523,0.920300490581824,0.788666365684445,1.05833938104751,0.0311873183406994,"model 1"
"16","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-04,185,19653431,178.523824579888,153,205,6.47617542011182,0.941311468720144,0.908359586577469,0.778490025482065,1.04307487074394,0.0329518821426743,"model 1"
"17","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-11,182,19653431,176.220690017017,150,203,5.77930998298294,0.926046958416574,0.896640846155651,0.763225515178495,1.03289853054156,0.0294061122609225,"model 1"
"18","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-18,182,19653431,173.993429418751,148,200,8.00657058124898,0.926046958416574,0.885308165371996,0.753049174976115,1.01763402023799,0.0407387930445782,"model 1"
"19","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-25,181,19653431,171.871962464531,146,199,9.12803753546879,0.920958788315384,0.874513780644872,0.742872834773735,1.0125458501368,0.046445007670512,"model 1"
"20","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-01,177,19653431,169.88366391515,145,196,7.11633608484951,0.900606107910624,0.864396979413673,0.737784664672545,0.997281339833233,0.0362091284969505,"model 1"
"21","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-08,175,19653431,168.053197680083,143,194,6.94680231991717,0.890429767708244,0.855083255845164,0.727608324470165,0.987104999630853,0.0353465118630796,"model 1"
"22","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-15,173,19653431,166.402426055749,141.975,193,6.59757394425051,0.880253427505864,0.846683849022339,0.722392950116445,0.982016829529663,0.0335695784835254,"model 1"
"23","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-22,167,19653431,164.950379905789,141,191,2.04962009421072,0.849724406898724,0.839295591216563,0.717431984267785,0.971840489327283,0.0104288156821612,"model 1"
"24","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-29,164,19653431,163.713274698251,139,189,0.28672530174947,0.834459896595154,0.833000989487538,0.707255644065405,0.961664149124903,0.00145890710761633,"model 1"
"25","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-07-06,163,19653431,162.704557404303,138,188,0.295442595696954,0.829371726493964,0.827868464311921,0.702167473964215,0.956575979023713,0.0015032621820432,"model 1"
