"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-01-19,1109,318386329,1091.88920272538,1027,1159,17.1107972746158,0.348318975718332,0.342944750848704,0.322564101048447,0.364023167590214,0.00537422486962869,"model 1"
"2","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-01-26,1094,318386329,1093.56853634544,1028,1160,0.4314636545555,0.343607718156768,0.34347220239643,0.322878184885884,0.364337251427652,0.000135515760337656,"model 1"
"3","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-02,1073,318386329,1093.55462142261,1029,1160.025,-20.5546214226081,0.337011957570578,0.343467831944068,0.323192268723322,0.364345103523587,-0.00645587437349048,"model 1"
"4","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-09,1070,318386329,1091.85202434333,1027.975,1157,-21.8520243433279,0.336069706058265,0.342933073719798,0.322870332789948,0.363394999915339,-0.00686336766153295,"model 1"
"5","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-16,1077,318386329,1088.49748690738,1024,1155,-11.4974869073774,0.338268292920328,0.341879467729086,0.321621849536134,0.362766832240463,-0.003611174808758,"model 1"
"6","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-23,1070,318386329,1083.55882203375,1019,1150,-13.5588220337538,0.336069706058265,0.34032831291376,0.320051430348946,0.361196413053275,-0.0042586068554953,"model 1"
"7","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-02,1060,318386329,1077.13289994728,1012,1142,-17.1328999472782,0.332928867683889,0.338310034645765,0.317852843486882,0.358683742353774,-0.00538116696187613,"model 1"
"8","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-09,1045,318386329,1069.34282978451,1005,1134,-24.3428297845073,0.328217610122324,0.335863299515133,0.315654256624819,0.356171071654273,-0.00764568939280911,"model 1"
"9","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-16,1035,318386329,1060.33447964675,996,1125,-25.3344796467532,0.325076771747948,0.333033922334886,0.31282750208788,0.353344317117334,-0.00795715058693778,"model 1"
"10","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-23,1004,318386329,1050.27250535021,987,1116,-46.2725053502113,0.315340172787381,0.329873618835629,0.310000747550941,0.350517562580396,-0.0145334460482477,"model 1"
"11","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-30,983,318386329,1039.33607292224,977,1104,-56.3360729222429,0.308744412201191,0.326438662170775,0.306859909176565,0.346748556531144,-0.0176942499695843,"model 1"
"12","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-06,962,318386329,1027.71446191983,966,1091,-65.7144619198311,0.302148651615001,0.32278850198993,0.303404986964751,0.342665466644455,-0.0206398503749296,"model 1"
"13","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-13,962,318386329,1015.60272670793,952,1080,-53.6027267079329,0.302148651615001,0.318984401716549,0.299007813240624,0.339210544432641,-0.0168357501015481,"model 1"
"14","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-20,946,318386329,1003.19757271103,941,1066,-57.197572711027,0.297123310215999,0.315088143345196,0.29555289102881,0.334813370708514,-0.0179648331291973,"model 1"
"15","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-27,947,318386329,990.693576815834,930,1055,-43.6935768158341,0.297437394053436,0.311160840331129,0.292097968816997,0.3313584484967,-0.0137234462776931,"model 1"
"16","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-04,954,318386329,978.279848402493,917,1041,-24.2798484024926,0.2996359809155,0.307261888874158,0.288014878930307,0.326961274772574,-0.0076259079586588,"model 1"
"17","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-11,943,318386329,966.137192809325,906,1029,-23.1371928093253,0.296181058703686,0.303448077008773,0.284559956718493,0.323192268723322,-0.00726701830508723,"model 1"
"18","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-18,928,318386329,954.435805050134,893,1015,-26.4358050501337,0.291469801142121,0.29977286023802,0.280476866831804,0.318795094999195,-0.00830305909589909,"model 1"
"19","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-25,925,318386329,943.333490514178,882,1005,-18.3334905141785,0.290527549629808,0.296285802684128,0.27702194461999,0.315654256624819,-0.00575825305431958,"model 1"
"20","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-01,923,318386329,932.974382823816,873,994,-9.97438282381574,0.289899381954933,0.293032174388309,0.274195190083052,0.312199334413005,-0.00313279243337604,"model 1"
"21","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-08,898,318386329,923.488108023866,865,984,-25.4881080238657,0.282047286018992,0.290052688796153,0.271682519383551,0.309058496038629,-0.00800540277716061,"model 1"
"22","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-15,891,318386329,914.989329265197,856,975.025,-23.9893292651973,0.279848699156929,0.287383359750097,0.268855764846612,0.306239593597626,-0.00753466059316802,"model 1"
"23","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-22,899,318386329,907.577597059692,849,966,-8.5775970596917,0.28236136985643,0.285055454456932,0.266657177984548,0.303404986964751,-0.00269408460050171,"model 1"
"24","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-29,892,318386329,901.33742658169,843,961,-9.33742658169035,0.280162782994367,0.283095517766936,0.264772674959923,0.301834567777563,-0.00293273477256944,"model 1"
"25","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-06,879,318386329,896.338524680479,838,956,-17.3385246804793,0.276079693107677,0.281525443474829,0.263202255772734,0.300264148590375,-0.005445750367152,"model 1"
"26","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-13,884,318386329,892.636094432636,834,953,-8.63609443263567,0.277650112294866,0.280362569974742,0.261945920422984,0.299321897078062,-0.00271245767987597,"model 1"
"27","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-20,894,318386329,890.271153364933,831,950,3.7288466350667,0.280790950669242,0.279619780208884,0.261003668910671,0.298379645565749,0.00117117046035815,"model 1"
"28","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-27,895,318386329,889.270812137478,831,949,5.72918786252171,0.281105034506679,0.279305589197418,0.261003668910671,0.298065561728312,0.00179944530926192,"model 1"
"29","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-08-03,900,318386329,889.648472815858,831,948.025,10.351527184142,0.282675453693868,0.279424206312532,0.261003668910671,0.29775932998681,0.00325124738133528,"model 1"
"30","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-08-10,899,318386329,891.403919324001,832,951,7.59608067599891,0.28236136985643,0.279975563688226,0.261317752748109,0.298693729403187,0.00238580616820357,"model 1"
