"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-01-19,47,19653431,48.8960959105824,35,63,-1.8960959105824,0.239143994755928,0.248791653277142,0.178085953541649,0.320554716374968,-0.00964765852121395,"model 1"
"2","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-01-26,46,19653431,48.9741729923986,36,63,-2.9741729923986,0.234055824654738,0.249188922750428,0.183174123642839,0.320554716374968,-0.0151330980956892,"model 1"
"3","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-02,46,19653431,48.9719818138691,36,63,-2.97198181386907,0.234055824654738,0.249177773661347,0.183174123642839,0.320554716374968,-0.0151219490066089,"model 1"
"4","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-09,47,19653431,48.8899716232666,36,63,-1.88997162326662,0.239143994755928,0.248760491861531,0.183174123642839,0.320554716374968,-0.00961649710560267,"model 1"
"5","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-16,51,19653431,48.7301318872289,35.975,63,2.26986811277111,0.259496675160688,0.247947200095642,0.183046919390309,0.320554716374968,0.0115494750650464,"model 1"
"6","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-23,54,19653431,48.4959310938206,35,63,5.50406890617943,0.274761185464258,0.246755546620947,0.178085953541649,0.320554716374968,0.0280056388433116,"model 1"
"7","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-02,55,19653431,48.1922114959455,35,62,6.80778850405449,0.279849355565448,0.245210169643893,0.178085953541649,0.315466546273778,0.0346391859215548,"model 1"
"8","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-09,56,19653431,47.8250454223042,34,62,8.17495457769581,0.284937525666638,0.24334196620582,0.172997783440459,0.315466546273778,0.0415955594608179,"model 1"
"9","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-16,55,19653431,47.401560612188,34,62,7.59843938781204,0.279849355565448,0.241187203456679,0.172997783440459,0.315466546273778,0.0386621521087694,"model 1"
"10","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-23,52,19653431,46.9297432835179,34,61,5.07025671648207,0.264584845261878,0.238786516631717,0.172997783440459,0.310378376172588,0.0257983286301617,"model 1"
"11","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-30,48,19653431,46.4182282529717,33,60,1.58177174702831,0.244232164857118,0.236183841146982,0.167909613339269,0.305290206071398,0.00804832371013648,"model 1"
"12","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-06,46,19653431,45.8760853882047,33,60,0.123914611795328,0.234055824654738,0.233425326031901,0.167909613339269,0.305290206071398,0.000630498622837551,"model 1"
"13","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-13,43,19653431,45.3126110392689,33,59,-2.31261103926893,0.218791314351169,0.230558272696859,0.167909613339269,0.300202035970208,-0.01176695834569,"model 1"
"14","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-20,45,19653431,44.737131971279,32,58,0.262868028721023,0.228967654553548,0.227630137309251,0.162821443238079,0.295113865869018,0.00133751724429705,"model 1"
"15","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-27,44,19653431,44.1588278373674,32,58,-0.158827837367397,0.223879484452358,0.224687627505688,0.162821443238079,0.295113865869018,-0.000808143053329453,"model 1"
"16","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-04,45,19653431,43.5865765391155,31,57,1.41342346088448,0.228967654553548,0.221775915559556,0.157733273136889,0.290025695767828,0.00719173899399286,"model 1"
"17","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-11,44,19653431,43.0288250682016,31,56.0249999999996,0.971174931798352,0.223879484452358,0.218937981201357,0.157733273136889,0.285064729919166,0.00494150325100158,"model 1"
"18","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-18,44,19653431,42.4934867394115,30,56,1.50651326058851,0.223879484452358,0.216214088722786,0.152645103035699,0.284937525666638,0.00766539572957264,"model 1"
"19","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-05-25,40,19653431,41.987864217019,30,55,-1.98786421701899,0.203526804047599,0.21364139532186,0.152645103035699,0.279849355565448,-0.0101145912742614,"model 1"
"20","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-01,39,19653431,41.5185964783272,29,55,-2.51859647832716,0.198438633946409,0.211253681244395,0.147556932934509,0.279849355565448,-0.0128150472979866,"model 1"
"21","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-08,37,19653431,41.0916268922199,29,54,-4.09162689221989,0.188262293744029,0.209081187362247,0.147556932934509,0.274761185464258,-0.020818893618218,"model 1"
"22","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-15,38,19653431,40.7121889298792,29,54,-2.71218892987925,0.193350463845219,0.207150542467009,0.147556932934509,0.274761185464258,-0.01380007862179,"model 1"
"23","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-22,40,19653431,40.3848056582563,28,53,-0.384805658256262,0.203526804047599,0.205484760692707,0.142468762833319,0.269673015363068,-0.00195795664510824,"model 1"
"24","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-06-29,40,19653431,40.1132990658387,28,53,-0.113299065838682,0.203526804047599,0.204103288966892,0.142468762833319,0.269673015363068,-0.000576484919293133,"model 1"
"25","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-06,39,19653431,39.9008053956581,28,53,-0.900805395658125,0.198438633946409,0.203022085027587,0.142468762833319,0.269673015363068,-0.00458345108117827,"model 1"
"26","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-13,41,19653431,39.749792968955,28,53,1.25020703104503,0.208614974148789,0.202253708113128,0.142468762833319,0.269673015363068,0.00636126603566079,"model 1"
"27","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-20,40,19653431,39.6620794320461,28,52,0.337920567953859,0.203526804047599,0.201807406717159,0.142468762833319,0.264584845261878,0.00171939733043996,"model 1"
"28","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-07-27,40,19653431,39.6388459106737,28,53,0.36115408932632,0.203526804047599,0.201689190608366,0.142468762833319,0.269673015363068,0.00183761343923267,"model 1"
"29","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-08-03,42,19653431,39.6806461788125,28,53,2.31935382118746,0.213703144249979,0.201901877482932,0.142468762833319,0.269673015363068,0.0118012667670467,"model 1"
"30","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-08-10,43,19653431,39.7874096177745,28,52,3.21259038222546,0.218791314351169,0.202445108020958,0.142468762833319,0.264584845261878,0.01634620633021,"model 1"
"31","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-08-17,43,19653431,39.9584374376284,28,53,3.04156256237157,0.218791314351169,0.203315326660411,0.142468762833319,0.269673015363068,0.0154759876907578,"model 1"
"32","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-08-24,43,19653431,40.1923923418963,28,53,2.80760765810367,0.218791314351169,0.204505729009333,0.142468762833319,0.269673015363068,0.0142855853418351,"model 1"
"33","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-08-31,41,19653431,40.4872825253665,28,53,0.512717474633504,0.208614974148789,0.206006180424001,0.142468762833319,0.269673015363068,0.00260879372478782,"model 1"
"34","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-09-07,37,19653431,40.8404415900508,29,54,-3.84044159005082,0.188262293744029,0.207803113817892,0.147556932934509,0.274761185464258,-0.019540820073863,"model 1"
"35","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-09-14,37,19653431,41.2485066286538,29,54,-4.24850662865376,0.188262293744029,0.209879418146652,0.147556932934509,0.274761185464258,-0.0216171244026235,"model 1"
"36","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-09-21,38,19653431,41.7073973356798,30,55,-3.70739733567982,0.193350463845219,0.212214332121856,0.152645103035699,0.279849355565448,-0.0188638682766374,"model 1"
"37","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-09-28,38,19653431,42.2122995337252,30,56,-4.21229953372524,0.193350463845219,0.214783360389976,0.152645103035699,0.284937525666638,-0.0214328965447572,"model 1"
"38","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-10-05,39,19653431,42.757656909696,30,56,-3.75765690969604,0.198438633946409,0.217558231484854,0.152645103035699,0.284937525666638,-0.0191195975384453,"model 1"
"39","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-10-12,40,19653431,43.3371749997643,31,57,-3.33717499976427,0.203526804047599,0.220506918103838,0.157733273136889,0.290025695767828,-0.0169801140562392,"model 1"
"40","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-10-19,39,19653431,43.9438414968296,32,58,-4.94384149682963,0.198438633946409,0.223593740435599,0.162821443238079,0.295113865869018,-0.0251551064891908,"model 1"
"41","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-10-26,40,19653431,44.5699667355028,32,58,-4.56996673550281,0.203526804047599,0.226779572154617,0.162821443238079,0.295113865869018,-0.0232527681070181,"model 1"
"42","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-11-02,44,19653431,45.2072476999135,33,59,-1.20724769991349,0.223879484452358,0.230022166103789,0.167909613339269,0.300202035970208,-0.0061426816514302,"model 1"
"43","New York","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-11-09,45,19653431,45.8468580761004,33,60,-0.846858076100418,0.228967654553548,0.233276612496314,0.167909613339269,0.305290206071398,-0.0043089579427654,"model 1"
